# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
💵;dolárová bankovka;banka|bankovka|dolár|dolárová bankovka|mena|peniaze|účet
💶;eurová bankovka;banka|bankovka|euro|eurová bankovka|mena|peniaze|účet
💷;librová bankovka;banka|bankovka|libra|librová bankovka|mena|peniaze|účet
💸;peniaze s krídlami;bankovka|dolár|krídla|lietať|peniaze|peniaze s krídlami
💳;platobná karta;banka|karta|kredit|peniaze|platiť|platobná karta
🧾;účtenka;doklad|potvrdenie|účtenka|účtovníctvo
💹;stúpajúci graf jenu;graf|mena|nárast|peniaze|stúpajúci graf jenu|trend|trh
✉️;obálka;e-mail|email|list|obálka
📧;e-mail;e-mail|email|list|pošta
📨;obálka s prichádzajúcou poštou;e-mail|email|list|obálka|obálka s prichádzajúcou poštou|pošta|prichádzajúca|prijať
📩;obálka so šípkou;e-mail|list|obálka|obálka so šípkou|odchádzajúca|odoslané|pošta
📤;priečinok na odchádzajúcu poštu;list|odchádzajúca pošta|odoslaná|pošta|priečinok|priečinok na odchádzajúcu poštu
📥;priečinok na prichádzajúcu poštu;list|pošta|prichádzajúca pošta|priečinok|priečinok na prichádzajúcu poštu|prijatá
📦;zásielka;škatuľa|zásielka
📫;zatvorená schránka so zdvihnutou zástavkou;pošta|poštová schránka|zatvorená|zatvorená schránka so zdvihnutou zástavkou
📪;zatvorená schránka so spustenou zástavkou;pošta|poštová schránka|spustené|zatvorená|zatvorená schránka so spustenou zástavkou
📬;otvorená schránka so zdvihnutou zástavkou;otvorená|otvorená schránka so zdvihnutou zástavkou|pošta|poštová schránka
📭;otvorená schránka so spustenou zástavkou;otvorená|otvorená schránka so spustenou zástavkou|pošta|poštová schránka|spustená
📮;poštová schránka;pošta|poštová schránka
🗳️;volebná schránka s lístkom;urna|volebná schránka|volebná schránka s lístkom
✏️;ceruzka;ceruzka
✒️;čierne pero;čierne pero|hrot|pero
🖋️;plniace pero;pero|plniace
🖊️;pero;guľôčkové pero|pero
🖌️;štetec;maľovať|štetec
🖍️;pastelka;pastelka
📝;oznam;ceruzka|obežník|oznam
💼;aktovka;aktovka
📁;fascikel;fascikel|priečinok|súbor
📂;otvorený fascikel;otvorený|otvorený fascikel|priečinok|súbor
🗂️;štítky na indexovanie;index|karta|rozdeľovače|štítky na indexovanie
📅;kalendár;dátum|kalendár
📆;trhací kalendár;kalendár|trhací kalendár
🗒️;špirálový zápisník;poznámka|špirála|špirálový zápisník|zápisník
🗓️;špirálový kalendár;kalendár|špirála|špirálový kalendár
📇;otáčací stojan na vizitky;index|karta|otáčací stojan na vizitky|vizitka
📈;stúpajúci graf;graf|nárast|stúpajúci|trend
📉;klesajúci graf;graf|klesajúci|pokles|trend
📊;pruhový graf;graf|pruh|pruhový graf
📋;písacia podložka;písacia podložka|písanie|podložka|poznámka
📌;špendlík;špendlík
📍;guľatý špendlík;guľatý špendlík|špendlík
📎;sponka na papier;príloha|sponka|sponka na papier
🖇️;spojené sponky na papier;spojené sponky na papier|sponky
📏;rovné pravítko;pravítko|rovné
📐;trojuholníkové pravítko;pravítko|trojuholník|trojuholníkové pravítko
✂️;nožnice;nástroj|nožnice
🗃️;škatuľa s kartotékou;karta|škatuľa|škatuľa s kartotékou|súbor
🗄️;kartotéková skriňa;kabinet|kartotéková skriňa|súbor
🗑️;odpadkový kôš;kôš|odpadkový kôš
🔒;zatvorená zámka;zámka|zamknuté|zatvorená zámka|zatvorené
🔓;otvorená zámka;odomknuté|otvorená zámka|otvorené|zámka
🔏;zámka s perom;atrament|hrot|pero|súkromie|zámka|zámka s perom
🔐;zámka s kľúčom;kľúč|zabezpečiť|zámka|zámka s kľúčom|zatvorené
🔑;kľúč;heslo|kľúč|zámka
🗝️;starý kľúč;kľúč|staré|starý kľúč|vodidlo|zámka
🔨;kladivo;kladivo|nástroj
🪓;sekera;drevo|rúbať|sekať|sekera|štiepať
⛏️;krompáč;dolovanie|krompáč|nástroj
⚒️;kladivo a krompáč;kladivo|kladivo a krompáč|krompáč|nástroj
🛠️;kladivo a kľúč;francúzsky kľúč|kladivo|kladivo a kľúč|nástroj
🗡️;dýka;dýka|nôž|zbraň
⚔️;prekrížené meče;meče|prekrížené meče|skrížené|zbraň
💣;bomba;bomba|komiks
🪃;bumerang;austrálsky|bumerang|následky|návrat
🏹;luk a šíp;luk|luk a šíp|lukostrelec|šíp|strelec|zbraň|zverokruh
🛡️;štít;štít|zbraň
🪚;tesárska píla;drevo|píla|tesár|tesárska píla
🔧;francúzsky kľúč;francúzsky kľúč|nástroj
🪛;skrutkovač;nástroj|skrutka|skrutkovač
🔩;matica a skrutka;matica a skrutka|matka|nástroj|skrutka
⚙️;ozubené koliesko;nástroj|ozubené koliesko
🗜️;zverák;nástroj|zverák
⚖️;miskové váhy;hmotnosť|miskové váhy|rovnováha|spravodlivosť|váhy|váženie|zverokruh
🦯;slepecká palica;handicap|hendikep|nevidiaci|postihnutie|slepec|slepecká palica|slepý
🔗;spojovací článok;odkaz|prepojenie|spojenie|spojovací článok
⛓️‍💥;roztrhnutá reťaz;pretrhnutá|putá|reťaz|roztrhnutá|sloboda
⛓️;reťaz;reťaz|reťaze
🪝;hák;háčik|hák|lákadlo|nachytať|skoba
🧰;kufrík na náradie;debna|kufrík na náradie|náradie|nástroje
🧲;magnet;magnet|podkova|príťažlivosť
🪜;rebrík;priečka|rebrík|stúpadlo
⚗️;krivuľa;chémia|krivuľa|nástroja
🧪;skúmavka;chémia|chemik|laboratórium|pokus|skúmavka|veda
🧫;Petriho miska;baktéria|biológ|biológia|kultúra|laboratórium|Petriho miska
🧬;skrutkovica;biológ|gén|genetika|skrutkovica|život
🔬;mikroskop;laboratórium|mikroskop|veda
🔭;ďalekohľad;ďalekohľad|nástroj|teleskop
📡;satelitná anténa;anténa|satelit|satelitná anténa|tanier
💉;injekcia;choroba|doktor|ihla|injekcia|medicína|nástroj
🩸;kvapka krvi;darcovstvo|darovanie|krv|kvapka krvi|lekárstvo|medicína|menštruácia
💊;tabletka;choroba|doktor|medicína|tabletka
🩹;náplasť;leukoplast|náplasť|obväz
🩼;barla;barla|palica|podpera|postihnutie|zdravotná pomôcka|zranenie
🩺;stetoskop;doktor|lekár|lekárstvo|medicína|srdce|stetoskop
🩻;röntgen;kosti|kostra|lekár|röntgen|zdravie
🚪;dvere;dvere
🛗;výťah;výťah
🪞;zrkadlo;odraz|zrkadlenie|zrkadlo
🪟;okno;okno|otvoriť|rám|výhľad|vzduch
🛏️;posteľ;hotel|posteľ|spánok
🛋️;gauč a lampa;gauč|gauč a lampa|hotel|lampa
🪑;stolička;sedadlo|sedenie|sedieť|stolička
🚽;záchod;toaleta|záchod
🪠;čistiaci zvon;čistiaci zvon|inštalatér|upchatý|záchod
🚿;sprcha;sprcha|voda
🛁;vaňa;vaňa
🪤;pasca na myši;myš|nástraha|návnada|pasca na myši|syr
🪒;britva;britva|holenie|holiace|holiť|oholiť|ostrý
🧴;vodička;hydratačný krém|šampón|slnečný krém|vodička
🧷;spínací špendlík;pankáč|pankáčka|spínací špendlík
🧹;metla;metla|striga|upratovať|zametať
🧺;kôš;kôš|piknik|pranie
🧻;rolka papiera;papierová utierka|rolka papiera|toaletný papier
🪣;vedro;nádoba|súdok|vedro
🧼;mydlo;kúpanie|mydlo|pena|sprchovanie|umývanie
🫧;bubliny;bubliny|čistota|grgnutie|mydlo|pod vodou
🪥;zubná kefka;čistiť|kefka|kúpeľňa|zubná kefka|zuby
🧽;špongia;čistiť|kúpať|špongia|sprchovať|vsať
🧯;hasiaci prístroj;hasiaci prístroj|hasiť|požiar
🛒;nákupný vozík;košík|nákupný|nakupovanie|vozík
🚬;cigareta;cigareta|fajčenie
⚰️;rakva;rakva|smrť
🪦;náhrobok;cintorín|hrob|hrobka|náhrobok
⚱️;pohrebná urna;pohreb|pohrebná urna|smrť
🧿;nazar;amulet|korálka|modré oko|nazar|prívesok|talizman
🪬;hamsa;amulet|Fatima|Fatimina ruka|hamsa|Mária|ochrana|ruka
🗿;socha moai;moai|socha|tvár
🪧;transparent;demonštrácia|protest|štrajk|tabuľa|transparent
🪪;preukaz;bezpečnosť|doklady|preukaz|preukaz totožnosti|vodičský preukaz

[symbols]
🏧;bankomat;automat|banka|bankomat|hotovosť
🚮;symbol odpadkového koša;odpadkový kôš|odpadky|smeti|symbol|symbol odpadkového koša
🚰;pitná voda;pitie|pitná|voda
♿;invalidný vozík;invalidný vozík|prístup
🚹;pánske toalety;muž|pánske toalety|toaleta|wc|záchod
🚺;dámske toalety;dámske toalety|toaleta|wc|záchod|žena
🚻;toalety;toalety|wc|záchod
🚼;prebaľovacia miestnosť;dieťa|prebalenie|prebaľovacia miestnosť
🚾;splachovací záchod;splachovací záchod|toaleta|voda|wc|záchod
🛂;pasová kontrola;hranica|kontrola|pas|pasová kontrola
🛃;colná prehliadka;colná prehliadka|colnica|hranica
🛄;výdaj batožiny;batožina|výdaj|výdaj batožiny
🛅;úschovňa batožiny;batožina|tašky|úschovňa|úschovňa batožiny
⚠️;varovanie;varovanie
🚸;deti na ceste;chodec|deti na ceste|dieťa|prechádzajúce|premávka
⛔;zákaz vjazdu;jednosmerná|premávka|vjazd|zákaz|zákaz vjazdu
🚫;zákaz;vstup|zákaz|zakázaný
🚳;zákaz bicyklov;bicykel|zákaz|zákaz bicyklov|zakázaný
🚭;zákaz fajčenia;fajčenie|zákaz|zákaz fajčenia|zakázané
🚯;neodhadzujte odpadky;neodhadzujte odpadky|zákaz|zakázané
🚱;nepitná voda;nepitná|voda|zakázané
🚷;zákaz chodcov;chodec|zákaz|zákaz chodcov|zakázané
📵;zákaz mobilov;mobil|telefón|zákaz|zákaz mobilov|zakázaný
🔞;zákaz vstupu osobám mladším ako osemnásť rokov;18|maloletí|osemnásť|vekové obmedzenie|zákaz vstupu osobám mladším ako osemnásť rokov|zakázané
☢️;rádioaktivita;rádioaktivita|značka
☣️;biologické riziko;biologické riziko|značka
⬆️;šípka nahor;hore|nahor|sever|šípka
↗️;šípka doprava nahor;doprava nahor|severovýchod|šípka|šípka doprava nahor
➡️;šípka doprava;doprava|šípka|východ
↘️;šípka doprava nadol;doprava nadol|juhovýchod|šípka|šípka doprava nadol
⬇️;šípka nadol;dolu|juh|nadol|šípka
↙️;šípka doľava nadol;doľava nadol|juhozápad|šípka|šípka doľava nadol
⬅️;šípka doľava;doľava|šípka|západ
↖️;šípka doľava nahor;doľava nahor|severozápad|šípka|šípka doľava nahor
↕️;šípka nahor aj nadol;šípka|šípka nahor aj nadol
↔️;šípka doprava aj doľava;šípka|šípka doprava aj doľava
↩️;šípka doprava zakrivená doľava;šípka|šípka doprava zakrivená doľava
↪️;šípka doľava zakrivená doprava;šípka|šípka doľava zakrivená doprava
⤴️;šípka doprava zakrivená nahor;šípka|šípka doprava zakrivená nahor
⤵️;šípka doprava zakrivená nadol;nadol|šípka|šípka doprava zakrivená nadol
🔃;zvislé šípky v smere hodinových ručičiek;šípka|v smere hodinových ručičiek|znovu načítať|zvislé šípky v smere hodinových ručičiek
🔄;tlačidlo so šípkami proti smeru hodinových ručičiek;proti smeru hodinových ručičiek|šípka|tlačidlo so šípkami proti smeru hodinových ručičiek
🔙;šípka BACK;šípka|šípka BACK|späť
🔚;šípka END;koniec|šípka|šípka END
🔛;šípka ON!;šípka|šípka ON!|zapnuté|značka
🔜;šípka SOON;čoskoro|šípka|šípka SOON
🔝;šípka TOP;nahor|navrch|šípka|šípka TOP
🛐;modlitebné miesto;bohoslužba|modlitba|modlitebné miesto|náboženstvo
⚛️;symbol atómu;atóm|symbol atómu
🕉️;óm;indické|náboženstvo|óm
✡️;Dávidova hviezda;Dávidova hviezda|hviezda|náboženstvo|žid|židovské
☸️;koleso dharmy;budhista|dharma|koleso|koleso dharmy|náboženstvo
☯️;jin a jang;jang|jin|jin a jang|náboženstvo|tao|taoista
✝️;latinský kríž;kresťanské|kríž|latinský kríž|náboženstvo
☦️;pravoslávny kríž;kresťanské|kríž|náboženstvo|pravoslávny kríž
☪️;hviezda a polmesiac;hviezda a polmesiac|islam|moslim|náboženstvo
☮️;symbol mieru;mier|symbol mieru
🕎;menóra;menóra|náboženstvo|svietnik|židovstvo
🔯;šesťcípa hviezda s bodkou uprostred;hviezda|šesťcípa hviezda s bodkou uprostred|šťastie
🪯;khanda;khanda|náboženstvo|sikhizmus
♈;znamenie barana;baran|znamenie barana|zverokruh
♉;znamenie býka;býk|byvol|znamenie býka|zverokruh
♊;znamenie blížencov;dvojičky|znamenie blížencov|zverokruh
♋;znamenie raka;rak|znamenie raka|zverokruh
♌;znamenie leva;lev|znamenie leva|zverokruh
♍;znamenie panny;panna|znamenie panny|zverokruh
♎;znamenie váh;rovnováha|spravodlivosť|váhy|znamenie váh|zverokruh
♏;znamenie škorpióna;škorpión|znamenie škorpióna|zverokruh
♐;znamenie strelca;strelec|znamenie strelca|zverokruh
♑;znamenie kozorožca;koza|znamenie kozorožca|zverokruh
♒;znamenie vodnára;vodna|vodnár|znamenie vodnára|zverokruh
♓;znamenie rýb;ryba|znamenie rýb|zverokruh
⛎;znamenie hadonosa;had|znamenie hadonosa|zverokruh
🔀;tlačidlo náhodného prehrávania;šípka|skrížená|tlačidlo náhodného prehrávania
🔁;tlačidlo opakovania;opakovať|proti smere hodinových ručičiek|šípka|tlačidlo opakovania
🔂;tlačidlo opakovania skladby;raz|šípka|tlačidlo opakovania skladby|v smere hodinových ručičiek
▶️;tlačidlo prehrávania;doprava|prehrať|šípka|tlačidlo prehrávania|trojuholník
⏩;tlačidlo pretáčania dopredu;dopredu|dvojitá|pretočiť|šípka|tlačidlo pretáčania dopredu
⏭️;tlačidlo ďalšej skladby;ďalšia položka|ďalšia skladba|šípka|tlačidlo ďalšej skladby|trojuholník
⏯️;tlačidlo prehrávania a pozastavenia;doprava|pozastaviť|prehrať|šípka|tlačidlo prehrávania a pozastavenia|trojuholník
◀️;tlačidlo spätného prehrávania;doľava|pretočiť späť|šípka|tlačidlo spätného prehrávania|trojuholník
⏪;tlačidlo pretáčania späť;dvojitá|pretočiť|šípka|tlačidlo pretáčania späť
⏮️;tlačidlo predošlej skladby;predchádzajúca položka|predchádzajúca skladba|šípka|tlačidlo predošlej skladby|trojuholník
🔼;tlačidlo nahor;červené|šípka|tlačidlo|tlačidlo nahor
⏫;tlačidlo rýchlo nahor;dvojitá|šípka|tlačidlo rýchlo nahor
🔽;tlačidlo nadol;červené|nadol|šípka|tlačidlo
⏬;tlačidlo rýchlo nadol;dvojitá|nadol|šípka|tlačidlo rýchlo nadol
⏸️;tlačidlo pozastavenia;dvojitý|pás|pozastaviť|tlačidlo pozastavenia|zvislé
⏹️;tlačidlo zastavenia;štvorec|tlačidlo zastavenia|zastaviť
⏺️;tlačidlo nahrávania;kruh|nahrať|tlačidlo nahrávania|zaznamenať
⏏️;tlačidlo vysunutia;tlačidlo vysunutia|vysunúť
🎦;kino;film|kamera|kino
🔅;tlačidlo stlmenia jasu;jas|stlmiť|tlačidlo stlmenia jasu|znížiť
🔆;tlačidlo jasu;jas|jasný|tlačidlo jasu
📶;sila signálu;anténa|mobil|mobilné|pás|signál|sila signálu|telefón
🛜;bezdrôtový;bezdrôtový|internet|počítač|sieť
📳;vibračný režim;mobil|mobilný|režim|telefón|vibrácia|vibračný režim
📴;vypnutý mobil;mobil|mobilý|telefón|vypnuté|vypnutý mobil
♀️;ženský symbol;samica|žena|ženský symbol
♂️;mužský symbol;muž|mužský symbol|samec
⚧️;transgenderový symbol;transgender|transgenderový symbol
✖️;krát;×|krát|násobenie|násobiť|x|znak|zrušiť
➕;plus;+|matematika|plus|znak|znak sčítania
➖;mínus;-|−|matematika|mínus|znak|znak odčítania
➗;deleno;÷|delenie|deleno|deliť|matematika|znak|znak delenia
🟰;rovné;matematika|rovné|rovnosť
♾️;nekonečno;navždy|nekonečno|večný
‼️;dvojitý výkričník;!|!!|dvojitý výkričník|interpunkcia|výkričník|znak|zvolanie
⁉️;výkričník s otáznikom;interpunkcia|otázka|výkričník|výkričník s otáznikom|znak
❓;červený otáznik;?|červený otáznik|interpunkcia|otázka|otáznik|znak
❔;biely otáznik;biely otáznik|interpunkcia|obrys|otázka|znak
❕;biely výkričník;biely výkričník|interpunkcia|obrys|výkričník|znak
❗;červený výkričník;!|červený výkričník|interpunkcia|výkričník|znak|zvolanie
〰️;vlnovková pomlčka;interpunkcia|vlnovka|vlnovková pomlčka|vlnovkovitá
💱;zmenáreň;banka|mena|peniaze|zmenáreň
💲;znak dolára;dolár|mena|peniaze|znak dolára
⚕️;lekársky symbol;asklépios|lekársky symbol|lekárstvo|medicína
♻️;symbol recyklácie;recyklovať|symbol recyklácie
⚜️;heraldický symbol ľalie;heraldický symbol ľalie|ľalia
🔱;emblém trojzubca;emblém|emblém trojzubca|kotva|loď|nástroj|trojzubec
📛;menovka;meno|menovka
🔰;japonský symbol pre začiatočníka;japonská|japonský symbol pre začiatočníka|list|páska|začiatočník|zelená|žltá
⭕;prázdny červený kruh;červený|kruh|prázdny červený kruh|veľký
✅;začiarkavacie políčko;✓|začiarkavacie políčko|začiarknuť|začiarknutie
☑️;začiarknuté políčko;✓|začiarknuť|začiarknuté|začiarknuté políčko|začiarknutie
✔️;znak začiarknutia;začiarknuť|znak|znak začiarknutia
❌;krížik;×|krížik|násobenie|násobiť|x|znak|zrušiť
❎;tlačidlo s krížikom;×|štvorec|tlačidlo s krížikom|x|znak
➰;slučka;slučka
➿;dvojitá slučka;dvojitá|slučka
〽️;znak začiatku partu;part|znak|znak začiatku partu
✳️;osemcípa hviezdička;*|hviezdička|osemcípa
✴️;osemcípa hviezda;*|hviezda|osemcípa
❇️;iskra;*|iskra|trblietanie
©️;copyright;autorské právo|copyright
®️;registrovaná známka;registrovaná známka|registrované
™️;obchodná známka;obchodná značka|obchodná známka|tm|znak
#️⃣;kláves: #;kláves|kláves: #
*️⃣;kláves: *;kláves|kláves: *
0️⃣;kláves: 0;kláves|kláves: 0
1️⃣;kláves: 1;kláves|kláves: 1
2️⃣;kláves: 2;kláves|kláves: 2
3️⃣;kláves: 3;kláves|kláves: 3
4️⃣;kláves: 4;kláves|kláves: 4
5️⃣;kláves: 5;kláves|kláves: 5
6️⃣;kláves: 6;kláves|kláves: 6
7️⃣;kláves: 7;kláves|kláves: 7
8️⃣;kláves: 8;kláves|kláves: 8
9️⃣;kláves: 9;kláves|kláves: 9
🔟;kláves: 10;kláves|kláves: 10
🔠;zadávanie veľkých písmen latinky;latinka|písmená|veľké písmená|zadať|zadávanie veľkých písmen latinky
🔡;zadávanie malých písmen latinky;abcd|latinka|malé písmená|písmená|zadať|zadávanie malých písmen latinky
🔢;zadávanie čísel;1234|čísla|zadať|zadávanie čísel
🔣;zadávanie symbolov;zadať|zadávanie symbolov
🔤;zadávanie písmen latinky;abc|abeceda|latinka|písmená|zadať|zadávanie písmen latinky
🅰️;štítok A;a|krv|štítok A
🆎;štítok AB;ab|krv|štítok AB
🅱️;štítok B;b|krv|štítok B
🆑;štítok CL;cl|štítok CL
🆒;štítok COOL;cool|štítok COOL
🆓;štítok FREE;free|štítok FREE
ℹ️;informačný zdroj;i|informácie|informačný zdroj
🆔;štítok ID;id|identita|štítok ID
Ⓜ️;M v kruhu;kruh|m|M v kruhu
🆕;štítok NEW;new|štítok NEW
🆖;štítok NG;ng|štítok NG
🅾️;štítok 0;krv|o|štítok 0
🆗;štítok OK;ok|štítok OK
🅿️;štítok P;parkovanie|štítok P
🆘;štítok SOS;pomoc|sos|štítok SOS
🆙;štítok UP!;štítok UP!|up|značka
🆚;štítok VS;štítok VS|verzus|vs
🈁;japonský ideograf Tu;japončina|japonský ideograf Tu
🈂️;japonský ideograf Poplatok za službu;japončina|japonský ideograf Poplatok za službu
🈷️;japonský ideograf Mesačná suma;japončina|japonský ideograf Mesačná suma
🈶;japonský ideograf Nie je zadarmo;japončina|japonský ideograf Nie je zadarmo
🈯;japonský ideograf Vyhradené;japončina|japonský ideograf Vyhradené
🉐;japonský ideograf Výhodný nákup;japončina|japonský ideograf Výhodný nákup
🈹;japonský ideograf Zľava;japončina|japonský ideograf Zľava
🈚;japonský ideograf Zadarmo;japončina|japonský ideograf Zadarmo
🈲;japonský ideograf Zákaz;japončina|japonský ideograf Zákaz
🉑;japonský ideograf Prijateľné;japončina|japonský ideograf Prijateľné
