# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|चेहरा|दाँत दिखाता चेहरा
	👩🏿‍❤️‍👩🏼;दिल वाली जोड़ी: महिला, महिला, साँवली त्वचा, हल्की गोरी त्वचा;जोड़ी|दिल|दिल वाली जोड़ी|दिल वाली जोड़ी: महिला, महिला, साँवली त्वचा, हल्की गोरी त्वचा|प्यार|महिला|लोग|साँवली त्वचा|हल्की गोरी त्वचा
	👩🏿‍❤️‍👩🏽;दिल वाली जोड़ी: महिला, महिला, साँवली त्वचा, गेहुँआ त्वचा;गेहुँआ त्वचा|जोड़ी|दिल|दिल वाली जोड़ी|दिल वाली जोड़ी: महिला, महिला, साँवली त्वचा, गेहुँआ त्वचा|प्यार|महिला|लोग|साँवली त्वचा
	👩🏿‍❤️‍👩🏾;दिल वाली जोड़ी: महिला, महिला, साँवली त्वचा, हल्की साँवली त्वचा;जोड़ी|दिल|दिल वाली जोड़ी|दिल वाली जोड़ी: महिला, महिला, साँवली त्वचा, हल्की साँवली त्वचा|प्यार|महिला|लोग|साँवली त्वचा|हल्की साँवली त्वचा
	👩🏿‍❤️‍👩🏿;दिल वाली जोड़ी: महिला, महिला, साँवली त्वचा;जोड़ी|दिल|दिल वाली जोड़ी|दिल वाली जोड़ी: महिला, महिला, साँवली त्वचा|प्यार|महिला|लोग|साँवली त्वचा
👨‍👩‍👦;परिवार: पुरुष, महिला, लड़का;परिवार|परिवार: पुरुष, महिला, लड़का|पिता|पुरुष|बच्चा|महिला|माता|लड़का|लोग
👨‍👩‍👧;परिवार: पुरुष, महिला, लड़की;परिवार|परिवार: पुरुष, महिला, लड़की|पिता|पुरुष|बच्चा|महिला|माता|लड़की|लोग
👨‍👩‍👧‍👦;परिवार: पुरुष, महिला, लड़की, लड़का;परिवार|परिवार: पुरुष, महिला, लड़की, लड़का|पिता|पुरुष|बच्चा|महिला|माता|लड़का|लड़की|लोग
👨‍👩‍👦‍👦;परिवार: पुरुष, महिला, लड़का, लड़का;परिवार|परिवार: पुरुष, महिला, लड़का, लड़का|पिता|पुरुष|बच्चा|महिला|माता|लड़का|लोग
👨‍👩‍👧‍👧;परिवार: पुरुष, महिला, लड़की, लड़की;परिवार|परिवार: पुरुष, महिला, लड़की, लड़की|पिता|पुरुष|बच्चा|महिला|माता|लड़की|लोग
👨‍👨‍👦;परिवार: पुरुष, पुरुष, लड़का;परिवार|परिवार: पुरुष, पुरुष, लड़का|पिता|पुरुष|बच्चा|माता|लड़का|लोग
👨‍👨‍👧;परिवार: पुरुष, पुरुष, लड़की;परिवार|परिवार: पुरुष, पुरुष, लड़की|पिता|पुरुष|बच्चा|माता|लड़की|लोग
👨‍👨‍👧‍👦;परिवार: पुरुष, पुरुष, लड़की, लड़का;परिवार|परिवार: पुरुष, पुरुष, लड़की, लड़का|पिता|पुरुष|बच्चा|माता|लड़का|लड़की|लोग
👨‍👨‍👦‍👦;परिवार: पुरुष, पुरुष, लड़का, लड़का;परिवार|परिवार: पुरुष, पुरुष, लड़का, लड़का|पिता|पुरुष|बच्चा|माता|लड़का|लोग
