# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
🧑‍🧒‍🧒;perekond: täiskasvanu, laps, laps;laps|perekond: täiskasvanu|perekond: täiskasvanu, laps, laps
👣;jalajäljed;jalajälg|jalajäljed|jälg|keha

[animals_nature]
🐵;ahvi nägu;ahv|ahvi nägu|nägu
🐒;ahv;ahv
🦍;gorilla;gorilla|loom
🦧;orangutan;inimahv|orangutan
🐶;koera nägu;koer|koera nägu|lemmikloom|nägu
🐕;koer;koer|lemmikloom
🦮;juhtkoer;abi|juht|juhtkoer|koer|pime|vaegnägija
🐕‍🦺;teenistuskoer;abi|koer|politsei|teenistus|teenistuskoer
🐩;puudel;koer|puudel
🐺;hunt;hundi nägu|hunt|nägu
🦊;rebane;loom|nägu|rebane|rebase nägu
🦝;pesukaru;kaval|pesukaru|uudishimulik
🐱;kassi nägu;kass|kassi nägu|lemmikloom|nägu
🐈;kass;kass|koer|lemmikloom
🐈‍⬛;must kass;ebaõnn|kass|must
🦁;lõvi nägu;lõvi|nägu|sodiaak
🐯;tiigri nägu;nägu|tiiger|tiigri nägu
🐅;tiiger;tiiger
🐆;leopard;leopard
🐴;hobuse nägu;hobune|hobuse nägu|nägu
🫎;põder;hirv|imetaja|loom|põder|sarved
🫏;eesel;eesel|imetaja|jonnakas|kangekaelne|loom|muul
🐎;hobune;hobune|ratsasport|võiduajamine
🦄;ükssarvik;nägu|ükssarvik|ükssarviku nägu
🦓;sebra;sebra|triibud|vöödid
🦌;hirv;hirv|loom
🦬;piison;kari|piison|pühvel|pürg
🐮;lehma nägu;lehm|lehma nägu|nägu
🐂;härg;härg|sodiaak|sõnn|veis
🐃;vesipühvel;pühvel|vesi|vesipühvel
🐄;lehm;lehm|nägu
🐷;sea nägu;nägu|sea nägu|siga
🐖;siga;emis|siga
🐗;metssiga;kult|metssiga
🐽;sea kärss;nägu|nina|sea kärss|siga
🐏;oinas;jäär|oinas|sodiaak
🐑;lammas;lammas
🐐;kits;kaljukits|kits|sodiaak
🐪;kaamel;dromedar|kaamel|küür
🐫;kahe küüruga kaamel;baktrian|kaamel|kahe küüruga kaamel|küür
🦙;laama;alpaka|guanako|laama|vikunja|vill
🦒;kaelkirjak;kaelkirjak|laigud
🐘;elevant;elevant
🦣;mammut;karvane|kihv|mammut|suur|väljasurnud
🦏;ninasarvik;loom|ninasarvik
🦛;jõehobu;jõehobu|jõehobuke
🐭;hiire nägu;hiir|hiire nägu|nägu
🐁;hiir;hiir
🐀;rott;rott
🐹;hamster;hamster|hamstri nägu|lemmikloom|nägu
🐰;jänese nägu;jänes|jänese nägu|lemmikloom|nägu
🐇;jänes;jänes|lemmikloom
🐿️;vöötorav;orav|vöötorav
🦫;kobras;kobras|tamm
🦔;siil;okkaline|siil
🦇;nahkhiir;loom|nahkhiir|vampiir
🐻;karu;karu|nägu
🐻‍❄️;jääkaru;arktika|jääkaru|karu|valge
🐨;koaala;koaala
🐼;panda;nägu|panda
🦥;laiskloom;aeglane|laisik|laisk|laiskloom
🦦;saarmas;jõgi|kala|saarmas|udras
🦨;skunk;hais|skunk
🦘;känguru;Austraalia|hüpe|känguru|kukkur|kukkurloom
🦡;mäger;mäger|meemäger|nuhtlus
🐾;käpajäljed;jalg|jälg|käpajäljed|käpp
🦃;kalkun;kalkun
🐔;kana;kana
🐓;kukk;kukk
🐣;kooruv tibu;koorumine|kooruv tibu|tibu
🐤;väike tibu;tibu|väike tibu
🐥;väike tibu eestvaates;tibu|väike tibu eestvaates
🐦;lind;lind
🐧;pingviin;pingviin
🕊️;tuvi;lind|rahu|tuvi
🦅;kotkas;kotkas|lind
🦆;part;lind|part
🦢;luik;inetu pardipoeg|lind|luigepoeg|luik
🦉;öökull;lind|öökull
🦤;dodo;dodo|lind|Mauritius|suur|väljasurev
🪶;sulg;kerge|lendama|suled|sulg
🦩;flamingo;flamingo|lind|troopiline
🦚;paabulind;eneseimetlus|hooplemine|lind|paabulind|uhkus
🦜;papagoi;jutt|lind|papagoi|piraat
🪽;tiib;ingel|lend|lendamine|lind|mütoloogia|tiib
🐦‍⬛;must lind;kaaren|lind|must|ronk|vares
🪿;hani;hani|jaht|lind|prääks|tobe
🐦‍🔥;fööniks;fantaasia|fööniks|reinkarnatsioon|taassünd|tulelind
🐸;konn;konn|konna nägu|nägu
🐊;krokodill;krokodill
🐢;kilpkonn;kilpkonn
🦎;sisalik;roomaja|sisalik
🐍;madu;madu|maokandja|sodiaak
🐲;draakoni nägu;draakon|draakoni nägu|muinasjutt|nägu
🐉;draakon;draakon|muinasjutt
🦕;sauropood;brahhiosaurus|brontosaurus|diplodookus|sauropod|sauropood
🦖;türannosaurus;türannosaurus
🐳;vett pritsiv vaal;nägu|vaal|vesi|vett pritsiv vaal
🐋;vaal;vaal
🐬;delfiin;delfiin|loib
🦭;hüljes;hüljes|merilõvi
🐟;kala;kala|sodiaak
🐠;troopiline kala;kala|troopiline
🐡;siilkala;kala|siilkala
🦈;hai;hai|kala
🐙;kaheksajalg;kaheksajalg
🐚;spiraalne teokarp;karp|spiraalne|spiraalne teokarp
🪸;korall;korall|ookean|riff
🪼;meduus;kõrvetus|meduus|mereelukas|mollusk|põletus|selgrootu
🐌;tigu;tigu
🦋;liblikas;ilus|liblikas|putukas
🐛;röövik;putukas|röövik
🐜;sipelgas;putukas|sipelgas
🐝;mesilane;mesilane|putukas
🪲;mardikas;mardikas|putukas
🐞;lepatriinu;lepatriinu|põrnikas|putukas
🦗;kilk;kilk|rohutirts
🪳;prussakas;prussakas|putukas|tarakan
🕷️;ämblik;ämblik
🕸️;ämblikuvõrk;ämblik|ämblikuvõrk|võrk
🦂;suur skorpion;skorpion|sodiaak|suur skorpion
🦟;sääsk;haigus|malaaria|palavik|putukas|sääsk|viirus
🪰;kärbes;haigus|kärbes|parm|roiskumine|toakärbes|tõuk|tsetsekärbes
🪱;uss;parasiit|rõnguss|uss|vihmauss
🦠;mikroob;amööb|bakter|mikroob|viirus
💐;kimp;kimp|lill|romantika|taim
🌸;kirsiõis;kirsiõis|kirss|lill|õis|taim
💮;valge lill;lill|valge lill
🪷;lootos;budism|hinduism|India|lill|lootos|puhtus|Vietnam
🏵️;rosett;lill|rosett|taim
🌹;roos;lill|roos|taim
🥀;närbunud lill;lill|närbunud
🌺;hibisk;hibisk|lill|taim
🌻;päevalill;lill|päevalill|päike|taim
🌼;õis;lill|õis|taim
🌷;tulp;lill|taim|tulp
🪻;hüatsint;hüatsint|lavendel|lill|lõvilõug|lupiin
🌱;võrse;idu|taim|võrse
🪴;potilill;hoolitsema|igav|kasutu|kasvatama|potilill|taim|tuba
🌲;igihaljas puu;igihaljas|puu|taim
🌳;lehtpuu;leht|lehtpuu|puu|taim
🌴;palmipuu;palm|palmipuu|puu|taim
🌵;kaktus;kaktus|taim
🌾;riisitaim;riis|riisitaim|taim|vihk
🌿;maitsetaim;leht|maitsetaim|taim
☘️;ristik;ristik|taim
🍀;nelja lehega ristik;leht|neli|nelja lehega ristik|ristik|taim
🍁;vahtraleht;langev|leht|taim|vaher|vahtraleht
🍂;langenud leht;langenud leht|langev|leht|taim
🍃;tuules lendlev leht;leht|taim|tuul|tuules lendlev leht
🪹;tühi pesa;pesitsemine|tühi pesa
🪺;munadega pesa;munadega pesa|pesitsemine
🍄;seen;mürgiseen|seen

[food_drink]
🍇;viinamarjad;puuvili|taim|viinamari|viinamarjad
🍈;melon;melon|puuvili|taim
🍉;arbuus;arbuus|puuvili|taim
🍊;mandariin;mandariin|puuvili|taim
🍋;sidrun;puuvili|sidrun|taim
🍋‍🟩;laim;laim|puuvili|troopiline|tsitrus
🍌;banaan;banaan|puuvili|taim
🍍;ananass;ananass|puuvili|taim
🥭;mango;mango|puuvili|troopiline
🍎;punane õun;õun|punane|puuvili|taim
🍏;roheline õun;õun|puuvili|roheline|taim
🍐;pirn;pirn|puuvili|taim
🍑;virsik;puuvili|taim|virsik
🍒;kirsid;kirsid|kirss|puuvili|taim
🍓;maasikas;maasikas|mari|puuvili|taim
🫐;mustikad;mari|mustikad|mustikas|sinine
🥝;kiivi;kiivi|puuvili|toit
🍅;tomat;köögivili|taim|tomat
🫒;oliiv;oliiv|toit
🥥;kookospähkel;kookospähkel|palm|piña colada
🥑;avokaado;avokaado|puuvili|toit
🍆;baklažaan;baklažaan|köögivili|taim
🥔;kartul;juurvili|kartul|toit
🥕;porgand;juurvili|porgand|toit
🌽;maisitõlvik;mais|maisitõlvik|taim|tõlvik
🌶️;tuline pipar;pipar|taim|tuline
🫑;paprika;köögivili|paprika|pipar
🥒;kurk;köögivili|kurk|toit
🥬;lehtköögivili;hiina kapsas|kapsas|lehtkapsas|lehtköögivili|lehtsalat
🥦;brokoli;brokoli|metskapsas
🧄;küüslauk;küüslauk|maitseaine
🧅;sibul;maitseaine|sibul
🥜;maapähklid;maapähkel|maapähklid|pähkel|toit
🫘;oad;kaunvili|oad|toit|uba
🌰;kastan;kastan|taim
🫚;ingver;ingver|ingverijuur|õlu|vürts
🫛;hernekaun;edamame|hernekaun|hernes|kaun|kaunvili|köögivili|oad
🍄‍🟫;šampinjon;köögivili|loodus|šampinjon|seen|toit
🍞;leib;leib|päts
🥐;sarvesai;croissant|prantsuse|sai|sarvesai|toit
🥖;baguette;baguette|pikk|sai|toit
🫓;lameleib;arepa|lameleib|lavašš|naan|pita
🥨;soolakringel;keerutatud|soolakringel
🥯;rõngassai;määre|pagaritoode|rõngassai
🥞;pannkoogid;crêpe|pannkoogid|pannkook|toit
🧇;vahvel;kõhklev|vahvel|vahvliraud
🧀;juustutükk;juust|juustutükk
🍖;kondiga liha;kondiga liha|kont|liha|luu
🍗;kanakoib;kana|kanakoib|koib|kont|luu
🥩;lihalõik;karbonaad|lambalihakarbonaad|lihalõik|praelõik|sealihakarbonaad
🥓;peekon;liha|peekon|toit
🍔;hamburger;burger|hamburger
🍟;friikartulid;friikartul|friikartulid
🍕;pitsa;juust|pitsa|pizza|viil
🌭;hot dog;hot dog|hotdog|viiner|vorst
🥪;võileib;leib|võileib
🌮;tako;mehhiko|tako
🌯;burrito;burrito|mehhiko
🫔;tamale;maisikakk|mehhiko|täidetud|tamale
🥙;täidetud pita;falafel|kebab|täidetud pita|toit
🧆;falafel;falafel|kikerhernes|lihapall
🥚;muna;muna|toit
🍳;toiduvalmistamine;muna|pann|praadimine|toiduvalmistamine
🥘;panniroog;paella|panniroog|toit
🍲;potitäis toitu;hautis|potitäis toitu|pott
🫕;fondüü;fondüü|juust|nõu|šokolaad|sulatatud|šveitsi
🥣;lusikaga kauss;hommikueine|hommikusöögihelbed|lusikaga kauss|riisipuding
🥗;roheline salat;roheline|salat|toit
🍿;popkorn;mais|popkorn
🧈;või;piimatoode|või
🧂;sool;maitseaine|sool|soolatoos
🥫;toidukonserv;konserv|toidukonserv
🍱;bento einekarp;bento einekarp|karp|toit
🍘;riisiküpsis;leib|riis|riisiküpsis
🍙;riisipall;pall|riis|riisipall
🍚;keedetud riis;keedetud|riis
🍛;karriga riis;karri|karriga riis|riis
🍜;aurav kauss;aur|aurav kauss|kauss|nuudel
🍝;spagetid;pasta|spagetid
🍠;röstitud bataat;kartul|röstitud|röstitud bataat
🍢;oden;kebab|mereannid|oden|pulk
🍣;suši;suši
🍤;praetud krevett;krevett|praetud|tempura
🍥;keerdudega kalakotlet;keerdudega kalakotlet|kook|spiraal|tort
🥮;kuukook;festival|kuukook|sügis|yuèbǐng
🍡;dango;dango|magus|magustoit|pulk
🥟;pelmeen;empanada|gyōza|jiaozi|pelmeen|pierogi
🥠;õnneküpsis;ennustus|õnneküpsis
🥡;kaasamüügikarp;kaasamüügikarp|kiirtoidukarp
🦀;krabi;krabi|sodiaak|vähk
🦞;homaar;homaar|homaarisupp|mereannid|sõrad
🦐;krevett;koorikloom|krevett|toit
🦑;kalmaar;kalmaar|mollusk|toit
🦪;auster;auster|elus|karp|pärl
🍦;pehme jäätis;jäätis|magus|magustoit|pehme
🍧;mahlajää;jää|magus|magustoit|mahlajää
🍨;jäätis;jäätis|magus|magustoit
🍩;sõõrik;magus|magustoit|sõõrik
🍪;küpsis;küpsis|magus|magustoit
🎂;sünnipäevatort;küünlad|magustoit|sünnipäev|sünnipäevatort|tort
🍰;liivataignakook;kook|liivataignakook|lõik|magus|magustoit
🧁;muffin;magus|muffin|pagaritoode
🥧;pirukas;pirukas|täidis
🍫;šokolaaditahvel;magus|magustoit|šokolaad|šokolaaditahvel
🍬;komm;komm|magus|magustoit
🍭;pulgakomm;komm|magus|magustoit|pulgakomm
🍮;vanillipuding;magus|magustoit|puding|vanillipuding
🍯;meepott;magus|meepott|mesi
🍼;lutipudel;beebi|lutipudel|piim|pudel
🥛;klaas piima;jook|klaas|klaas piima|piim
☕;kuum jook;jook|kohv|kuum|tee
🫖;teekann;jooma|kann|tee|teekann
🍵;kõrvata teetass;jook|kõrvata teetass|tass|tee
🍶;riisiviin;baar|jook|pudel|riisiviin|tass
🍾;pudeli avamine;baar|jook|kork|pudel|pudeli avamine
🍷;veiniklaas;baar|jook|klaas|vein|veiniklaas
🍸;kokteiliklaas;baar|jook|klaas|kokteil|kokteiliklaas
🍹;troopiline jook;baar|jook|troopiline
🍺;õllekann;baar|jook|kann|õllekann|õlu
🍻;kõlisevad õllekannud;baar|jook|kann|kõlisevad õllekannud|õlu
🥂;kõlisevad klaasid;jooma|klaasid|kõlisevad klaasid|kõlks|tähistama
🥃;joogiklaas;joogiklaas|napsuklaas|viskiklaas
🫗;vedeliku kallamine;jooma|klaas|maha voolama|tühi|vedeliku kallamine
🥤;kõrrega tops;kõrrega tops|limonaad|mahl
🧋;pärlitee;mull|pärl|pärlitee|piim|tee
🧃;joogipakk;joogipakk|mahlapakk
🧉;mate;jook|mate|tee
🧊;jääkuubik;jää|jääkuubik|külm|kuubik
🥢;söögipulgad;hashi|söögipulgad
🍽️;kahvel, nuga ja taldrik;kahvel|kahvel, nuga ja taldrik|nuga|nuga ja taldrik|taldrik|toit
🍴;kahvel ja nuga;kahvel|kahvel ja nuga|nuga|toit
🥄;lusikas;lauanõud|lusikas
🔪;kööginuga;kööginuga|köök|nuga|relv|tööriist
🫙;purk;anum|kaste|maitseaine|purk|säilitama|tühi
🏺;amfora;amfora|jook|kann|vaas|veevalaja

[travel_places]
🌍;Euroopa ja Aafrika gloobusel;Aafrika|Euroopa|Euroopa ja Aafrika gloobusel|gloobus|maa|maailm
🌎;Ameerika mandrid gloobusel;Ameerika|Ameerika mandrid gloobusel|gloobus|maa|maailm
🌏;Aasia ja Austraalia gloobusel;Aasia|Aasia ja Austraalia gloobusel|austraalia|gloobus|maa|maailm
🌐;meridiaanidega gloobus;gloobus|maa|maailm|meridiaanid|meridiaanidega gloobus
🗺️;maailmakaart;kaart|maailm|maailmakaart
🗾;Jaapani kaart;Jaapan|Jaapani kaart|kaart
🧭;kompass;kompass|magnetiline|navigeerimine|orienteerumine
🏔️;lumine mägi;külm|lumi|lumine mägi|mägi
⛰️;mägi;mägi
🌋;vulkaan;laava|mägi|purse|vulkaan
🗻;Fuji mägi;Fuji|mägi
🏕️;telkimine;telk|telkimine
🏖️;päikesevari rannas;päikesevari|päikesevari rannas|rand
🏜️;kõrb;kõrb
🏝️;asustamata saar;asustamata|saar
🏞️;rahvuspark;park|rahvuspark
🏟️;staadion;staadion
🏛️;antiikhoone;antiikhoone|antiikne|maja
🏗️;ehitus;ehitus|maja
🧱;telliskivi;mört|savi|sein|telliskivi|telliskivid
🪨;kivi;kaljurahn|kivi|kivirahn|raske|tugev
🪵;puit;ehituspuit|palk|puit|saepuit
🛖;hütt;hütt|jurta|maja|tare
🏘️;majad;hoone|maja|majad
🏚️;mahajäetud maja;hoone|mahajäetud|maja
🏠;maja;kodu|maja
🏡;aiaga maja;aed|aiaga maja|kodu|maja
🏢;kontorihoone;hoone|kontorihoone|maja
🏣;Jaapani postkontor;hoone|Jaapani postkontor|post
🏤;postkontor;hoone|post|postkontor
🏥;haigla;arst|haigla|hoone|meditsiin
🏦;pank;hoone|pank
🏨;hotell;hoone|hotell
🏩;armuhotell;armastus|armuhotell|hoone|hotell
🏪;kauplus;hoone|kauplus|pood
🏫;kool;hoone|kool
🏬;kaubamaja;hoone|kaubamaja|pood
🏭;tehas;hoone|tehas
🏯;Jaapani loss;Jaapan|Jaapani loss|loss
🏰;loss;hoone|loss
💒;pulmad;kabel|kirik|pulmad|romantika
🗼;Tokyo torn;Tokyo|torn
🗽;Vabadussammas;kuju|sammas|vabadus|Vabadussammas
⛪;kirik;kirik|kristlus|maja|rist|usk
🕌;mošee;islam|mošee|moslem|usk
🛕;hinduistlik tempel;hindu|hinduism|hinduistlik tempel|tempel
🕍;sünagoog;judaism|juut|sünagoog|usk
⛩️;shinto tempel;shinto|tempel|usk
🕋;kaaba;islam|kaaba|moslem|usk
⛲;purskkaev;purskkaev
⛺;telk;laager|telk|telkimine
🌁;udune;ilm|udu|udune
🌃;öine tähistaevas;ilm|öine tähistaevas|öö|täht
🏙️;linna siluett;linn|linna siluett|maja
🌄;päikesetõus mägedes;hommik|ilm|mägi|päike|päikesetõus|päikesetõus mägedes
🌅;päikesetõus;hommik|ilm|päike|päikesetõus
🌆;linna siluett videvikus;hoone|ilm|linna siluett videvikus|loojang|õhtu|siluett|videvik
🌇;päikeseloojang;hoone|ilm|loojang|päike|päikeseloojang
🌉;sild öösel;ilm|öö|sild|sild öösel
♨️;kuumaveeallikad;allikas|aur|kuum|kuumaveeallikad|soe
🎠;karussellihobune;hobune|karussell|karussellihobune
🛝;liumägi;liumägi|lõbustuspark|mängima
🎡;vaateratas;lõbustuspark|vaateratas
🎢;Ameerika mäed;Ameerika|lõbustuspark|mäed
💈;habemeajaja tähis;habemeajaja|habemeajaja tähis|juuksur
🎪;tsirkusetelk;telk|tsirkus|tsirkusetelk
🚂;vedur;aur|raudtee|rong|sõiduk|vedur
🚃;rongivagun;rong|rongivagun|rööpad|sõiduk|tramm|troll|vagun
🚄;kiirrong;kiirrong|raudtee|sõiduk
🚅;terava ninaga kiirrong;kiirrong|raudtee|sõiduk|terava ninaga kiirrong
🚆;rong;raudtee|rong|sõiduk
🚇;metroo;metroo|rong|sõiduk
🚈;kergraudtee;kergraudtee|raudtee|rong
🚉;jaam;jaam|raudtee|rong
🚊;tramm;tramm|troll
🚝;üherööpmeline raudtee;raudtee|rong|sõiduk|üherööpmeline raudtee
🚞;mägiraudtee;mägi|mägiraudtee|raudtee|rong|vagun
🚋;trammivagun;tramm|trammivagun|troll|vagun
🚌;buss;buss|sõiduk
🚍;buss eestvaates;buss|buss eestvaates|eestvaade
🚎;trollibuss;buss|tramm|troll|trollibuss
🚐;väikebuss;buss|sõiduk|väikebuss
🚑;kiirabiauto;kiirabiauto|sõiduk
🚒;tuletõrjeauto;auto|sõiduk|tuletõrje|tuletõrjeauto
🚓;politseiauto;auto|patrull|politsei|politseiauto|sõiduk
🚔;politseiauto eestvaates;auto|eestvaade|politsei|politseiauto eestvaates|sõiduk
🚕;takso;sõiduk|takso
🚖;takso eestvaates;eestvaade|sõiduk|takso|takso eestvaates
🚗;auto;auto|sõiduk
🚘;auto eestvaates;auto|auto eestvaates|eestvaade|sõiduk
🚙;mahtuniversaal;auto|mahtuniversaal|sõiduk|universaal
🛻;pikap;kast|maastur|pikap
🚚;kulleriauto;kuller|kulleriauto|sõiduk|veoauto
🚛;veok;sõiduk|veoauto|veok
🚜;traktor;sõiduk|traktor
🏎️;võidusõiduauto;auto|võidusõiduauto|võidusõit
🏍️;mootorratas;mootorratas|võidusõit
🛵;motoroller;motoroller|roller
🦽;manuaalratastool;juurdepääs|ligipääs|manuaalratastool|ratastool
🦼;elektriratastool;elektriratastool|juurdepääs|ligipääs|ratastool
🛺;autorikša;autorikša|tuk-tuk
🚲;jalgratas;jalgratas|ratas|sõiduk
🛴;tõukeratas;tõukekas|tõukeratas
🛹;rula;rula|rulalaud
🛼;rulluisk;rulluisk|rulluisutama|uisk
🚏;bussipeatus;buss|bussipeatus|peatus
🛣️;kiirtee;kiirtee|maantee|tee
🛤️;raudteerööpad;raudtee|raudteerööpad|rong|sõiduk
🛢️;õlitünn;õli|õlitünn|tünn
⛽;tankur;bensiin|kütus|pump|tankla|tankur
🛞;ratas;pöörama|ratas|rehv|ring
🚨;politseiauto vilkur;auto|politsei|politseiauto vilkur|pöörlemine|sõiduk|vilkur
🚥;horisontaalne foor;foor|horisontaalne foor|liiklus
🚦;vertikaalne foor;foor|liiklus|vertikaalne foor
🛑;stoppmärk;liiklusmärk|märk|stopp|stoppmärk
🚧;ehitustööd;barjäär|ehitustööd|tõke
⚓;ankur;ankur|laev|tööriist
🛟;päästerõngas;elupäästev|ohutus|päästerõngas|päästevahend|pinnal püsima|vetelpääste
⛵;purjepaat;jaht|meri|paat|puhkus|purjepaat|sõiduk
🛶;kanuu;kanuu|paat
🚤;kiirkaater;kiirkaater|paat|sõiduk
🛳️;reisilaev;laev|reisija|reisilaev|sõiduk
⛴️;praam;laev|praam|sõiduk
🛥️;mootorpaat;mootorpaat|paat|sõiduk
🚢;laev;laev|sõiduk
✈️;lennuk;lennuk|sõiduk
🛩️;väikelennuk;lennuk|sõiduk|väikelennuk
🛫;õhkutõusev lennuk;lennuk|õhkutõus|õhkutõusev lennuk|sõiduk
🛬;maanduv lennuk;lennuk|maandumine|maanduv lennuk|sõiduk
🪂;langevarjur;langevari|langevarjuga hüppamine|langevarjuhüpe|langevarjur
💺;iste;iste|tool
🚁;helikopter;helikopter|sõiduk
🚟;rippraudtee;raudtee|rippraudtee|sõiduk|vagun
🚠;köistee mägedes;gondel|köis|köistee mägedes|mägi|sõiduk|vagun
🚡;köisraudtee;gondel|köis|köisraudtee|raudtee|sõiduk|vagun
