# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
	🧑🏿‍❤️‍🧑🏼;زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست روشن;پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست روشن|شخص|عشق|قلب
	🧑🏿‍❤️‍🧑🏽;زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست طلایی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست طلایی|شخص|عشق|قلب
	🧑🏿‍❤️‍🧑🏾;زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست گندمی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست گندمی|شخص|عشق|قلب
👩‍❤️‍👨;زوج عاشق: زن،‏ مرد;داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد، و پوست سفید;پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد، و پوست سفید|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست روشن;پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست روشن|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست طلایی;پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست طلایی|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست گندمی;پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست گندمی|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست آبنوسی;پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست آبنوسی|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست سفید;پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست سفید|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد، و پوست روشن;پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد، و پوست روشن|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست طلایی;پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست طلایی|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست گندمی;پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست گندمی|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست آبنوسی;پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست آبنوسی|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست سفید;پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست سفید|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست روشن;پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست روشن|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد، و پوست طلایی;پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد، و پوست طلایی|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست گندمی;پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست گندمی|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست آبنوسی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست آبنوسی|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست سفید;پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست سفید|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست روشن;پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست روشن|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست طلایی;پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست طلایی|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد، و پوست گندمی;پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد، و پوست گندمی|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست آبنوسی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست آبنوسی|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست سفید;پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست سفید|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست روشن;پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست روشن|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست طلایی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست طلایی|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست گندمی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست گندمی|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد، و پوست آبنوسی;پوست آبنوسی|داستان عاشقانه|زن|زوج|زوج عاشق|زوج عاشق: زن،‏ مرد، و پوست آبنوسی|عشق|قلب|مرد
👨‍❤️‍👨;زوج عاشق: مرد،‏ مرد;داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد، و پوست سفید;پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد، و پوست سفید|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست روشن;پوست روشن|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست روشن|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست طلایی;پوست سفید|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست طلایی|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست گندمی;پوست سفید|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست گندمی|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست آبنوسی;پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست آبنوسی|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست سفید;پوست روشن|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست سفید|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد، و پوست روشن;پوست روشن|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد، و پوست روشن|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست طلایی;پوست روشن|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست طلایی|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست گندمی;پوست روشن|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست گندمی|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست آبنوسی;پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست آبنوسی|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست سفید;پوست سفید|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست سفید|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست روشن;پوست روشن|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست روشن|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد، و پوست طلایی;پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد، و پوست طلایی|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست گندمی;پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست گندمی|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست آبنوسی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست آبنوسی|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست سفید;پوست سفید|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست سفید|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست روشن;پوست روشن|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست روشن|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست طلایی;پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست طلایی|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد، و پوست گندمی;پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد، و پوست گندمی|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست آبنوسی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست آبنوسی|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست سفید;پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست سفید|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست روشن;پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست روشن|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست طلایی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست طلایی|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست گندمی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست گندمی|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد، و پوست آبنوسی;پوست آبنوسی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: مرد،‏ مرد، و پوست آبنوسی|عشق|قلب|مرد
