# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
🌎;globus s Severno in Južno Ameriko;Ameriki|globus|globus s Severno in Južno Ameriko|svet|zemlja
🌏;globus z Azijo in Avstralijo;Avstralija|Azija|globus|globus z Azijo in Avstralijo|svet|zemlja
🌐;globus s poldnevniki;globus|globus s poldnevniki|poldnevniki|svet|zemlja
🗺️;zemljevid sveta;svet|zemljevid|zemljevid sveta
🗾;zemljevid Japonske;Japonska|zemljevid|zemljevid Japonske
🧭;kompas;kompas|magnet|navigacija|orientacija
🏔️;zasnežena gora;gora|hladno|sneg|zasnežena gora
⛰️;gora;gora
🌋;vulkan;gora|izbruh|vreme|vulkan
🗻;gora Fuji;Fuji|gora
🏕️;kampiranje;kampiranje|šotor
🏖️;plaža s senčnikom;plaža|plaža s senčnikom|senčnik
🏜️;puščava;puščava
🏝️;samotni otok;otok|puščava|samotni otok
🏞️;nacionalni park;nacionalni park|park
🏟️;stadion;stadion
🏛️;klasična zgradba;klasična zgradba|klasično|zgradba
🏗️;gradbišče;gradbišče|gradnja|zgradba
🧱;opeka;glina|malta|opeka|opeke|zid
🪨;skala;kamen|pečina|skala|težek|trd
🪵;les;bruna|debla|klada|les
🛖;koča;hiša|jurta|koča|okrogla hiša
🏘️;hiše;hiša|hiše|zgradba
🏚️;zapuščena hiša;hiša|zapuščena hiša|zapuščeno|zgradba
🏠;hiša;dom|hiša|zgradba
🏡;hiša z vrtom;dom|hiša|hiša z vrtom|vrt|zgradba
🏢;poslovna stavba;poslovna stavba|zgradba
🏣;japonska pošta;japonska pošta|japonsko|pošta|zgradba
🏤;pošta;evropsko|pošta|zgradba
🏥;bolnišnica;bolnišnica|zdravilo|zdravnik|zgradba
🏦;banka;banka|zgradba
🏨;hotel;hotel|zgradba
🏩;ljubezenski hotel;hotel|ljubezen|ljubezenski hotel|zgradba
🏪;trgovina z mešanim blagom;hotel|komfort|trgovina|trgovina z mešanim blagom
🏫;šola;šola|zgradba
🏬;veleblagovnica;blago|trgovina|veleblagovnica|zgradba
🏭;tovarna;tovarna|zgradba
🏯;japonski grad;grad|japonski grad|japonsko|zgradba
🏰;grad;evropsko|grad|zgradba
💒;poročna kapela;kapela|poročna kapela|romanca
🗼;tokijski stolp;stolp|tokijski stolp|Tokio
🗽;kip svobode;kip|kip svobode|svoboda
⛪;cerkev;cerkev|križ|krščansko|vera|zgradba
🕌;mošeja;islam|mošeja|muslimansko|vera
🛕;hindujski tempelj;hindu|hindujski tempelj|tempelj
🕍;sinagoga;jud|judovsko|sinagoga|tempelj|vera
⛩️;šintoistično svetišče;šinto|šintoistično svetišče|svetišče|vera
🕋;kaaba;islam|kaaba|muslimansko|vera
⛲;fontana;fontana|vodnjak
⛺;šotor;šotor|taborjenje
🌁;megleno;megla|megleno|vreme
🌃;zvezdnata noč;noč|vreme|zvezda|zvezdnata noč
🏙️;mestna pokrajina;mestna pokrajina|mesto|zgradba
🌄;sončni vzhod v gorah;gora|jutro|sonce|sončni vzhod|sončni vzhod v gorah|vreme
🌅;sončni vzhod;jutro|sonce|sončni vzhod|vreme
🌆;mestna pokrajina v mraku;mestna pokrajina v mraku|mesto|mrak|pokrajina|sonce|sončni zahod|večer|vreme|zgradba
🌇;sončni zahod;mrak|sonce|sončni zahod|vreme|zgradba
🌉;most ponoči;most|most ponoči|noč|vreme
♨️;termalni vrelec;izvir|termalni vrelec|vrelec|vrelo|vroče
🎠;konj na vrtiljaku;konj|konj na vrtiljaku|vrtiljak
🛝;tobogan;igra|tobogan|zabaviščni park
🎡;panoramsko kolo;lunapark|panoramsko kolo
🎢;vlakec smrti;lunapark|vlak smrti|vlakec smrti
💈;brivski izvesek;brivec|brivski izvesek|izvesek|striženje
🎪;cirkuški šotor;cirkus|cirkuški šotor|šotor
🚂;lokomotiva;lokomotiva|para|stroj|vlak|vozilo|železnica
🚃;železniški vagon;avtomobil|električno|tramvaj|trolejbus|vlak|vozilo|železnica|železniški vagon
🚄;hitri vlak;hitri vlak|hitrost|shinkansen|vlak|vozilo|železnica
🚅;hitri vlak s koničastim nosom;hitri vlak s koničastim nosom|hitrost|koničast nos|shinkansen|vlak|vozilo|železnica
🚆;vlak;vlak|vozilo|železnica
🚇;podzemni vlak;podzemna železnica|podzemni vlak|vozilo
🚈;ozkotirna železnica;ozkotirna železnica|vozilo|železnica
🚉;postaja;postaja|vlak|vozilo|železnica
🚊;tramvaj;tramvaj|trolejbus|vozilo
🚝;enotirna železnica;enotirna železnica|vozilo
🚞;gorska železnica;avto|gora|gorska železnica|vozilo|železnica
🚋;vagon tramvaja;tramvaj|trolejbus|vagon|vagon tramvaja|vozilo
🚌;avtobus;avtobus|vozilo
🚍;prihajajoči avtobus;avtobus|prihajajoče|prihajajoči avtobus|vozilo
🚎;trolejbus;avtobus|tramvaj|trolejbus|vozilo
🚐;minibus;avtobus|minibus|vozilo
🚑;reševalno vozilo;reševalno vozilo|vozilo
🚒;gasilsko vozilo;avto|gasilsko|požar|vozilo
🚓;policijsko vozilo;avto|patruljno|policija|policijsko vozilo|vozilo
🚔;prihajajoče policijsko vozilo;avto|policija|prihajajoče|prihajajoče policijsko vozilo|vozilo
🚕;taksi;taksi|vozilo
🚖;prihajajoči taksi;prihajajoče|prihajajoči taksi|taksi|vozilo
🚗;avtomobil;avto|avtomobil|vozilo
🚘;prihajajoči avtomobil;avto|avtomobil|prihajajoče|prihajajoči avtomobil|vozilo
🚙;cestni terenec;cestni terenec|prostočasno|vozilo
🛻;poltovornjak;pick-up|pickup|poltovornjak
🚚;dostavno vozilo;dostavno|poltovornjak|vozilo
🚛;tovornjak s prikolico;kamion|polpriklopnik|tovornjak|tovornjak s prikolico|vozilo
🚜;traktor;traktor|vozilo
🏎️;dirkalnik;avto|dirkalnik|dirkanje
🏍️;motor;dirkanje|motor
🛵;skuter;motor|skuter
🦽;ročni invalidski voziček;invalid|ročni invalidski voziček
🦼;motoriziran invalidski voziček;invalid|motoriziran invalidski voziček
🛺;rikša z motorjem;rikša z motorjem|tuk tuk
🚲;kolo;kolo|vozilo
🛴;skiro;poganjanje|skiro
🛹;rolka;deska|rolka
🛼;kotalke;kotalka|kotalke|roler
🚏;avtobusna postaja;avtobus|avtobusna postaja|avtobusno postajališče|postajališče
🛣️;avtocesta;avtocesta|cesta
🛤️;železniška proga;vlak|železnica|železniška proga
🛢️;naftni sod;nafta|naftni sod|sod
⛽;črpalka za gorivo;bencin|črpalka|črpalka za gorivo|gorivo|servis
🛞;avtomobilsko kolo;avtomobilsko kolo|krog|pnevmatika|vrtenje
🚨;policijska luč;avto|luč|policija|policijska luč|rotacijska luč|vozilo|vrteče
🚥;vodoravni semafor;luč|promet|semafor|vodoravni semafor
🚦;navpični semafor;luč|navpični semafor|promet|semafor
🛑;znak stop;osemkotnik|stop|znak
🚧;zaprto zaradi gradnje;prepreka|zaprto zaradi gradnje
⚓;sidro;ladja|orodje|sidro
🛟;rešilni obroč;plavajoč|reševanje|rešilni jopič|rešilni obroč|rešilni pripomoček|varnost
⛵;jadrnica;čoln|jadrnica|jahta|letovišče|morje|vozilo
🛶;kanu;čoln|kanu
🚤;gliser;čoln|gliser|vozilo
🛳️;potniška ladja;ladja|potnik|potniška ladja|vozilo
⛴️;trajekt;ladja|trajekt
🛥️;motorni čoln;ladja|motorni čoln|vozilo
🚢;ladja;ladja|vozilo
✈️;letalo;letalo|vozilo
🛩️;manjše letalo;letalo|manjše letalo|vozilo
🛫;odhod letala;letalo|odhod|odhod letala|odhodi|prijava|vozilo
🛬;prihod letala;letalo|prihod|prihod letala|prihodi|pristanek|vozilo
🪂;padalo;jadralni zmaj|jadralno padalo|padalo|parasailing|skok s padalom
💺;sedež;sedež|stol
🚁;helikopter;helikopter|vozilo
🚟;viseča železnica;viseča železnica|viseče|vozilo|železnica
🚠;nihalka;gondola|gora|jeklena vrv|nihalka|vozilo
🚡;žičnica;gondola|jeklena vrv|tramvaj|vagon|vozilo|žičnica|zračno
🛰️;satelit;satelit|vesolje|vozilo
🚀;raketa;raketa|vesolje|vozilo
🛸;leteči krožnik;leteči krožnik
🛎️;hotelski zvonec;hotel|hotelski zvonec|portir|zvonec
🧳;prtljaga;pakiranje|potovanje|prtljaga
⌛;peščena ura;časovnik|peščena ura|pesek
⏳;peščena ura, ki teče;časovnik|ki teče|peščena ura|peščena ura, ki teče|pesek
⌚;ročna ura;ročna ura|ura
⏰;budilka;alarm|budilka|ura
⏱️;štoparica;štoparica|ura
⏲️;časovnik;časovnik|ura
🕰️;ura za na okvir kamina;ura|ura za na okvir kamina
🕛;poldne;00|12|dvanajst|poldne|ura
🕧;pol enih;12|12.30|30|dvanajst|ena|pol|pol enih|ura
🕐;ura je ena;00|1|1.00|ena|ura|ura je ena
🕜;pol dveh;1|1.30|30|dve|ena|pol|pol dveh|ura
🕑;ura je dve;00|2|2.00|dve|ura|ura je dve
🕝;pol treh;2|2.30|30|dve|pol|pol treh|tri|ura
🕒;ura je tri;00|3|3.00|tri|ura|ura je tri
🕞;pol štirih;3|3.30|30|pol|pol štirih|štiri|tri|ura
🕓;ura je štiri;00|4|4.00|štiri|ura|ura je štiri
🕟;pol petih;30|4|4.30|pet|pol|pol petih|štiri|ura
🕔;ura je pet;00|5|5.00|pet|ura|ura je pet
🕠;pol šestih;30|5|5.30|pet|pol|pol šestih|šest|ura
🕕;ura je šest;00|6|6.00|šest|ura|ura je šest
🕡;pol sedmih;30|6|6.30|pol|pol sedmih|sedem|šest|ura
🕖;ura je sedem;00|7|7.00|sedem|ura|ura je sedem
🕢;pol osmih;30|7|7.30|osem|pol|pol osmih|sedem|ura
🕗;ura je osem;00|8|8.00|osem|ura|ura je osem
🕣;pol devetih;30|8|8.30|devet|osem|pol|pol devetih|ura
🕘;ura je devet;00|9|9.00|devet|ura|ura je devet
🕤;pol desetih;30|9|9.30|deset|devet|pol|pol desetih|ura
🕙;ura je deset;00|10|10.00|deset|ura|ura je deset
🕥;pol enajstih;10|10.30|30|deset|enajst|pol|pol enajstih|ura
🕚;ura je enajst;00|11|11.00|enajst|ura|ura je enajst
🕦;pol dvanajstih;11|11.30|30|dvanajst|enajst|pol|pol dvanajstih|ura
🌑;mlada luna;luna|mlada luna|tema|vesolje|vreme
🌒;prvi krajec;krajec|luna|prvi|vesolje|vreme
🌓;polovično osvetljena luna v prvem krajcu;četrt|luna|polovično osvetljena luna v prvem krajcu|vesolje|vreme
🌔;več kot polovično osvetljen prvi krajec;luna|polovično|prvi|več kot polovično osvetljen prvi krajec|vesolje|vreme
🌕;polna luna;luna|polna luna|polno|vesolje|vreme
🌖;več kot polovično osvetljen zadnji krajec;luna|polovično|več kot polovično osvetljen zadnji krajec|vesolje|vreme|zadnji
🌗;polovično osvetljena luna v zadnjem krajcu;četrt|luna|polovično osvetljena luna v zadnjem krajcu|vesolje|vreme
🌘;zadnji krajec;krajec|luna|vesolje|vreme|zadnji
🌙;lunin srp;krajec|luna|lunin srp|vesolje|vreme
🌚;mlada luna z obrazom;luna|mlada luna z obrazom|obraz|vesolje|vreme
🌛;polovično osvetljena luna v prvem krajcu z obrazom;četrt|luna|obraz|polovično osvetljena luna v prvem krajcu z obrazom|vesolje|vreme
🌜;polovično osvetljena luna v zadnjem krajcu z obrazom;četrt|luna|obraz|polovično osvetljena luna v zadnjem krajcu z obrazom|vesolje|vreme
🌡️;termometer;termometer|vreme
☀️;sonce;sonce|sončno|svetlo|vesolje|vreme|žarki
🌝;polna luna z obrazom;luna|obraz|polna luna z obrazom|polno|svetlo|vesolje|vreme
🌞;sonce z obrazom;obraz|sonce|sonce z obrazom|svetlo|vesolje|vreme
🪐;planet z obročem;planet z obročem|saturn|saturnov obroč
⭐;bela srednja zvezda;bela srednja zvezda|zvezda
🌟;žareča zvezda;bleščeče|lesketanje|sijanje|žar|žareča zvezda|zvezda
🌠;utrinek;padanje|repatica|utrinek|vesolje|zvezda
🌌;rimska cesta;rimska cesta|vesolje|vreme
☁️;oblak;oblak|vreme
⛅;sonce za oblakom;oblak|sonce|sonce za oblakom|vreme
⛈️;oblak s strelo in dežjem;dež|oblak|oblak s strelo in dežjem|strela|vreme
🌤️;sonce za oblačkom;oblak|sonce|sonce za oblačkom|vreme
🌥️;sonce za velikim oblakom;oblak|sonce|sonce za velikim oblakom|vreme
🌦️;sonce za oblakom z dežjem;dež|oblak|sonce|sonce za oblakom z dežjem|vreme
🌧️;oblak z dežjem;dež|oblak|oblak z dežjem|vreme
🌨️;oblak s snegom;mrzlo|oblak|oblak s snegom|sneg|vreme
🌩️;oblak s strelo;oblak|oblak s strelo|strela|vreme
🌪️;tornado;oblak|tornado|vreme|vrtinec
🌫️;megla;megla|oblak|vreme
🌬️;obraz, ki piha veter;ki piha veter|oblak|obraz|obraz, ki piha veter|pihati|veter|vreme
🌀;ciklon;ciklon|tajfun|tornado|vreme|vrtoglavica
🌈;mavrica;dež|mavrica|vreme
🌂;zaprt dežnik;dež|dežnik|oblačila|vreme|zaprt dežnik
☂️;dežnik;dež|dežnik|oblačila|vreme
☔;dežnik z dežnimi kapljami;dež|dežnik|dežnik z dežnimi kapljami|kaplja|oblačila|vreme
⛱️;dežnik na tleh;dež|dežnik|dežnik na tleh|sonce|vreme
⚡;visoka napetost;električno|elektrika|napetost|nevarnost|strela|sunek|visoka napetost
❄️;snežinka;mrzlo|sneg|snežinka|vreme
☃️;snežak;mrzlo|sneg|snežak|vreme
⛄;snežak brez snega;mrzlo|sneg|snežak|snežak brez snega|vreme
☄️;komet;komet|vesolje
🔥;ogenj;ogenj|orodje|plamen
💧;kapljica;kaplja|kapljica|mrzlo|pot|strip|vreme
🌊;vodni val;morje|val|voda|vodni val|vreme

[activities]
🎃;izrezljana buča;buča|izrezljana buča|laterna|noč čarovnic|slavje
🎄;jelka;božič|drevešček|jelka|slavje
🎆;ognjemet;ognjemet|slavje
🎇;sibirska lučka;iskrenje|ognjemet|sibirska lučka|slavje
🧨;petarda;dinamit|eksploziv|ognjemet|petarda
✨;iskrice;*|iskrenje|iskrice|zvezda
🎈;balon;balon|slavje
🎉;pokalica za zabave;pokalica|pokalica za zabave|slavje|zabava
🎊;konfeti;konfeti|krogla|slavje
🎋;drevo za tanabato;drevo|drevo za tanabato|japonsko|pasica|slavje
🎍;okrasitev bora;bambus|bor|japonsko|okrasitev bora|rastlina|slavje
🎎;japonski lutki;festival|japonski lutki|japonsko|lutka|slavje
🎏;zastavni trak z ribama;barvno|riba|slavje|trak|zastavni trak z ribama
🎐;vetrni zvončki;slavje|veter|vetrni zvončki|zvonček|zvonec
🎑;lunino slavje;luna|lunino slavje|obred|slavje
🧧;rdeča ovojnica;darilo|denar|hóngbāo|lai see|rdeča ovojnica|sreča
🎀;pentlja;pentlja|slavje
🎁;zavito darilo;dar|darilo|škatla|slavje|zavito
🎗️;simbolna pentlja;pentlja|simbol|simbolna pentlja|slavje
🎟️;vstopnice;vstopnica|vstopnice|vstopnina
🎫;vstopnica;vstopnica|vstopnina
🎖️;vojaško odlikovanje;odlikovanje|slavje|vojaško
🏆;trofeja;nagrada|trofeja
🏅;športna medalja;medalja|športna medalja
🥇;zlata medalja;medalja|prvo mesto|zlata medalja|zlato
🥈;srebrna medalja;drugo mesto|medalja|srebrna medalja|srebro
🥉;bronasta medalja;bron|bronasta medalja|medalja|tretje mesto
⚽;nogometna žoga;nogomet|nogometna žoga|žoga
⚾;žogica za baseball;žoga|žogica za baseball
🥎;žoga za softball;pod roko|rokavica|žoga|žoga za softball
🏀;košarkarska žoga;koš|košarkarska žoga|obroč|žoga
🏐;žoga za odbojko;igra|žoga|žoga za odbojko
🏈;žoga za ameriški nogomet;ameriško|nogomet|žoga|žoga za ameriški nogomet
🏉;žoga za ragbi;nogomet|ragbi|žoga|žoga za ragbi
🎾;tenis;lopar|tenis|žoga
🥏;frizbi;frizbi|najboljši
🎳;kegljanje;igra|kegljanje|krogla
🏏;kriket;igra|kij|kriket|žogica
🏑;hokej na travi;hokej|hokej na travi|igra|palica|polje|žogica
🏒;hokejska palica in plošček;hokej|hokejska palica in plošček|igra|led|palica|plošček
🥍;lacrosse;gol|lacrosse|palica|žoga
🏓;namizni tenis;igra|kij|lopar|namizni tenis|žogica
🏸;badminton;badminton|igra|lopar|perjanica|žogica
🥊;boksarska rokavica;boks|boksarska rokavica|rokavica|šport
🥋;kimono za borilne športe;borilne veščine|judo|karate|kimono za borilne športe|šport|taekwondo|uniforma
🥅;gol;gol|mreža|šport
⛳;zastavica v luknji;golf|luknja|zastavica v luknji
⛸️;drsalka;drsalka|drsati|led
🎣;ribiška palica;palica|riba|ribiška palica
🤿;potapljaška maska;na dah|potapljanje|potapljaška maska|snorkljanje
🎽;tekaška majica;lenta|majica|tek|tekaška majica
🎿;smučke;smučati|smučke|sneg
🛷;sanke;sanke
🥌;curling;curling
🎯;zadetek v polno;igra|pikado|središče|zadetek|zadetek v polno
🪀;jojo;igrača|jojo|nihanje|proč sem
🪁;zmaj (igrača);jadrati|leteti|zmaj (igrača)
🔫;vodna pištola;orodje|orožje|pištola|revolver|vodna pištola
🎱;biljard;8|biljard|igra|krogla|osmica
🔮;kristalna krogla;fantazija|kristalna|krogla|orodje|pravljica|prerokba
🪄;čarobna palica;čarobna palica|čarovnica|čarovnija|čarovnik
🎮;videoigra;igra|krmilnik|videoigra
🕹️;igralna palica;igra|igralna palica|videoigra
🎰;igralni avtomat;avtomat|igra|igralni avtomat
🎲;igralna kocka;igra|igralna kocka|kocka
🧩;delček sestavljanke;delček|delček sestavljanke|namig|prileganje|sestavljanka
🧸;medvedek;igrača|lutka|medvedek|plišasta|polnjena
🪅;pinjata;pinjata|praznovanje|zabava
🪩;disko krogla;bleščanje|disko|disko krogla|ples|zabava
🪆;babuška;babuška|gnezdenje|lutka|rusija
♠️;pik;barva|igra|karta|pik
♥️;srce;barva|igra|karta|srca|srce
♦️;karo;barva|kari igra|karo|karta
♣️;križ;barva|igra|karta|križ|križi
♟️;kmet pri šahu;kmet pri šahu|pogrešljiv|šah|tepček
🃏;joker;igra|igranje|joker|karta
🀄;rdeči zmaj v mahjongu;igra|mahjong|rdeče|rdeči zmaj v mahjongu
🎴;rožne igralne karte;igra|igranje|japonsko|karta|roža|rožne igralne karte
🎭;scenske umetnosti;gledališče|maska|nastopanje|scenske umetnosti|umetnost
🖼️;uokvirjena slika;muzej|okvir|risba|slika|umetnost|uokvirjena slika
🎨;slikarska paleta;muzej|paleta|slika|slikarska paleta|umetnost
🧵;sukanec;navitek|nit|šivanje|šivanka|sukanec
🪡;šivanka;igla|krojenje|šivanje|šivanka|šivi|spoji|vezenje
🧶;preja;klobčič|kvačkanje|pletenje|preja
🪢;vozel;sukanec|vozel|vrv|vrvica|zanka

[objects]
👓;očala;oblačila|očala|oči
🕶️;sončna očala;očala|oči|sončna očala|temno
🥽;zaščitna očala;plavanje|varjenje|zaščita oči|zaščitna očala
🥼;laboratorijska halja;eksperiment|laboratorijska halja|zdravnik|znanstvenik
🦺;varnostni jopič;jopič|reševalni|v sili|varnostni jopič
👔;kravata;kravata|oblačila
👕;majica;kratka majica|majica|oblačila|srajca
👖;kavbojke;hlače|kavbojke|oblačila
🧣;šal;šal
🧤;rokavice;rokavice
🧥;plašč;plašč
🧦;nogavice;nogavice
👗;ženska obleka;oblačila|ženska obleka
👘;kimono;kimono|oblačila
🥻;sari;oblačilo|obleka|ogrinjalo|sari
🩱;enodelne kopalke;enodelne kopalke|kopalna obleka|ženske kopalke
🩲;spodnje hlače;enodelno|kopalke|kopalno oblačilo|spodnje hlače|spodnje perilo
🩳;kratke hlače;kopalke|kopalne hlače|kratke hlače|spodnje perilo
👙;bikini;bikini|oblačila|plavati
👚;ženska oblačila;oblačila|ženska
🪭;pahljača;hlajenje|pahljača|pahljati|ples|sramežljiv|trepetati|vroče
👛;drobižnica;drobižnica|kovanec|oblačila
👜;ročna torbica;oblačila|ročna torbica|torbica
👝;večerna torbica;oblačila|torbica|večerna torbica
🛍️;nakupovalni vrečki;hotel|nakupovalni vrečki|nakupovanje|torbica
🎒;šolski nahrbtnik;nahrbtnik|šola|šolski nahrbtnik|torba
🩴;japonke;japonke|obuvalo za plažo|sandali|sandali za plažo|zōri
👞;moški čevelj;čevelj|moški|oblačila
👟;tekaški čevelj;čevelj|oblačila|športno|superga|tekaški čevelj
🥾;pohodniški čevelj;čevelj|kampiranje|planinarjenje|pohodniški čevelj|pohodništvo
🥿;balerinke;balerinke|balernike|brez pete|natakniti
👠;čevelj z visoko peto;čevelj|čevelj z visoko peto|oblačila|peta|ženska
👡;ženski sandali;čevelj|oblačila|sandal|ženska|ženski sandali
🩰;baletni čeveljci;balet|baletni čeveljci|ples
👢;ženski škorenj;čevelj|oblačila|škorenj|ženska|ženski škorenj
🪮;glavnik za v lase;afro|česati|glavnik|glavnik za v lase|lasje
👑;krona;kralj|kraljica|krona|oblačila
👒;ženski klobuk;klobuk|oblačila|ženska|ženski klobuk
🎩;cilinder;cilinder|klobuk|oblačila
