# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
🉐;ιδεόγραμμα προσφοράς σε τετράγωνο;ιαπωνικό|ιδεόγραμμα προσφοράς σε τετράγωνο
🈹;ιδεόγραμμα έκπτωσης σε τετράγωνο;ιαπωνικό|ιδεόγραμμα έκπτωσης σε τετράγωνο
🈚;ιδεόγραμμα δωρεάν σε τετράγωνο;ιαπωνικό|ιδεόγραμμα δωρεάν σε τετράγωνο
🈲;ιδεόγραμμα απαγόρευσης σε τετράγωνο;ιαπωνικό|ιδεόγραμμα απαγόρευσης σε τετράγωνο
🉑;ιδεόγραμμα αποδοχής σε κύκλο;ιαπωνικό|ιδεόγραμμα αποδοχής σε κύκλο
🈸;ιδεόγραμμα εφαρμογής σε τετράγωνο;ιαπωνικό|ιδεόγραμμα εφαρμογής σε τετράγωνο
🈴;ιδεόγραμμα βαθμού βάσης σε τετράγωνο;ιαπωνικό|ιδεόγραμμα βαθμού βάσης σε τετράγωνο
🈳;ιδεόγραμμα μη πληρότητας σε τετράγωνο;ιαπωνικό|ιδεόγραμμα μη πληρότητας σε τετράγωνο
㊗️;ιδεόγραμμα συγχαρητηρίων σε κύκλο;ιαπωνικό|ιδεόγραμμα συγχαρητηρίων σε κύκλο
㊙️;ιδεόγραμμα μυστικού σε κύκλο;ιαπωνικό|ιδεόγραμμα μυστικού σε κύκλο
🈺;ιδεόγραμμα λειτουργίας σε τετράγωνο;ιαπωνικό|ιδεόγραμμα λειτουργίας σε τετράγωνο
🈵;ιδεόγραμμα πληρότητας σε τετράγωνο;ιαπωνικό|ιδεόγραμμα πληρότητας σε τετράγωνο
🔴;κόκκινος κύκλος;γεωμετρικό|κόκκινο|κόκκινος κύκλος|κύκλος
🟠;πορτοκαλί κύκλος;κύκλος|πορτοκαλί
🟡;κίτρινος κύκλος;κίτρινος|κύκλος
🟢;πράσινος κύκλος;κύκλος|πράσινος
🔵;μπλε κύκλος;γεωμετρικό|κύκλος|μπλε
🟣;μοβ κύκλος;κύκλος|μοβ|μωβ
🟤;καφέ κύκλος;καφέ|κύκλος
⚫;μαύρος κύκλος;γεωμετρικό|κύκλος|μαύρος κύκλος
⚪;λευκός κύκλος;γεωμετρικό|κύκλος|λευκός κύκλος
🟥;κόκκινο τετράγωνο;κόκκινο|τετράγωνο
🟧;πορτοκαλί τετράγωνο;πορτοκαλί|τετράγωνο
🟨;κίτρινο τετράγωνο;κίτρινο|τετράγωνο
🟩;πράσινο τετράγωνο;πράσινο|τετράγωνο
🟦;μπλε τετράγωνο;μπλε|τετράγωνο
🟪;μοβ τετράγωνο;μοβ|μωβ|τετράγωνο
🟫;καφέ τετράγωνο;καφέ|τετράγωνο
⬛;μεγάλο μαύρο τετράγωνο;γεωμετρικό|μεγάλο μαύρο τετράγωνο|τετράγωνο
⬜;μεγάλο λευκό τετράγωνο;γεωμετρικό|μεγάλο λευκό τετράγωνο|τετράγωνο
◼️;μεσαίο μαύρο τετράγωνο;γεωμετρικό|μεσαίο μαύρο τετράγωνο|τετράγωνο
◻️;μεσαίο λευκό τετράγωνο;γεωμετρικό|μεσαίο λευκό τετράγωνο|τετράγωνο
◾;μικρομεσαίο μαύρο τετράγωνο;γεωμετρικό|μικρομεσαίο μαύρο τετράγωνο|τετράγωνο
◽;μικρομεσαίο λευκό τετράγωνο;γεωμετρικό|μικρομεσαίο λευκό τετράγωνο|τετράγωνο
▪️;μικρό μαύρο τετράγωνο;γεωμετρικό|μικρό μαύρο τετράγωνο|τετράγωνο
▫️;μικρό λευκό τετράγωνο;γεωμετρικό|μικρό λευκό τετράγωνο|τετράγωνο
🔶;μεγάλος πορτοκαλί ρόμβος;γεωμετρικό|διαμάντι|μεγάλος πορτοκαλί ρόμβος|πορτοκαλί
🔷;μεγάλος μπλε ρόμβος;γεωμετρικό|διαμάντι|μεγάλος μπλε ρόμβος|μπλε
🔸;μικρός πορτοκαλί ρόμβος;γεωμετρικό|διαμάντι|μικρός πορτοκαλί ρόμβος|πορτοκαλί
🔹;μικρός μπλε ρόμβος;γεωμετρικό|διαμάντι|μικρός μπλε ρόμβος|μπλε
🔺;κόκκινο τρίγωνο πάνω;γεωμετρικό|κόκκινο|κόκκινο τρίγωνο πάνω
🔻;κόκκινο τρίγωνο κάτω;γεωμετρικό|κάτω|κόκκινο|κόκκινο τρίγωνο κάτω
💠;ρόμβος με τελεία;γεωμετρικό|διαμάντι|κόμικ|μέσα|ρόμβος με τελεία
🔘;στρογγυλό κουμπί;γεωμετρικό|κουμπί|στρογγυλό κουμπί
🔳;λευκό τετράγωνο κουμπί;γεωμετρικό|κουμπί|λευκό τετράγωνο κουμπί|με περίγραμμα|τετράγωνο
🔲;μαύρο τετράγωνο κουμπί;γεωμετρικό|κουμπί|μαύρο τετράγωνο κουμπί|τετράγωνο

[flags]
🏁;καρό σημαία;αγώνας|αγώνες|καρό|καρό σημαία|σημαία τερματισμού
🚩;τριγωνική σημαία;αλληλογραφία|τριγωνική σημαία
🎌;σταυρωτές σημαίες;γιορτή|ιαπωνικό|σταυρός|σταυρωτές|σταυρωτές σημαίες
🏴;μαύρη σημαία;κυματίζει|μαύρη σημαία
🏳️;λευκή σημαία;κυματίζει|λευκή σημαία
🏳️‍🌈;σημαία ουράνιου τόξου;ουράνιο τόξο|σημαία ουράνιου τόξου
🏳️‍⚧️;σημαία των διεμφυλικών;γαλάζιο|διεμφυλικός|λευκό|ροζ|σημαία|σημαία των διεμφυλικών
🏴‍☠️;πειρατική σημαία;θησαυρός|λάφυρα|πειρατής|πειρατική σημαία|Τζόλι Ρότζερ
🇦🇨;σημαία: Νήσος Ασενσιόν;σημαία|σημαία: Νήσος Ασενσιόν
🇦🇩;σημαία: Ανδόρα;σημαία|σημαία: Ανδόρα
🇦🇪;σημαία: Ηνωμένα Αραβικά Εμιράτα;σημαία|σημαία: Ηνωμένα Αραβικά Εμιράτα
🇦🇫;σημαία: Αφγανιστάν;σημαία|σημαία: Αφγανιστάν
🇦🇬;σημαία: Αντίγκουα και Μπαρμπούντα;σημαία|σημαία: Αντίγκουα και Μπαρμπούντα
🇦🇮;σημαία: Ανγκουίλα;σημαία|σημαία: Ανγκουίλα
🇦🇱;σημαία: Αλβανία;σημαία|σημαία: Αλβανία
🇦🇲;σημαία: Αρμενία;σημαία|σημαία: Αρμενία
🇦🇴;σημαία: Αγκόλα;σημαία|σημαία: Αγκόλα
🇦🇶;σημαία: Ανταρκτική;σημαία|σημαία: Ανταρκτική
🇦🇷;σημαία: Αργεντινή;σημαία|σημαία: Αργεντινή
🇦🇸;σημαία: Αμερικανική Σαμόα;σημαία|σημαία: Αμερικανική Σαμόα
🇦🇹;σημαία: Αυστρία;σημαία|σημαία: Αυστρία
🇦🇺;σημαία: Αυστραλία;σημαία|σημαία: Αυστραλία
🇦🇼;σημαία: Αρούμπα;σημαία|σημαία: Αρούμπα
🇦🇽;σημαία: Νήσοι Όλαντ;σημαία|σημαία: Νήσοι Όλαντ
🇦🇿;σημαία: Αζερμπαϊτζάν;σημαία|σημαία: Αζερμπαϊτζάν
🇧🇦;σημαία: Βοσνία - Ερζεγοβίνη;σημαία|σημαία: Βοσνία - Ερζεγοβίνη
🇧🇧;σημαία: Μπαρμπέιντος;σημαία|σημαία: Μπαρμπέιντος
🇧🇩;σημαία: Μπανγκλαντές;σημαία|σημαία: Μπανγκλαντές
🇧🇪;σημαία: Βέλγιο;σημαία|σημαία: Βέλγιο
🇧🇫;σημαία: Μπουρκίνα Φάσο;σημαία|σημαία: Μπουρκίνα Φάσο
🇧🇬;σημαία: Βουλγαρία;σημαία|σημαία: Βουλγαρία
🇧🇭;σημαία: Μπαχρέιν;σημαία|σημαία: Μπαχρέιν
🇧🇮;σημαία: Μπουρούντι;σημαία|σημαία: Μπουρούντι
🇧🇯;σημαία: Μπενίν;σημαία|σημαία: Μπενίν
🇧🇱;σημαία: Άγιος Βαρθολομαίος;σημαία|σημαία: Άγιος Βαρθολομαίος
🇧🇲;σημαία: Βερμούδες;σημαία|σημαία: Βερμούδες
🇧🇳;σημαία: Μπρουνέι;σημαία|σημαία: Μπρουνέι
🇧🇴;σημαία: Βολιβία;σημαία|σημαία: Βολιβία
🇧🇶;σημαία: Ολλανδία Καραϊβικής;σημαία|σημαία: Ολλανδία Καραϊβικής
🇧🇷;σημαία: Βραζιλία;σημαία|σημαία: Βραζιλία
🇧🇸;σημαία: Μπαχάμες;σημαία|σημαία: Μπαχάμες
🇧🇹;σημαία: Μπουτάν;σημαία|σημαία: Μπουτάν
🇧🇻;σημαία: Νήσος Μπουβέ;σημαία|σημαία: Νήσος Μπουβέ
🇧🇼;σημαία: Μποτσουάνα;σημαία|σημαία: Μποτσουάνα
🇧🇾;σημαία: Λευκορωσία;σημαία|σημαία: Λευκορωσία
🇧🇿;σημαία: Μπελίζ;σημαία|σημαία: Μπελίζ
🇨🇦;σημαία: Καναδάς;σημαία|σημαία: Καναδάς
🇨🇨;σημαία: Νήσοι Κόκος (Κίλινγκ);σημαία|σημαία: Νήσοι Κόκος (Κίλινγκ)
🇨🇩;σημαία: Κονγκό - Κινσάσα;σημαία|σημαία: Κονγκό - Κινσάσα
🇨🇫;σημαία: Κεντροαφρικανική Δημοκρατία;σημαία|σημαία: Κεντροαφρικανική Δημοκρατία
🇨🇬;σημαία: Κονγκό - Μπραζαβίλ;σημαία|σημαία: Κονγκό - Μπραζαβίλ
🇨🇭;σημαία: Ελβετία;σημαία|σημαία: Ελβετία
🇨🇮;σημαία: Ακτή Ελεφαντοστού;σημαία|σημαία: Ακτή Ελεφαντοστού
🇨🇰;σημαία: Νήσοι Κουκ;σημαία|σημαία: Νήσοι Κουκ
🇨🇱;σημαία: Χιλή;σημαία|σημαία: Χιλή
🇨🇲;σημαία: Καμερούν;σημαία|σημαία: Καμερούν
🇨🇳;σημαία: Κίνα;σημαία|σημαία: Κίνα
🇨🇴;σημαία: Κολομβία;σημαία|σημαία: Κολομβία
🇨🇵;σημαία: Νήσος Κλίπερτον;σημαία|σημαία: Νήσος Κλίπερτον
🇨🇷;σημαία: Κόστα Ρίκα;σημαία|σημαία: Κόστα Ρίκα
🇨🇺;σημαία: Κούβα;σημαία|σημαία: Κούβα
🇨🇻;σημαία: Πράσινο Ακρωτήριο;σημαία|σημαία: Πράσινο Ακρωτήριο
🇨🇼;σημαία: Κουρασάο;σημαία|σημαία: Κουρασάο
🇨🇽;σημαία: Νήσος των Χριστουγέννων;σημαία|σημαία: Νήσος των Χριστουγέννων
🇨🇾;σημαία: Κύπρος;σημαία|σημαία: Κύπρος
🇨🇿;σημαία: Τσεχία;σημαία|σημαία: Τσεχία
🇩🇪;σημαία: Γερμανία;σημαία|σημαία: Γερμανία
🇩🇬;σημαία: Ντιέγκο Γκαρσία;σημαία|σημαία: Ντιέγκο Γκαρσία
🇩🇯;σημαία: Τζιμπουτί;σημαία|σημαία: Τζιμπουτί
🇩🇰;σημαία: Δανία;σημαία|σημαία: Δανία
🇩🇲;σημαία: Ντομίνικα;σημαία|σημαία: Ντομίνικα
🇩🇴;σημαία: Δομινικανή Δημοκρατία;σημαία|σημαία: Δομινικανή Δημοκρατία
🇩🇿;σημαία: Αλγερία;σημαία|σημαία: Αλγερία
🇪🇦;σημαία: Θέουτα και Μελίγια;σημαία|σημαία: Θέουτα και Μελίγια
🇪🇨;σημαία: Ισημερινός;σημαία|σημαία: Ισημερινός
🇪🇪;σημαία: Εσθονία;σημαία|σημαία: Εσθονία
🇪🇬;σημαία: Αίγυπτος;σημαία|σημαία: Αίγυπτος
🇪🇭;σημαία: Δυτική Σαχάρα;σημαία|σημαία: Δυτική Σαχάρα
🇪🇷;σημαία: Ερυθραία;σημαία|σημαία: Ερυθραία
🇪🇸;σημαία: Ισπανία;σημαία|σημαία: Ισπανία
🇪🇹;σημαία: Αιθιοπία;σημαία|σημαία: Αιθιοπία
🇪🇺;σημαία: Ευρωπαϊκή Ένωση;σημαία|σημαία: Ευρωπαϊκή Ένωση
🇫🇮;σημαία: Φινλανδία;σημαία|σημαία: Φινλανδία
🇫🇯;σημαία: Φίτζι;σημαία|σημαία: Φίτζι
🇫🇰;σημαία: Νήσοι Φόκλαντ;σημαία|σημαία: Νήσοι Φόκλαντ
