# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
	👩🏾‍❤️‍💋‍👩🏻;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားညိုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်|အသားဖြူရောင်
	👩🏾‍❤️‍💋‍👩🏼;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားညိုရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်|အသားနုရောင်
	👩🏾‍❤️‍💋‍👩🏽;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားညိုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်|အသားလတ်ရောင်
	👩🏾‍❤️‍💋‍👩🏾;အနမ်း − အမျိုးသမီး - အမျိုးသမီးနှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်
	👩🏾‍❤️‍💋‍👩🏿;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားညိုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်|အသားမည်းရောင်
	👩🏿‍❤️‍💋‍👩🏻;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားမည်းရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားဖြူရောင်|အသားမည်းရောင်
	👩🏿‍❤️‍💋‍👩🏼;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားမည်းရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားနုရောင်|အသားမည်းရောင်
	👩🏿‍❤️‍💋‍👩🏽;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားမည်းရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားမည်းရောင်|အသားလတ်ရောင်
	👩🏿‍❤️‍💋‍👩🏾;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားမည်းရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်|အသားမည်းရောင်
	👩🏿‍❤️‍💋‍👩🏿;အနမ်း − အမျိုးသမီး - အမျိုးသမီးနှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားမည်းရောင်
💑;နှလုံးသားနှင့် စုံတွဲ;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|အချစ်
	💑🏻;နှလုံးသားနှင့် စုံတွဲ − အသားဖြူရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|အချစ်|အသားဖြူရောင်
	💑🏼;နှလုံးသားနှင့် စုံတွဲ − အသားနုရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|အချစ်|အသားနုရောင်
	💑🏽;နှလုံးသားနှင့် စုံတွဲ − အသားလတ်ရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|အချစ်|အသားလတ်ရောင်
	💑🏾;နှလုံးသားနှင့် စုံတွဲ − အသားညိုရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|အချစ်|အသားညိုရောင်
	💑🏿;နှလုံးသားနှင့် စုံတွဲ − အသားမည်းရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|အချစ်|အသားမည်းရောင်
	🧑🏻‍❤️‍🧑🏼;နှလုံးသားနှင့် စုံတွဲ − လူ - လူ - အသားဖြူရောင်နှင့် အသားနုရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|လူ|အချစ်|အသားနုရောင်|အသားဖြူရောင်
	🧑🏻‍❤️‍🧑🏽;နှလုံးသားနှင့် စုံတွဲ − လူ - လူ - အသားဖြူရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|လူ|အချစ်|အသားဖြူရောင်|အသားလတ်ရောင်
	🧑🏻‍❤️‍🧑🏾;နှလုံးသားနှင့် စုံတွဲ − လူ - လူ - အသားဖြူရောင်နှင့် အသားညိုရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|လူ|အချစ်|အသားညိုရောင်|အသားဖြူရောင်
	🧑🏻‍❤️‍🧑🏿;နှလုံးသားနှင့် စုံတွဲ − လူ - လူ - အသားဖြူရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|လူ|အချစ်|အသားဖြူရောင်|အသားမည်းရောင်
	🧑🏼‍❤️‍🧑🏻;နှလုံးသားနှင့် စုံတွဲ − လူ - လူ - အသားနုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|နှလုံးသားနှင့် စုံတွဲ|နှလုံးသားနှင့် စုံတွဲပုံ|လူ|အချစ်|အသားနုရောင်|အသားဖြူရောင်
