# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	👨🏻‍❤️‍👨🏽;זוג עם לב: איש, איש, גוון עור בהיר, גוון עור בינוני;אהבה|איש|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏻‍❤️‍👨🏾;זוג עם לב: איש, איש, גוון עור בהיר, גוון עור כהה בינוני;אהבה|איש|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏻‍❤️‍👨🏿;זוג עם לב: איש, איש, גוון עור בהיר, גוון עור כהה;אהבה|איש|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏼‍❤️‍👨🏻;זוג עם לב: איש, איש, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏼‍❤️‍👨🏼;זוג עם לב: איש, איש, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏼‍❤️‍👨🏽;זוג עם לב: איש, איש, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏼‍❤️‍👨🏾;זוג עם לב: איש, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏼‍❤️‍👨🏿;זוג עם לב: איש, איש, גוון עור בהיר בינוני, גוון עור כהה;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏽‍❤️‍👨🏻;זוג עם לב: איש, איש, גוון עור בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏽‍❤️‍👨🏼;זוג עם לב: איש, איש, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏽‍❤️‍👨🏽;זוג עם לב: איש, איש, גוון עור בינוני;אהבה|איש|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏽‍❤️‍👨🏾;זוג עם לב: איש, איש, גוון עור בינוני, גוון עור כהה בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏽‍❤️‍👨🏿;זוג עם לב: איש, איש, גוון עור בינוני, גוון עור כהה;אהבה|איש|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏾‍❤️‍👨🏻;זוג עם לב: איש, איש, גוון עור כהה בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏾‍❤️‍👨🏼;זוג עם לב: איש, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏾‍❤️‍👨🏽;זוג עם לב: איש, איש, גוון עור כהה בינוני, גוון עור בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏾‍❤️‍👨🏾;זוג עם לב: איש, איש, גוון עור כהה בינוני;אהבה|איש|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏾‍❤️‍👨🏿;זוג עם לב: איש, איש, גוון עור כהה בינוני, גוון עור כהה;אהבה|איש|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏿‍❤️‍👨🏻;זוג עם לב: איש, איש, גוון עור כהה, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏿‍❤️‍👨🏼;זוג עם לב: איש, איש, גוון עור כהה, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏿‍❤️‍👨🏽;זוג עם לב: איש, איש, גוון עור כהה, גוון עור בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏿‍❤️‍👨🏾;זוג עם לב: איש, איש, גוון עור כהה, גוון עור כהה בינוני;אהבה|איש|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏿‍❤️‍👨🏿;זוג עם לב: איש, איש, גוון עור כהה;אהבה|איש|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
👩‍❤️‍👩;זוג עם לב: אישה, אישה;אהבה|אישה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👩🏻;זוג עם לב: אישה, אישה, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👩🏼;זוג עם לב: אישה, אישה, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👩🏽;זוג עם לב: אישה, אישה, גוון עור בהיר, גוון עור בינוני;אהבה|אישה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👩🏾;זוג עם לב: אישה, אישה, גוון עור בהיר, גוון עור כהה בינוני;אהבה|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👩🏿;זוג עם לב: אישה, אישה, גוון עור בהיר, גוון עור כהה;אהבה|אישה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👩🏻;זוג עם לב: אישה, אישה, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👩🏼;זוג עם לב: אישה, אישה, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👩🏽;זוג עם לב: אישה, אישה, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👩🏾;זוג עם לב: אישה, אישה, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👩🏿;זוג עם לב: אישה, אישה, גוון עור בהיר בינוני, גוון עור כהה;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👩🏻;זוג עם לב: אישה, אישה, גוון עור בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👩🏼;זוג עם לב: אישה, אישה, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👩🏽;זוג עם לב: אישה, אישה, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👩🏾;זוג עם לב: אישה, אישה, גוון עור בינוני, גוון עור כהה בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👩🏿;זוג עם לב: אישה, אישה, גוון עור בינוני, גוון עור כהה;אהבה|אישה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👩🏻;זוג עם לב: אישה, אישה, גוון עור כהה בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👩🏼;זוג עם לב: אישה, אישה, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👩🏽;זוג עם לב: אישה, אישה, גוון עור כהה בינוני, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👩🏾;זוג עם לב: אישה, אישה, גוון עור כהה בינוני;אהבה|אישה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👩🏿;זוג עם לב: אישה, אישה, גוון עור כהה בינוני, גוון עור כהה;אהבה|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👩🏻;זוג עם לב: אישה, אישה, גוון עור כהה, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👩🏼;זוג עם לב: אישה, אישה, גוון עור כהה, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👩🏽;זוג עם לב: אישה, אישה, גוון עור כהה, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👩🏾;זוג עם לב: אישה, אישה, גוון עור כהה, גוון עור כהה בינוני;אהבה|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👩🏿;זוג עם לב: אישה, אישה, גוון עור כהה;אהבה|אישה|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
👨‍👩‍👦;משפחה: איש, אישה, בן;אבא|איש|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👩‍👧;משפחה: איש, אישה, בת;אבא|איש|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👩‍👧‍👦;משפחה: איש, אישה, בת, בן;אבא|איש|אישה|אמא|בן|בת|הורים|ילד|ילדה|משפחה
👨‍👩‍👦‍👦;משפחה: איש, אישה, בן, בן;אבא|איש|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👩‍👧‍👧;משפחה: איש, אישה, בת, בת;אבא|איש|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👨‍👦;משפחה: איש, איש, בן;אבא|איש|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👨‍👧;משפחה: איש, איש, בת;אבא|איש|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👨‍👧‍👦;משפחה: איש, איש, בת, בן;אבא|איש|אמא|בן|בת|הורים|ילד|ילדה|משפחה
👨‍👨‍👦‍👦;משפחה: איש, איש, בן, בן;אבא|איש|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👨‍👧‍👧;משפחה: איש, איש, בת, בת;אבא|איש|אמא|בת|הורים|ילד|ילדה|משפחה
👩‍👩‍👦;משפחה: אישה, אישה, בן;אבא|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👩‍👩‍👧;משפחה: אישה, אישה, בת;אבא|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👩‍👩‍👧‍👦;משפחה: אישה, אישה, בת, בן;אבא|אישה|אמא|בן|בת|הורים|ילד|ילדה|משפחה
👩‍👩‍👦‍👦;משפחה: אישה, אישה, בן, בן;אבא|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👩‍👩‍👧‍👧;משפחה: אישה, אישה, בת, בת;אבא|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👦;משפחה: איש, בן;אבא|איש|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👦‍👦;משפחה: איש, בן, בן;אבא|איש|אמא|בן|הורים|ילד|ילדה|משפחה
