# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
	👨🏾‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست طلایی;پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد، و پوست گندمی;پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست آبنوسی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست سفید;پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست روشن;پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست طلایی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد،‏ پوست آبنوسی، و پوست گندمی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏿‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد، و پوست آبنوسی;پوست آبنوسی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
👩‍❤️‍👩;زوج عاشق: زن،‏ زن;داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏻‍❤️‍👩🏻;زوج عاشق: زن،‏ زن، و پوست سفید;پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏻‍❤️‍👩🏼;زوج عاشق: زن،‏ زن،‏ پوست سفید، و پوست روشن;پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏻‍❤️‍👩🏽;زوج عاشق: زن،‏ زن،‏ پوست سفید، و پوست طلایی;پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏻‍❤️‍👩🏾;زوج عاشق: زن،‏ زن،‏ پوست سفید، و پوست گندمی;پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏻‍❤️‍👩🏿;زوج عاشق: زن،‏ زن،‏ پوست سفید، و پوست آبنوسی;پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏼‍❤️‍👩🏻;زوج عاشق: زن،‏ زن،‏ پوست روشن، و پوست سفید;پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏼‍❤️‍👩🏼;زوج عاشق: زن،‏ زن، و پوست روشن;پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏼‍❤️‍👩🏽;زوج عاشق: زن،‏ زن،‏ پوست روشن، و پوست طلایی;پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏼‍❤️‍👩🏾;زوج عاشق: زن،‏ زن،‏ پوست روشن، و پوست گندمی;پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏼‍❤️‍👩🏿;زوج عاشق: زن،‏ زن،‏ پوست روشن، و پوست آبنوسی;پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏽‍❤️‍👩🏻;زوج عاشق: زن،‏ زن،‏ پوست طلایی، و پوست سفید;پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏽‍❤️‍👩🏼;زوج عاشق: زن،‏ زن،‏ پوست طلایی، و پوست روشن;پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏽‍❤️‍👩🏽;زوج عاشق: زن،‏ زن، و پوست طلایی;پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏽‍❤️‍👩🏾;زوج عاشق: زن،‏ زن،‏ پوست طلایی، و پوست گندمی;پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏽‍❤️‍👩🏿;زوج عاشق: زن،‏ زن،‏ پوست طلایی، و پوست آبنوسی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏾‍❤️‍👩🏻;زوج عاشق: زن،‏ زن،‏ پوست گندمی، و پوست سفید;پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏾‍❤️‍👩🏼;زوج عاشق: زن،‏ زن،‏ پوست گندمی، و پوست روشن;پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏾‍❤️‍👩🏽;زوج عاشق: زن،‏ زن،‏ پوست گندمی، و پوست طلایی;پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏾‍❤️‍👩🏾;زوج عاشق: زن،‏ زن، و پوست گندمی;پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏾‍❤️‍👩🏿;زوج عاشق: زن،‏ زن،‏ پوست گندمی، و پوست آبنوسی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏿‍❤️‍👩🏻;زوج عاشق: زن،‏ زن،‏ پوست آبنوسی، و پوست سفید;پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏿‍❤️‍👩🏼;زوج عاشق: زن،‏ زن،‏ پوست آبنوسی، و پوست روشن;پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏿‍❤️‍👩🏽;زوج عاشق: زن،‏ زن،‏ پوست آبنوسی، و پوست طلایی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏿‍❤️‍👩🏾;زوج عاشق: زن،‏ زن،‏ پوست آبنوسی، و پوست گندمی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
	👩🏿‍❤️‍👩🏿;زوج عاشق: زن،‏ زن، و پوست آبنوسی;پوست آبنوسی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
👨‍👩‍👦;خانواده: مرد،‏ زن، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👩‍👧;خانواده: مرد،‏ زن، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👩‍👧‍👦;خانواده: مرد،‏ زن،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👩‍👦‍👦;خانواده: مرد،‏ زن،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👩‍👧‍👧;خانواده: مرد،‏ زن،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👦;خانواده: مرد،‏ مرد، و پسر;پسر|خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👧;خانواده: مرد،‏ مرد، و دختر;خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👧‍👦;خانواده: مرد،‏ مرد،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👦‍👦;خانواده: مرد،‏ مرد،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک|مرد
👨‍👨‍👧‍👧;خانواده: مرد،‏ مرد،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👩‍👩‍👦;خانواده: زن،‏ زن، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک
👩‍👩‍👧;خانواده: زن،‏ زن، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👩‍👩‍👧‍👦;خانواده: زن،‏ زن،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👩‍👩‍👦‍👦;خانواده: زن،‏ زن،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک
👩‍👩‍👧‍👧;خانواده: زن،‏ زن،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👨‍👦;خانواده: مرد،‏ پسر;پسر|خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک|مرد
👨‍👦‍👦;خانواده: مرد،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک|مرد
👨‍👧;خانواده: مرد،‏ دختر;خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👨‍👧‍👦;خانواده: مرد،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👨‍👧‍👧;خانواده: مرد،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|عائله|فامیل|فرزند|کودک|مرد
👩‍👦;خانواده: زن،‏ پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک
👩‍👦‍👦;خانواده: زن،‏ پسر، و پسر;پسر|خانه‌وار|خانواده|زن|عائله|فامیل|فرزند|کودک
👩‍👧;خانواده: زن،‏ دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👩‍👧‍👦;خانواده: زن،‏ دختر، و پسر;پسر|خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
👩‍👧‍👧;خانواده: زن،‏ دختر، و دختر;خانه‌وار|خانواده|دختر|زن|عائله|فامیل|فرزند|کودک
🗣️;درحال صحبت کردن;در حال صحبت|درحال صحبت کردن|سایه|سایه‌نما|سر|صحبت|صحبت کردن|صورت|ضد نور
👤;تندیس سایه‌نما;بالاتنه سایه نما|تندیس|سایه نما|سایه‌نما|سیاه‌نما|سیلوئت|ضد نور|عکس|نیم‌تنه|نیم‌چهره‌نما
👥;تندیس‌های سایه‌نما;تندیس|تندیس‌های سایه‌نما|دو بالاتنه سایه نما|سایه‌نما|سیاه‌نما|سیلوئت|نیم‌چهره‌نما
🫂;درآغوش گرفتن;آغوش|انسان|بدن|بغل|بغل کردن|تشکر|خداحافظ|خداحافظی|درآغوش گرفتن|دوستی|راحتی|روبوسی|سلام|عشق|محبت|مردم
👪;خانواده;خانه‌وار|خانواده|عائله|فامیل|فرزند|کودک
🧑‍🧑‍🧒;خانواده: بزرگسال، بالغ، کودک;خانواده: بزرگسال، بالغ، کودک
🧑‍🧑‍🧒‍🧒;خانواده: بزرگسال، بالغ، کودک، فرزند;خانواده: بزرگسال، بالغ، کودک، فرزند
🧑‍🧒;خانواده: بزرگسال، کودک;خانواده: بزرگسال، کودک
🧑‍🧒‍🧒;خانواده: بزرگسال، کودک، فرزند;خانواده: بزرگسال، کودک، فرزند
👣;رد پا;اثر|بدن|پوشاک|جای پا|رد پا
🫆;اثر انگشت;اثر انگشت|ایمنی|پزشکی قانونی|هویت

[animals_nature]
🐵;صورت میمون;جانور|حیوان|صورت|میمون
🐒;میمون;میمون
🦍;گوریل;جانور|حیوان|گوریل
🦧;اورانگوتان;اورانگوتان|جانور|حیوان|کپی|میمون
🐶;صورت سگ;حیوان خانگی|سگ|صورت
🐕;سگ;جانور|حیوان خانگی|سگ
🦮;سگ راهنما;جانور|حیوان|دسترس‌پذیری|راهنما|سگ راهنما|قابلیت دسترسی|نابینا
🐕‍🦺;سگ کمکی;خدمت|دسترس‌پذیری|راهنما|سگ|قابلیت دسترسی|کمک|کمکی
🐩;پودل;پودل|سگ
🐺;گرگ;جانور|حیوان|صورت|گرگ
🦊;روباه;جانور|حیوان|روباه|صورت
🦝;راکون;باهوش|پستاندار|جاندار|جانور|حیوان|خاکستری|خجالتی|راکون|کمرو|کنجکاو|ماهر
🐱;صورت گربه;جانور|حیوان|حیوان خانگی|صورت|گربه
🐈;گربه;جانور|حیوان|حیوان خانگی|گربه
🐈‍⬛;گربه سیاه;بدشانس|جاندار|جانور|حیوان|سیاه|گربه|گربه سان|گربه‌سان|میو|هالووین
🦁;شیر;برج فلکی|زودیاک|شیر|شیر جنگل|صورت
🐯;صورت ببر;ببر|صورت
🐅;ببر;ببر
🐆;پلنگ;پلنگ
🐴;صورت اسب;اسب|جانور|حیوان|صورت
🫎;موس;پستاندار|حیوان|شاخ|گوزن|گوزن شمالی|موس
🫏;الاغ;الاغ|پستاندار|حیوان|شیهه|قاطر|کره الاغ|کله‌شق|لگد
🐎;اسب;اسب|اسب‌سواری|مسابقه
🦄;تک‌شاخ;اسب تک شاخ|تک‌شاخ|صورت
🦓;گورخر;حیوان راه‌راه|راه‌راه|گور|گورخر
🦌;گوزن;جانور|حیوان|گوزن
🦬;گاومیش;بایسون|بوفالو|پستاندار|جاندار|جانور|حیوان|گاومیش|گله|ویسنت
🐮;صورت گاو;جانور|حیوان|صورت|گاو
🐂;گاو نر;برج ثور|برج فلکی|زودیاک|گاو نر
🐃;بوفالوی آبی;آب|بوفالو|بوفالوی آبی
🐄;گاو ماده;جانور|حیوان|گاو|گاو ماده
🐷;صورت خوک;خوک|صورت
🐖;خوک;خوک|ماده خوک
🐗;گراز نر;جانور|حیوان|خوک نر|گراز|گراز نر
🐽;دماغ خوک;خوک|دماغ|صورت
🐏;قوچ;برج حمل|برج فلکی|زودیاک|قوچ|گوسفند
🐑;میش;جانور|حیوان|گوسفند|میش
🐐;بز;برج جدی|برج فلکی|بز|بزغاله|جانور|حیوان|دام|زودیاک
🐪;شتر;جانور|حیوان|شتر|قوز|کوهان
🐫;شتر دو کوهان;باختری|جانور|حیوان|شتر|شتر دو کوهان|کوهان
🦙;لاما;آلپاکا|پشم|جانور|حیوان|شتر لاما|شترچه|گواناکو|لاما|لامای وحشی|وایکونا|ویکونیا
🦒;زرافه;خال|خال‌خالی|زرافه|لکه‌لکه|نقطه‌نقطه
🐘;فیل;جانور|حیوان|فیل
🦣;ماموت;انقراض|انهدام|بزرگ|پستاندار|پشمالو|جاندار|جانور|حیوان|طبیعت|عاج|ماموت|منقرض
