# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
🕢;ҳафту сӣ;30|7|7:30|сӣ|соат|ҳафт|ҳафту сӣ
🕗;соат ҳашт;00|8|8:00|соат|ҳашт
🕣;ҳашту сӣ;30|8|8:30|сӣ|соат|ҳашт|ҳашту сӣ
🕘;соат нуҳ;00|9|9:00|нуҳ|соат
🕤;нуҳу сӣ;30|9|9:30|нуҳ|нуҳу сӣ|сӣ|соат
🕙;соат даҳ;00|10|10:00|даҳ|соат
🕥;даҳу сӣ;10|10:30|30|даҳ|даҳу сӣ|сӣ|соат
🕚;соат ёздаҳ;00|11|11:00|ёздаҳ|соат
🕦;ёздаҳу сӣ;11|11:30|30|ёздаҳ|ёздаҳу сӣ|сӣ|соат
🌑;моҳи нав;моҳ|моҳи нав|торик
🌒;ҳилоли нав;калон шудани моҳ|моҳ|ҳилол|ҳилоли нав
🌓;марҳилаи чоряки якуми моҳ;марҳилаи чоряки якуми моҳ|моҳ|чоряк
🌔;марҳилаи калон шудани моҳ;калон шудани моҳ|марҳилаи калон шудани моҳ|марҳилаи моҳ|моҳ
🌕;моҳи пурра;моҳи пурра|пурра
🌖;марҳилаи хурд шудани моҳ;марҳилаи моҳ|марҳилаи хурд шудани моҳ|моҳ|хурд шудани моҳ
🌗;марҳилаи чоряки охири моҳ;марҳилаи чоряки охири моҳ|моҳ|чоряк
🌘;марҳилаи хурд шудани ҳилол;марҳилаи хурд шудани ҳилол|моҳ|хурд шудани моҳ|ҳилол
🌙;ҳилол;моҳ|ҳилол
🌚;чеҳраи моҳи нав;моҳ|рӯй|чеҳраи моҳи нав
🌛;чоряки якуми моҳ бо чеҳра;моҳ|рӯй|чоряк|чоряки якуми моҳ бо чеҳра
🌜;чоряки охири моҳ бо чеҳра;моҳ|рӯй|чоряк|чоряки охири моҳ бо чеҳра
🌡️;ҳароратсанҷ;обу ҳаво|ҳароратсанҷ
☀️;офтоб;офтоб|офтобӣ|равшан|шуоъ
🌝;моҳи пурра бо чеҳра;моҳ|моҳи пурра бо чеҳра|пурра|равшан|рӯй
🌞;офтоб бо чеҳра;офтоб|офтоб бо чеҳра|равшан|рӯй
🪐;;
⭐;ситораи миёнаи сафед;ситора|ситораи миёнаи сафед
🌟;ситораи дурахшон;дурахшидан|дурахшон|пурҷило|ситора|ситораи дурахшон|ялаққос задан
🌠;ситораи думдор;афтидан|парондан|ситора|ситораи думдор
🌌;роҳи Каҳкашон;роҳи Каҳкашон|фазо
☁️;абр;абр|обу ҳаво
⛅;офтоб паси абр;абр|офтоб|офтоб паси абр
⛈️;абр бо чароғак ва борон;абр|абр бо чароғак ва борон|борон|тундар
🌤️;офтоб паси абри хурд;абр|офтоб|офтоб паси абри хурд
🌥️;офтоб паси абри калон;абр|офтоб|офтоб паси абри калон
🌦️;офтоб паси абри боронӣ;абр|борон|офтоб|офтоб паси абри боронӣ
🌧️;абр бо борон;абр|абр бо борон|борон
🌨️;абр бо барф;абр|абр бо барф|барф|хунук
🌩️;абр бо чароғак;абр|абр бо чароғак|чароғак
🌪️;торнадо;абр|гирдбод|торнадо
🌫️;туман;абр|туман
🌬️;рӯи шамол;абр|вазидан|рӯи шамол|рӯй|шамол
🌀;сиклон;сарчархзанӣ|сиклон|тундбод|туфон
🌈;тирукамон;борон|тирукамон
🌂;чатри пӯшида;борон|либос|чатр|чатри пӯшида
☂️;чатр;борон|либос|чатр
☔;чатр бо қатраҳои борон;борон|қатра|либос|чатр|чатр бо қатраҳои борон
⛱️;чатр дар замин;борон|офтоб|чатр|чатр дар замин
⚡;шиддати баланд;барқ|қувва|хатар|чароғак|шиддат|шиддати баланд|электрикӣ
❄️;зарраи барф;абр|барф|зарраи барф
☃️;одами барфӣ;абр|барф|одами барфӣ
⛄;одами барфӣ бе барф;барф|одами барфӣ|одами барфӣ бе барф|хунук
☄️;комета;комета|фазо
🔥;оташ;аланга|асбоб|оташ
💧;қатра;арақ|қатра|мазҳакавӣ|хунук
🌊;мавҷи об;мавҷ|мавҷи об|об|уқёнус

[activities]
🎃;чароғак аз каду бо сӯрохиҳои даҳон, бинӣ ва чашмон;бинӣ ва чашмон|сурохӣ|хеллоуин|чароғ|чароғак аз каду бо сӯрохиҳои даҳон|чароғак аз каду бо сӯрохиҳои даҳон, бинӣ ва чашмон|ҷашн
🎄;дарахти Мавлуди Исо;дарахт|дарахти Мавлуди Исо|мавлуди Исо|ҷашн
🎆;оташфаввора;оташфаввора|ҷашн
🎇;мушаки маҳтобӣ;мушаки маҳтобӣ|оташфаввора|ҷашн|ялаққос задан
🧨;;
✨;шарора;ситора|шарора|ялаққос задан
🎈;ҳубоб;ҳубоб|ҷашн
🎉;маводи тарфгарӣ (хлопушка);маводи тарфгарӣ (хлопушка)|тада|хлопушка|ҷашн|шабнишинӣ
🎊;кӯраи конфетти;конфетти|кӯраи конфетти|тӯб|ҷашн
🎋;дарахти Танабата;баннер|дарахт|дарахти Танабата|ҷашн|ҷопонӣ
🎍;ороиши дарахти санавбар;бамбук|дарахти санавбаар|ороиши дарахти санавбар|ҷашн|ҷопонӣ
🎎;лухтакҳои ҷопонӣ;лухтак|лухтакҳои ҷопонӣ|фестивал|ҷашн|ҷопонӣ
🎏;летнаи ҳиллиросзанандаи ба шакли зағорамоҳӣ;зағорамоҳӣ|лентаи борик|летнаи ҳиллиросзанандаи ба шакли зағорамоҳӣ|ҷашн
🎐;мусиқии шамол;зангула|мусиқӣ|мусиқии шамол|ҷашн|шамол
🎑;маросими тамошои моҳтоб;маросим|маросими тамошои моҳтоб|моҳ|ҷашн
🧧;;
🎀;лента;лента|ҷашн
🎁;туҳфаи печондашуда;қуттӣ|печондашуда|туҳфа|туҳфаи печондашуда|ҷашн
🎗️;лентаи ёдрасон;ёдрасон|лента|лентаи ёдрасон|ҷашн
🎟️;чиптаҳои қабул;қабул|чипта|чиптаҳои қабул
🎫;чипта;қабул|чипта
🎖️;медали ҳарбӣ;медал|медали ҳарбӣ|ҳарбӣ|ҷашн
🏆;мукофот;мукофот|ҷоиза
🏅;медали варзишӣ;медал|медали варзишӣ
🥇;медал барои ҷои 1-ум;медал|медал барои ҷои 1-ум|тилло|якум
🥈;медал барои ҷои 2-юм;дуюм|медал|медал барои ҷои 2-юм|нуқра
🥉;медал барои ҷои 3-юм;биринҷӣ|медал|медал барои ҷои 3-юм|сеюм
⚽;тӯби футбол;тӯб|тӯби футбол|футбол
⚾;бейсбол;бейсбол|тӯб
🥎;;
🏀;баскетбол;баскетбол|тӯб|ҳалқа
🏐;волейбол;бозӣ|волейбол|саққа
🏈;футболи амрикоӣ;амрикоӣ|тӯб|футбол|футболи амрикоӣ
🏉;регби;регби|тӯб|футбол
🎾;тенис;ракетка|тенис|тӯб
🥏;;
🎳;боулинг;бозӣ|боулинг|саққа
🏏;бозии крикет;бозӣ|бозии крикет|саққо|тӯб
🏑;майдони хоккей;бозӣ|майдон|майдони хоккей|тӯб|хоккей|чавгон
🏒;хоккей дар рӯи ях;бозӣ|хоккей|хоккей дар рӯи ях|чавгон|шайба|ях
🥍;;
🏓;пинг понг;бозӣ|пинг понг|ракетка|саққо|тенниси рӯи миз|тӯб
🏸;бадминтон;бадминтон|бозӣ|волан|ракетка
🥊;дастпӯшак барои бокс;бокс|дастпӯшак|дастпӯшак барои бокс
🥋;либоси санъати ҳарбӣ;дзюдо|каратэ|либоси санъати ҳарбӣ|либоси ягона|санъати ҳарбӣ|таэквондо
🥅;тӯри дарвозаи футбол;гол|тӯри дарвозаи футбол
⛳;байрақ дар сӯрохӣ;байрақ дар сӯрохӣ|голф|сурохӣ
⛸️;яхмолак;скейт|ях|яхмолак
🎣;шаст;қутб|моҳӣ|шаст
🤿;;
🎽;курта барои давидан;варзиши сабук|давидан|курта|курта барои давидан|тасмаи орден
🎿;лижа;барф|лижа
🛷;чана;чана
🥌;санги бозии кёрлинг;бозӣ|санги бозии кёрлинг|харсанг
🎯;рост рафта расидан;бозӣ|буққа|дарт|задан|нишона|рост рафта расидан|ҳадаф|чашм
🪀;;
🪁;;
🔫;таппонча;асбоб|револвер|силоҳ|таппонча|яроқ|яроқи дастӣ
🎱;билярди 8 саққадор;8|билярд|билярди 8 саққадор|бозӣ|саққа|ҳашт
🔮;кураи булӯрӣ;асбоб|афсона|булӯр|кура|кураи булӯрӣ|тақдир|тахайюлот
🪄;;
🎮;бозии видеоӣ;бозӣ|бозии видеоӣ|танзимгар
🕹️;ҷойстик;бозӣ|бозии видеоӣ|ҷойстик
🎰;мошинаи қиморбозӣ;бозӣ|ковокӣ|мошинаи қиморбозӣ
🎲;бозии зарикҳо;бозӣ|бозии зарикҳо|зарик|зарикҳо
🧩;;
🧸;;
🪅;;
🪩;;
🪆;;
♠️;қарамашшоқ;бозӣ|корт|қарамашшоқ
♥️;таппон;бозӣ|корт|таппон
♦️;хиштхол;бозӣ|корт|хиштхол
♣️;чилликхол;бозӣ|корт|чилликхол
♟️;;
🃏;ҳазлбоз;аломатҳои ивазкунӣ|бозӣ|корт|ҳазлбоз
🀄;аждаҳори сурхи маҳҷонг;аждаҳори сурхи маҳҷонг|бозӣ|маҳҷонг|сурх
🎴;кортҳои бозии &quot;Гул&quot;;бозӣ|бозикунӣ|гул|корт|кортҳои бозии &quot;Гул&quot;|ҷопонӣ
🎭;намдуҳои санъати иҷро;иҷро кардан|намдуҳои санъати иҷро|ниқоб|санъат|театр
🖼️;сурати чорчӯбадор;осорхона|расм|санъат|сурат|сурати чорчӯбадор|чорчӯба
🎨;лавҳачаи рассомии рассом;лавҳачаи рассомӣ|лавҳачаи рассомии рассом|осорхона|расм|санъат
🧵;;
🪡;;
🧶;;
🪢;;

[objects]
👓;айнак;айнак|айнаки муҳофизатӣ|либос|чашм
🕶️;айнаки офтобӣ;айнак|айнаки муҳофизатӣ|айнаки офтобӣ|торик|чашм
🥽;;
