# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
🥡;hämtmatkartong;hämtmatkartong|takeout box
🍦;mjukglass;efterrätt|glass|mjukglass
🍧;kakigōri;dessert|efterrätt|is|kakigōri
🍨;glass;efterrätt|glass
🍩;munk;donut|munk
🍪;kaka;desert|efterrätt|kaka|småbröd
🎂;födelsedagstårta;
🍰;tårtbit;kaka|kakbit|tårta|tårtbit
🧁;muffin;bakelse|bakverk|muffin
🥧;paj;deg|fyllnad|paj
🍫;chokladkaka;choklad|chokladbit|chokladkaka|godis
🍬;godis;godis|karamell
🍭;klubba;godis|klubba
🍮;brylépudding;brylépudding|efterrätt
🍯;honungsburk;burk|honung|honungsburk
🍼;nappflaska;dryck|flaska|mjölk|nappflaska
🥛;mjölkglas;dryck|glas|mjölk|mjölkglas
☕;varm dryck;ångande|dryck|kaffe|te|varm
🫖;tekanna;dryck|kanna|te|tekanna
🍵;tekopp;te|tekopp|varm dryck
🍶;sake;dryck|flaska|flaska och kopp med saké|kopp|sake
🍾;champagne;bubbel|champagne|fest|nyår
🍷;vinglas;dryck|glas|rödvinsglas|vin|vinglas
🍸;cocktailglas;cocktail|cocktailglas|drink
🍹;tropisk drink;alkohol|bar|cocktail|drink|drinkar|festa|full|mai tai|nattklubb|party|supa|tropisk
🍺;ölstop;glas|öl|ölglas|ölstop|stop
🍻;skålande ölstop;glas|öl|skål|skålande ölglas|skålande ölstop
🥂;skålande glas;dryck|fira|glas|skål|skålande glas
🥃;whiskyglas;brännvin|glas|shot|sprit|whisky|whiskyglas
🫗;hälla vätska;dryck|glas|hälla|hälla vätska|oj då!|spilla|tomt
🥤;mugg med sugrör;juice|läskedryck|mugg med sugrör
🧋;bubbelte;bubbelte|mjölk|pärlor|tapiokapärlor|te
🧃;dryckeskartong;dryckesförpackning|dryckeskartong
🧉;mate-te;dryck|mate-te
🧊;isbit;isberg|isbit|kallt
🥢;ätpinnar;ätpinnar
🍽️;tallrik, kniv och gaffel;äta|bestick|dukning|kniv och gaffel|tallrik|tallrik, kniv och gaffel
🍴;kniv och gaffel;äta|bestick|gaffel|gaffel och kniv|hungrig|kniv|kniv och gaffel|mat|matdags|middag
🥄;sked;bestick|sked
🔪;kökskniv;kniv|kökskniv
🫙;burk;behållare|burk|förvaring|krydda|sås|tom
🏺;amfora;amfora|kruka|krus

[travel_places]
🌍;jordglob Europa–Afrika;Afrika|Europa|Europa-Afrika|jorden|jordglob|världen|visar
🌎;jordglob nord- och sydamerika;jorden|jordglob|nord- och sydamerika|Nordamerika|Sydamerika|världen|visar
🌏;jordglob Asien–Australien;Asien|Asien-Australien|Australien|jorden|jordglob|världen|visar
🌐;jordglob med meridianer;jordglob med meridianer|meridianer
🗺️;världskarta;karta|världen|världskarta
🗾;karta över Japan;Japan|karta|karta över Japan
🧭;kompass;kompass|magnetisk|navigation|orientering
🏔️;snöklätt berg;berg|kallt|snö|snöklädda berg|snöklätt berg
⛰️;berg;berg
🛘;jordskred;berg|fallande|fara|ras|stenar
🌋;vulkan;vulkan|vulkanutbrott
🗻;Fuji;berg|Fuji
🏕️;camping;camping|tält
🏖️;strand med parasoll;parasoll|strand|strand med parasoll
🏜️;öken;öken|torrt|varmt
🏝️;öde ö;ö|öde
🏞️;nationalpark;nationalpark|park
🏟️;stadion;stadion
🏛️;klassisk byggnad;byggnad|klassisk byggnad|sevärdhet
🏗️;byggarbetsplats;byggarbetsplats|bygge
🧱;tegelsten;bruk|lera|tegelsten|tegelstenar|tegelstensvägg|vägg
🪨;sten;berg|bumling|klippa|sten
🪵;trästockar;stock|stubbe|timmerstock|trä|trästock|trästockar|ved
🛖;koja;hydda|kåta|koja
🏘️;flera hus;byggnader|flera hus|hus
🏚️;fallfärdigt hus;fallfärdigt hus|förfallet|hus|öde|ödehus
🏠;hus;byggnad|hus
🏡;hus med trädgård;hus|hus med trädgård|trädgård
🏢;kontorsbyggnad;byggnad|kontor|kontorsbyggnad
🏣;japanskt postkontor;byggnad|japanskt postkontor|postkontor
🏤;postkontor;byggnad|europeiskt postkontor|postkontor
🏥;sjukhus;byggnad|sjukhus
🏦;bank;bank|byggnad
🏨;hotell;byggnad|hotell
🏩;kärlekshotell;byggnad|hotell|hotell med hjärta|kärlek|kärlekshotell
🏪;jourbutik;affär|butik|butik som har öppet dygnet runt|byggnad|jourbutik
🏫;skola;byggnad|skola|skolbyggnad
🏬;varuhus;butik|varuhus
🏭;fabrik;byggnad|fabrik
🏯;japanskt slott;japanskt slott|slott
🏰;slott;europeiskt slott|slott
💒;bröllop;bröllop|bröllopskapell|kärlek|kyrka
🗼;Tokyo Tower;Tokyo|Tokyo Tower|torn|torn i Tokyo
🗽;Frihetsgudinnan;frihet|frihetsgudinnan|new york|ny|nyc|staty
⛪;kyrka;byggnad|kristen|kyrka
🕌;moské;islam|moské|muslim|religion
🛕;hindutempel;hindu|hindutempel|tempel
🕍;synagoga;judisk|religion|synagoga|tempel
⛩️;shintohelgedom;religion|shinto|shintohelgedom
🕋;kaba;islam|kaba|muslim|religion
⛲;fontän;fontän|springbrunn
⛺;tält;camping|tält
🌁;dimmigt;dimma|dimmigt
🌃;stjärnklar natt;natt|stjärnklar natt|stjärnor
🏙️;stadsbild;höga hus|skyskrapa|stadsbild|storstad
🌄;soluppgång över berg;berg|morgonsol|soluppgång|soluppgång över berg|soluppgång vid berg
🌅;soluppgång;morgonsol|soluppgång
🌆;stad i skymning;byggnader|kväll|skymning|solnedgång|stad i skymning|stadsvy
🌇;solnedgång;byggnader|skymning|solnedgång|solnedgång över stad
🌉;bro på natten;bro|bro på natten|natt
♨️;varma källor;ångande|het källa|termalkälla|varma källor
🎠;karusellhäst;häst|karusell|karusellhäst
🛝;rutschbana;leka|lekplats|nöjesfält|rutschbana
🎡;pariserhjul;karusell|nöjespark|pariserhjul
🎢;berg- och dalbana;berg- och dalbana|karusell|nöjespark
💈;barberarstolpe;barberare|barberarstolpe|frisör|stolpe
🎪;cirkustält;cirkus|cirkustält|tält
🚂;ånglok;ånglok|fordon|lok|lokomotiv|tåg
🚃;tågvagn;fordon|järnväg|tåg|tågvagn
🚄;snabbtåg;fordon|snabbtåg|tåg
🚅;höghastighetståg;fordon|höghastighetståg|Shinkansen|tåg|TGV
🚆;tåg;fordon|järnväg|tåg
🚇;tunnelbana;fordon|metro|tunnelbana
🚈;snabbspårväg;anlänt|balkbana|enskensbana|lättbana|monorail|spårväg|spårvagn
🚉;tågstation;station|tåg|tågstation
🚊;spårvagn;fordon|spårvagn
🚝;monorail;balkbana|fordon|monorail|tåg
🚞;bergbana;bergbana|bergsbana|bergståg|järnväg
🚋;spårvagnsvagn;fordon|spårvagn|spårvagnsvagn
🚌;buss;buss|fordon
🚍;mötande buss;buss|fordon|mötande
🚎;trådbuss;buss|fordon|trådbuss
🚐;minibuss;buss|fordon|minibuss
🚑;ambulans;ambulans|fordon
🚒;brandbil;brandbil|fordon
🚓;polisbil;fordon|polis|polisbil
🚔;mötande polisbil;fordon|mötande polisbil|polis|polisbil
🚕;taxi;fordon|taxi
🚖;mötande taxi;
🚗;bil;bil|fordon
🚘;mötande bil;bil|bilar|fordon|körde|mötande
🚙;SUV;bil|fordon|SUV
🛻;pickup;lastbil|pickup|transportvagn|varubil
🚚;budbil;budbil|fordon|skåpbil
🚛;lastbil;fordon|lastbil
🚜;traktor;fordon|traktor
🏎️;racerbil;bil|racerbil|sport
🏍️;motorcykel;motorcykel|racing
🛵;skoter;motor|skoter
🦽;manuell rullstol;manuell rullstol|tillgänglighet
🦼;eldriven rullstol;eldriven rullstol|tillgänglighet
🛺;automatisk riksha;motordriven|rickshaw|riksha|tuk-tuk
🚲;cykel;cykel|fordon
🛴;sparkcykel;cykel|sparka|sparkcykel
🛹;skateboard;bräda|skateboard
🛼;rullskridsko;rullskridsko
🚏;busshållplats;buss|busshållplats|hållplats
🛣️;motorväg;motorväg|väg
🛤️;räls;
🛢️;oljefat;olja|oljefat
⛽;bränslepump;bensin|bensinpump|bensinstation|bränsle|bränslepump
🛞;hjul;cirkel|däck|hjul|rulla
🚨;polisbilslampa;lampa|polisbil|polisbilslampa|saftblandare
🚥;vågräta trafikljus;trafikljus|vågräta trafikljus
🚦;lodräta trafikljus;lodräta trafikljus|trafikljus
🛑;stoppskylt;åttakantig|skylt|stopp|stoppskylt
🚧;skylt för byggområde;bygge|skylt för byggområde
⚓;ankare;ankare|hopp
🛟;livboj;flytetyg|frälsarkrans|livboj|livräddning|räddning|säkerhet
⛵;segelbåt;båt|segelbåt|segling
🛶;kanot;båt|kanot
🚤;racerbåt;båt|fordon|racerbåt
🛳️;passagerarfartyg;fartyg|fordon|passagerare|passagerarfartyg
⛴️;färja;båt|färja|passagerare
🛥️;motorbåt;båt|fordon|motorbåt
🚢;fartyg;båt|fartyg|fordon
✈️;flygplan;flygplan|fordon
🛩️;litet flygplan;flygplan|fordon|litet flygplan
🛫;avgång med flyg;
🛬;ankomst med flyg;
🪂;fallskärm;fallskärm|fallskärmshopp|hängflygning|parasegling
💺;flygstol;flygstol|stol
🚁;helikopter;fordon|helikopter
🚟;hängbana;fordon|hängbana
🚠;linbana;gondolbana|kabinbana|linbana|skidlift
🚡;kabinbana;funifor|gondolbana|kabinbana|linbana
🛰️;satellit;fordon|rymden|satellit
🚀;raket;fordon|raket|rymdraket
🛸;flygande tefat;flygande tefat|UFO
🛎️;receptionsklocka;hotell|klocka|piccolo|plingklocka|receptionsklocka
🧳;bagage;bagage|packning|resa|resväska
⌛;utrunnet timglas;sand|timglas|utrunnet timglas
⏳;timglas med rinnande sand;sand|tid|timglas|timglas med rinnande sand
⌚;armbandsur;armbandsur|klocka
⏰;väckarklocka;klocka|väckarklocka
⏱️;tidtagarur;klocka|stoppur|tidtagarur
⏲️;timer;
🕰️;mantelklocka;klocka|mantelklocka
🕛;klockan tolv;
🕧;halv ett;
🕐;klockan ett;
🕜;halv två;
🕑;klockan två;
🕝;halv tre;
🕒;klockan tre;
🕞;halv fyra;
🕓;klockan fyra;
🕟;halv fem;
🕔;klockan fem;
🕠;halv sex;
🕕;klockan sex;
🕡;halv sju;
🕖;klockan sju;
🕢;halv åtta;
🕗;klockan åtta;
🕣;halv nio;
🕘;klockan nio;
🕤;halv tio;
🕙;klockan tio;
🕥;halv elva;
🕚;klockan elva;
🕦;halv tolv;
🌑;nymåne;måne|nymåne
🌒;måne i första kvarteret;kvartsmåne|måne|måne i första kvarteret|månskära|tilltagande måne
🌓;tilltagande halvmåne;kvarts|måne|tilltagande halvmåne
🌔;måne i andra kvarteret;halvmåne till fullmåne|måne i andra kvarteret|tilltagande måne
🌕;fullmåne;fullmåne|måne
🌖;måne i tredje kvarteret;måne|måne i tredje kvarteret|rymden|tilltagande
🌗;avtagande halvmåne;avtagande halvmåne|avtagande måne|halvmåne|måne
🌘;måne i fjärde kvarteret;avtagande måne|kvartsmåne|måne|måne i fjärde kvarteret|månskära
🌙;månskära;måne|månskära
🌚;nymåne med ansikte;ansikte|gubben i månen|månansikte|måne|nymåne|nymåne med ansikte
🌛;tilltagande halvmåne med ansikte;ansikte|gubben i månen|halvmåne|månansikte|måne|tilltagande halvmåne med ansikte
🌜;avtagande halvmåne med ansikte;ansikte|avtagande halvmåne med ansikte|gubben i månen|halvmåne|månansikte|måne
🌡️;termometer;termometer|väder
☀️;sol;sol|strålar|väder
🌝;fullmåne med ansikte;ansikte|fullmåne|fullmåne med ansikte|gubben i månen|månansikte|måne
🌞;sol med ansikte;ansikte|sol|sol med ansikte
🪐;planet med ringar;planet med ringar|saturnine|saturnus
⭐;stjärna;stjärna|vit medelstor stjärna
🌟;blänkande stjärna;blänkande|glänsande|glittrande|gnistrande|natt|seger|stjärna
🌠;stjärnfall;fallande stjärna|stjärnfall
🌌;Vintergatan;galax|rymden|vintergatan|Vintergatan
☁️;moln;moln|väder
⛅;sol bakom moln;moln|sol|sol bakom moln|sol med moln
⛈️;moln med regn och blixtar;moln|moln med regn och blixtar|oväder|väder
🌤️;sol bakom litet moln;moln|sol|sol bakom litet moln|väder
🌥️;sol bakom stort moln;moln|sol|sol bakom stort moln|väder
🌦️;sol bakom moln med regn;moln|regn|sol|sol bakom moln med regn|väder
🌧️;regnmoln;moln|regn|regnmoln|väder
🌨️;moln med snö;moln|moln med snö|snö|väder
🌩️;moln med blixt;moln|moln med blixt|oväder|väder
🌪️;tornado;tornado|väder|virvelvind
🌫️;dimma;dimma|dimmigt|väder
🌬️;blåser vind;
🌀;cyklon;cyklon|tromb|tyfon|väder|vind
🌈;regnbåge;regn|regnbåge|väder
🌂;hopfällt paraply;hopfällt paraply|paraply
☂️;paraply;
☔;paraply med regndroppar;accessoar|paraply|paraply med regndroppar|regn|väder
⛱️;parasoll på marken;paraply|parasoll|parasoll på marken|sol|väder
⚡;högspänning;fara|hög spänning|högspänning|spänning|varningssymbol
❄️;snöflinga;snö|snöflinga
☃️;snögubbe;snö|snöar|snögubbe
⛄;snögubbe utan snö;snö|snögubbe|snögubbe utan snö
☄️;komet;komet|rymden
🔥;eld;brinner|eld|flamma
💧;droppe;droppe|kallsvettig|svettdroppe|svettig|vattendroppe
🌊;våg;havsvåg|våg

[activities]
🎃;lyktgubbe;fest|Halloween|lykta|lyktgubbe|pumpa|pumplykta
🎄;julgran;gran|högtid|jul|julgran
🎆;fyrverkerier;firande|fyrverkerier|högtid
🎇;glittrande fyrverkeri;fyrverkerier|glittrande fyrverkeri|högtid
🧨;smällare;dynamit|fyrverkeri|smällare|sprängämne
✨;gnistrande stjärnor;gnistrande stjärnor|gnistrar|stjärnor
🎈;ballong;ballong|fest
🎉;konfettismällare;fest|konfettismällare|partypopper|serpentiner
🎊;konfettiboll;boll|fest|konfetti|konfettiboll
🎋;tanabataträd;fest|japansk festival|pappersremsor|tanabataträd|träd|träd med pappersremsor
🎍;pinjedekoration;bambu|japanskt|nyår|pinjedekoration
🎎;japanska dockor;dockor|festival|japanska dockor
🎏;karpvindstrut;fest|japan|karp|karpvindstrut|vindstrut
🎐;vindspel;fest|japan|vindspel
🎑;månskådning;japan|månfest|månskådning
🧧;rött kuvert;hóngbāo|lai see|pengar|present|rött kuvert|tur
🎀;rosett;fest|rosett
🎁;inslagen present;fest|födelsedag|gåva|inslagen|julklapp|överraskning|paket|present
🎗️;påminnelseband;band|firande|påminnelseband
🎟️;inträdesbiljetter;biljett|inträde|inträdesbiljetter
🎫;biljett;biljett|inträde
🎖️;militär medalj;firande|medalj|militär|pris
🏆;pokal;pokal|pris
🏅;sportmedalj;medalj|sport|sportmedalj
🥇;guldmedalj;guld|guldmedalj|medalj|segrare
🥈;silvermedalj;andra plats|medalj|silver|silvermedalj
🥉;bronsmedalj;brons|bronsmedalj|medalj|tredje plats
⚽;fotboll;boll|fotboll|sport
⚾;baseboll;baseboll|sport
🥎;softboll;boll|handske|softboll|underarm
🏀;basketboll;basket|basketboll|boll
🏐;volleyboll;sport|volleyboll
🏈;amerikansk fotboll;amerikansk fotboll|boll|sport
🏉;rugbyboll;boll|rugby|rugbyboll|sport
🎾;tennis;boll|tennis|tennisboll|tennisrack och boll|tennisracket och boll
🥏;frisbee;frisbee|ultimate
🎳;bowling;bowling|bowlingklot|bowlingklot och käglor|klot
🏏;cricket;cricket|cricketslagträ och boll|sport
🏑;landhockey;landhockey|landhockeyklubba|landhockeyklubba och boll|sport
🏒;ishockey;ishockey|ishockeyklubba och puck|klubba|puck|sport
🥍;lacrosse;boll|klubba|lacrosse|mål
🏓;bordtennis;bordtennis|bordtennisracket med pingisboll|pingis|pingpong|sport
🏸;badminton;badminton|badmintonracket och badmintonboll|sport
🥊;boxningshandske;boxning|boxningshandske|handske|sport
🥋;kampsportdräkt;judo|kampsport|kampsportdräkt|karate|självförsvar|sport|taekwondo
🥅;målnät;mål|målnät|nät|sport
⛳;flagga i hål;flagga i hål|golf|golfflagga|hål
⛸️;skridsko;is|skridsko|sport
🎣;fiskespö;fisk|fiska|fiskespö|fiskespö och fisk|spö
🤿;dykmask;dyka|dykmask|snorkelmask|snorkla
🎽;löparlinne;löparlinne|löpartröja|löpning|träningskläder
🎿;skidor;skidor|skidor och pjäxa|skidor och stavar
🛷;kälke;kälke|släde
🥌;curlingsten;curlingsten|spel|sten
🎯;mitt i prick;bullseye|fullträff|mitt i prick|pilkastning|piltavla med pil mitt i prick|rakt på mål
🪀;jojo;jojare|jojo|snöre|trissa
🪁;flygande drake;flyga|flygande drake|sväva
🔫;vattenpistol;leksakspistol|pistol|revolver|vapen|vattenpistol
🎱;biljardboll;
🔮;kristallkula;framtiden|kristallkula|spåkula
🪄;trollspö;häxa|magi|trollkarl|trollkonst|trollspö|trollstav
🎮;tv-spel;kontroll|spel|tv-spel|tv-spelskontroll
🕹️;joystick;joystick|spak|spel|styrspak
🎰;enarmad bandit;enarmad bandit|spel|spelautomat|spelmaskin
🎲;speltärning;spel|speltärning|tärning
🧩;pusselbit;bit|ledtråd|pussel|pusselbit|pusselbitar|sammanfoga
🧸;nallebjörn;gosedjur|leksak|mjukdjur|nallebjörn
🪅;piñata;fest|kalas|piñata
🪩;discokula;dansa|disco|discokula|fest|glitter
🪆;ryska dockor;babuschkadocka|matrjosjka|rysk docka|ryska dockor
♠️;spader;färg|kort|spader|svart spader
♥️;hjärter;färg|hjärter|kort|rött hjärter
♦️;ruter;färg|kort|röd ruter|ruter
♣️;klöver;färg|klöver|kort|svart klöver
♟️;schackbonde;schack|schackbonde|utbytbar
🃏;joker;Joker|Joker-kort|spelkort|spelkort med joker
🀄;mahjong-bricka;drake|mahjong-bricka|Mahjong-bricka|röd drake|spelbricka
🎴;spelkort med blomma;
🎭;dans och teater;ansiktsmasker|dans och teater|masker|teater
🖼️;tavla;bild i ram|konst|museum|tavla
🎨;färgpalett;färger|färgpalett|konst|palett
🧵;tråd;nål|spole|tråd|trådrulle
🪡;synål;broderi|nål|skräddarsy|stygn|synål
🧶;garn;garn|garnnystan|sticka|virka
🪢;knut;knop|knut|rep|tågvirke

[objects]
👓;glasögon;accessoarer|brillor|glasögon|ögon
🕶️;solglasögon;glasögon|solglasögon
🥽;simglasögon;ögonskydd|simglasögon|simma|svetsning
🥼;labbrock;doktor|experiment|labbrock|vetenskapsman
🦺;varselväst;
👔;skjorta med slips;kläder|skjorta|skjorta med slips|slips
👕;t-shirt;kläder|t-shirt|tröja
👖;jeans;byxor|jeans|kläder
🧣;halsduk;hals|halsduk|scarf
🧤;handske;hand|handske
🧥;jacka;jacka|kavaj
🧦;sockor;sockor|strumpa
👗;klänning;kläder|klänning
👘;kimono;kimono|kläder|klänning
🥻;sari;kläder|klänning|sari
🩱;baddräkt;baddräkt|simdräkt
🩲;badbyxor;badbyxor|badkläder|badshorts|simutrustning
🩳;shorts;badbyxor|badkläder|badshorts|shorts|underkläder
👙;bikini;badkläder|bikini|kläder
👚;blus;blus|damkläder|kläder
🪭;solfjäder;blyg|dans|fläkt|fläktar|flört|hett|solfjäder|svalka
👛;portmonnä;accessoar|portmonnä
👜;handväska;accessoar|handväska|väska
👝;kuvertväska;accessoar|clutch|kuvertväska
🛍️;shoppingpåsar;påsar|shopping|shoppingpåsar
🎒;ryggsäck;ryggsäck|skolväska|väska
🩴;flip-flops;flip-flops|remsko|sandaler
👞;herrsko;herrsko|sko|skor
👟;gympasko;gympasko|sko|sneaker
🥾;vandringskänga;camping|pjäxor|vandring|vandringskänga
🥿;ballerinasko;ballerinasko|lågklackad|toffla
👠;högklackad sko;högklackad sko|klack|pumps|sko
👡;damsandal;damsandal|högklackad damsandal|sandal|sko
🩰;ballettskor;balett|ballettskor|dans
👢;damstövel;damstövel|sko|stövel
🪮;afrokam;afro|afrokam|hår|kam
👑;krona;drottning|krona|kung|kungakrona
👒;damhatt;damhatt|hatt
🎩;hög hatt;hatt|hög hatt
🎓;examenshatt;examen|examenshatt|hatt|högtid
🧢;skärmmössa;basebollkeps|keps|skärmmössa
🪖;militärhjälm;armé|hjälm|krigare|militär|militärhjälm|soldat
⛑️;räddningsarbetarhjälm;hjälm|hjälm med vitt kors|hjälp|räddningsarbetare|räddningsarbetarhjälm|utryckningspersonal
📿;radband;bön|halsband|radband|religion
💄;läppstift;läppstift|makeup|smink
💍;ring;
💎;ädelsten;ädelsten|diamant|juvel|kärlek
🔇;avstängd högtalare;avstängd högtalare|tyst
🔈;högtalare;högtalare|högtalare med låg volym|låg volym
🔉;högtalare med medium volym;högtalare|högtalare med medium volym|volym
🔊;högtalare med hög volym;högtalare|högtalare med hög volym|volym
📢;handhögtalare;handhögtalare|kommunikation
📣;megafon;kommunikation|megafon
📯;postsymbol;posthorn|postsymbol
🔔;ringklocka;klocka|ljud|ringklocka
🔕;överstruken ringklocka;inget ljud|ljudlös|överstruken ringklocka|ringklocka
🎼;g-klav;g-klav|musik|noter
🎵;musiknot;musik|musiknot|not
🎶;musiknoter;musik|musiknoter|not|noter
🎙️;studiomikrofon;mikrofon|sjunga|studiomikrofon
🎚️;nivåreglage;nivåreglage|reglage
🎛️;reglagevred;musik|reglage|reglagevred
🎤;mikrofon;karaoke|mikrofon|sjunga
🎧;hörlur;hörlur|musik
📻;radio;radio|video
🎷;saxofon;musik|musikinstrument|saxofon
🎺;trumpet;musik|musikinstrument|trumpet
🪊;trombon;bleckblås|instrument|jazz|musik|sorgen
🪗;dragspel;ackordeon|dragharmonika|dragspel
🎸;gitarr;elgitarr|gitarr|musik|musikinstrument
🎹;klaviatur;klaviatur|musik|musikinstrument|piano
🎻;fiol;
🪕;banjo;banjo|musik|sträng
🥁;trumma;
🪘;congatrumma;congatrumma|djembe|rytm|takt|trumma
🪇;maracas;instrument|maracas|musik|skaka|slaginstrument|slagverk
🪈;flöjt;band|blockflöjt|flöjt|flöjtist|instrument|musik|orkester|panflöjt|pickolaflöjt|träblås
🪉;harpa;amor|harpa|instrument|musik|orkester|romantik
📱;mobiltelefon;mobil|mobiltelefon|telefon
📲;mobiltelefon med pil;mobil|mobiltelefon med pil|ringa|telefon
☎️;telefon;telefon
📞;telefonlur;kommunikation|telefon|telefonlur
📟;personsökare;kommunikation|personsökare
📠;fax;fax|kommunikation
🔋;batteri;batteri
🪫;låg batterinivå;elektronik|låg batterinivå|låg energinivå
🔌;elkontakt;elkontakt|kontakt
💻;bärbar dator;bärbar|dator|kontor|laptop|pc
🖥️;stationär dator;dator|pc|stationär dator
🖨️;skrivare;dator|skrivare
⌨️;tangentbord;dator|tangentbord
🖱️;datormus;dator|datormus|mus
🖲️;styrkula;dator|mus|styrkula
💽;datordiskett;dator|datordiskett|optisk|skiva
