# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
	👨🏽‍❤️‍💋‍👨🏼;চুম্বন: পুরুষ, পুরুষ, মাঝারি ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👨🏽‍❤️‍💋‍👨🏽;চুম্বন: পুরুষ, পুরুষ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	👨🏽‍❤️‍💋‍👨🏾;চুম্বন: পুরুষ, পুরুষ, মাঝারি ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👨🏽‍❤️‍💋‍👨🏿;চুম্বন: পুরুষ, পুরুষ, মাঝারি ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	👨🏾‍❤️‍💋‍👨🏻;চুম্বন: পুরুষ, পুরুষ, মাঝারি-কালো ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👨🏾‍❤️‍💋‍👨🏼;চুম্বন: পুরুষ, পুরুষ, মাঝারি-কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👨🏾‍❤️‍💋‍👨🏽;চুম্বন: পুরুষ, পুরুষ, মাঝারি-কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👨🏾‍❤️‍💋‍👨🏾;চুম্বন: পুরুষ, পুরুষ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👨🏾‍❤️‍💋‍👨🏿;চুম্বন: পুরুষ, পুরুষ, মাঝারি-কালো ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👨🏿‍❤️‍💋‍👨🏻;চুম্বন: পুরুষ, পুরুষ, কালো ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👨🏿‍❤️‍💋‍👨🏼;চুম্বন: পুরুষ, পুরুষ, কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👨🏿‍❤️‍💋‍👨🏽;চুম্বন: পুরুষ, পুরুষ, কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	👨🏿‍❤️‍💋‍👨🏾;চুম্বন: পুরুষ, পুরুষ, কালো ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👨🏿‍❤️‍💋‍👨🏿;চুম্বন: পুরুষ, পুরুষ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|যুগল|রোমান্স
👩‍❤️‍💋‍👩;চুম্বন: মহিলা, মহিলা;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|যুগল|রোমান্স
	👩🏻‍❤️‍💋‍👩🏻;চুম্বন: মহিলা, মহিলা, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏻‍❤️‍💋‍👩🏼;চুম্বন: মহিলা, মহিলা, হালকা ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏻‍❤️‍💋‍👩🏽;চুম্বন: মহিলা, মহিলা, হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏻‍❤️‍💋‍👩🏾;চুম্বন: মহিলা, মহিলা, হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏻‍❤️‍💋‍👩🏿;চুম্বন: মহিলা, মহিলা, হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|মহিলা|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏼‍❤️‍💋‍👩🏻;চুম্বন: মহিলা, মহিলা, মাঝারি-হালকা ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏼‍❤️‍💋‍👩🏼;চুম্বন: মহিলা, মহিলা, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏼‍❤️‍💋‍👩🏽;চুম্বন: মহিলা, মহিলা, মাঝারি-হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏼‍❤️‍💋‍👩🏾;চুম্বন: মহিলা, মহিলা, মাঝারি-হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏼‍❤️‍💋‍👩🏿;চুম্বন: মহিলা, মহিলা, মাঝারি-হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏽‍❤️‍💋‍👩🏻;চুম্বন: মহিলা, মহিলা, মাঝারি ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|মাঝারি ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
