# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
⛪;kilsə;bina|din|kilsə|xaç|xristian
🕌;məscid;din|islam|məscid|müsəlman
🛕;hindu məbədi;hindu|məbədi
🕍;sinaqoq;din|iudaizm|məbəd|sinaqoq|yəhudi
⛩️;sinto məbədi;din|məbəd|məqbərə|sinto|sinto məbədi|türbə
🕋;kəbə;din|həc|islam|kəbə|müsəlman|ümrə
⛲;fontan;fəvvarə|fontan
⛺;çadır;çadır|kempinq
🌁;dumanlı;duman|dumanlı|hava
🌃;ulduzlu gecə;axşam|hava|ulduz|ulduzlu gecə
🏙️;şəhər mənzərəsi;bina|şəhər|şəhər mənzərəsi
🌄;dağlardan qalxan günəş;dağ|dağlardan qalxan günəş|günəş|günəşin doğması|hava|səhər
🌅;gün doğumu;gün doğumu|günəş|hava|səhər
🌆;hava qaralanda şəhər mənzərəsi;bina|günəş|günəşin batması|hava qaralanda şəhər mənzərəsi
🌇;gün batımı;bina|gün batımı|günəş|hava|toran
🌉;gecə körpü;axşam|gecə|hava|körpü
♨️;qaynar bulaqlar;buğ|bulaqlar|buxarlanan|buxarlanma|isti|qaynar bulaqlar
🎠;karusel at;at|karusel
🛝;oyun slaydı;əyləncə parkı|oynamaq|oyun sahəsi|oyun slaydı|sürüşkən|sürüşmək
🎡;şeytan çarxı;çarx|lunapark|şeytan|şeytan çarxı
🎢;maneəli dəmir yolu attraksionu;attraksion|çarx|lunapark|maneəli dəmir yolu attraksionu
💈;şlaqbaum;bərbər|bərbərxana simvolu|saç düzümü|şlaqbaum|sütun
🎪;sirk çadırı;çadır|sirk|sirk çadırı
🚂;lokomotiv;buxar|dəmir yolu|dəmiryolu|lokomotiv|mühərrik|nəqliyyat|qatar
🚃;dəmir yolu qatarı vaqonu;dəmir yolu|dəmir yolu qatarı vaqonu|dəmiryolu|elektrik|elektrik qatarı|maşın|tramvay|trolleybus
🚄;yüksək sürətli qatar;dəmir yolu|dəmiryolu|ekspress qatar|nəqliyyat|qatar|sərnişin ekspressi|sürət|yüksək sürət qatarı|yüksək sürətli qatar
🚅;gülləyə bənzər ucluqlu yüksək sürət qatarı;dəmir yolu|dəmiryolu|güllə|gülləyə bənzər ucluqlu yüksək sürət qatarı|nəqliyyat|nəqliyyat vasitəsi|qatar|sərnişin ekspressi|sürət|sürət qatarı
🚆;qatar;dəmir yolu|dəmiryolu|nəqliyyat|qatar
🚇;metro;metro|nəqliyyat|nəqliyyat vasitəsi
🚈;işıq qatarı;dəmir yolu|dəmiryolu|işıq qatarı|monorels|nəqliyyat
🚉;stansiya;dəmir yolu|dəmiryolu|nəqliyyat|nəqliyyat vasitəsi|qatar|stansiya
🚊;stritkar;nəqliyyat|nəqliyyat vasitəsi|stritkar|tramvay|trolleybus
🚝;monorels;monorels|nəqliyyat|nəqliyyat vasitəsi
🚞;dağ yolu;dağ|dağ yolu|dəmir yolu|dəmiryolu|maşın|nəqliyyat
🚋;tramvay vaqonu;avtobus|avtomobil|tramvay|tramvay vaqonu|trolleybus
🚌;avtobus;avtobus|nəqliyyat|nəqliyyat vasitəsi
🚍;yaxınlaşan avtobus;avtobus|nəqliyyat|yaxınlaşan avtobus|yaxınlaşma
🚎;trolleybus;avtobus|nəqliyyat|nəqliyyat vasitəsi|tramvay|trolleybus
🚐;mini avtobus;avtobus|marşrut|mini avtobus|nəqliyyat|sürmək
🚑;təcili yardım maşını;nəqliyyat|təcili yardım maşını
🚒;yanğınsöndürən;mühərrik|nəqliyyat|yanğın|yanğınsöndürən|yük maşını
🚓;polis maşını;maşın|nəqliyyat|patrul|polis|polis maşını
🚔;yaxınlaşan polis maşını;maşın|nəqliyyat|polis|yaxınlaşan polis maşını|yaxınlaşma
🚕;taksi;nəqliyyat|nəqliyyat vasitəsi|taksi|uber
🚖;yaxınlaşan taksi;avtomobil|nəqliyyat|nəqliyyat vasitəsi|taksi|yaxınlaşan taksi|yaxınlaşma
🚗;avtomobil;avtomobil|maşın|nəqliyyat|nəqliyyat vasitəsi
🚘;yaxınlaşan avtomobil;avtomobil|maşın|nəqliyyat|nəqliyyat vasitəsi|yaxınlaşan avtomobil|yaxınlaşma
🚙;rekreasiya avtomobili;idman avtomobili|nəqliyyat|nəqliyyat vasitəsi|rekreasiya|rekreasiya avtomobili|rn
🛻;pikap yüngül avtomobil;avtomobil|pikap|pikap yüngül avtomobil|yük avtomobili
🚚;yük maşını;çatdırılma|nəqliyyat|nəqliyyat vasitəsi|yük maşını
🚛;konteynerli maşın;konteynerli maşın|nəqliyyat|nəqliyyat vasitəsi|yarım|yük maşını
🚜;traktor;nəqliyyat|traktor
🏎️;yarış maşını;maşın|yarış|yarış maşını
🏍️;motosiklet;motosiklet|yarış
🛵;motorlu skuter;motorlu|motosikl|skuter
🦽;manual təkərli kreslo;əlil arabası|əlverişlilik|manual təkərli kreslo
🦼;motorlu təkərli kreslo;əlverişlilik|motorlu əlil arabası|motorlu təkərli kreslo
🛺;avto-rikşa;avto-rikşa|tuk-tuk
🚲;velosiped;nəqliyyat|velosiped
🛴;samokat;samokat|skuter
🛹;skeytbord;bord|skeytbord
🛼;diyircəkli konki;diyircək|diyircəkli konki|konki
🚏;avtobus dayanacağı;avtobus|avtobus dayanacağı|dayanacaq|dayanmaq
🛣️;şosse;şosse|yol
🛤️;dəmir yolu;dəmir yolu|dəmiryolu|qatar
🛢️;neft silindiri;neft|neft çəlləyi|neft silindiri|silindir
⛽;yanacaq borusu;boru|nasos|qaz|stansiya|yanacaq|yanacaq borusu|yanacaqdoldurma məntəqəsi
🛞;təkər;dairə|maşın|minik|növbə|şin|təkər
🚨;polis maşının işığı;fırlanan|işıq|maşın|mayak|nəqliyyat|polis|polis maşının işığı|polis maşınının işığı|siqnal
🚥;üfüqi işıqfor;işıq|nəqliyyat|siqnal|üfüqi işıqfor
🚦;şaquli işıqfor;işıq|nəqliyyat|şaquli işıqfor|siqnal
🛑;dayanmaq işarəsi;dayanmaq|dayanmaq işarəsi|yol işarəsi
🚧;tikinti;baryer|maneə|tikinti
⚓;lövbər;alət|gəmi|lövbər
🛟;üzük buy;baken|həyat qoruyucu|təhlükəsizlik|üzmək|üzük buy|xilasetmə|xilaskar
⛵;yelkənli qayıq;dəniz|kurort|nəqliyyat|nəqliyyat vasitəsi|qayıq|yaxta|yelkənli qayıq
🛶;qayıq;qayıq|sürmə
🚤;sürətli qayıq;nəqliyyat|qayıq|sürətli qayıq
🛳️;sərnişin gəmisi;gəmi|nəqliyyat|nəqliyyat vasitəsi|sərnişin|sərnişin gəmisi
⛴️;bərə gəmisi;bərə gəmisi|gəmi|qayıq|sərnişin
🛥️;motorlu qayıq;motorlu qayıq|nəqliyyat|nəqliyyat vasitəsi|qayıq
🚢;gəmi;gəmi|nəqliyyat|sərnişin|səyahət|Titanik
✈️;təyyarə;nəqliyyat|nəqliyyat vasitəsi|təyyarə
🛩️;balaca təyyarə;balaca təyyarə|nəqliyyat|nəqliyyat vasitəsi|təyyarə
🛫;təyyarə qalxır;gediş|nəqliyyat|qeydiyyat|təyyarə|təyyarə qalxır|uçuş|uçuşlar
🛬;təyyarə enir;daxilolma|daxilolmalar|eniş|nəqliyyat|nəqliyyat vasitəsi|təyyarə|təyyarə enir|uçüş
🪂;paraşüt;paraşüt|parayelkən|səma dayvı
💺;oturacaq;oturacaq|stul
🚁;helikopter;helikopter|nəqliyyat|nəqliyyat vasitəsi
🚟;asma dəmir yolu;asılma|asma dəmir yolu|asma dəmiryolu|dəmir yolu|dəmiryolu|nəqliyyat
🚠;dağ kanatı;dağ|dağ kanatı|kabel|nəqliyyat|qondola
🚡;hava tramvayı;hava|hava tramvayı|kabel|kanat yol|maşın
🛰️;peyk;kosmos|nəqliyyat|peyk
🚀;raket;kosmos|kosmosa səyahət|nəqliyyat|raket
🛸;uçan boşqab;uçan boşqab|UFO
🛎️;xidmət zəngi;otel|xidmət zəngi|xidmətçi|zəng
🧳;yük;çamadan|əşyaları toplamaq|səyahət|yük
⌛;qum saatı;qum|qum saatı|taymer
⏳;qum tökülən qum saatı;qum|qum saatı|qum tökülən qum saatı|taymer
⌚;qol saatı;qol saatı|saat
⏰;zəngli saat;oyanmaq|saat|siqnal|zəngli saat
⏱️;saniyəölçən;saat|saniyəölçən|vaxt
⏲️;taymer;saat|taymer
🕰️;buxarı saat;buxarı saat|saat|vaxt
🕛;12 tamam;00|12|12 tamam|12:00|on iki|saat
🕧;birin yarısı;12|12:30|30|birin yarısı|on iki|otuz|saat
🕐;bir tamam;00|1|1:00|bir|bir tamam|saat
🕜;ikinin yarısı;1|1:30|30|bir|ikinin yarısı|otuz|saat
🕑;iki tamam;00|2|2:00|iki|iki tamam|saat
🕝;üçün yarısı;2|2:30|30|iki|otuz|saat|üçün yarısı
🕒;üç tamam;00|3|3:00|saat|üç|üç tamam
🕞;dördün yarısı;3|3:30|30|dördün yarısı|otuz|saat|üç
🕓;dörd tamam;00|4|4:00|dörd|dörd tamam|saat
🕟;beşin yarısı;30|4|4:30|beşin yarısı|dörd|otuz|saat
🕔;beş tamam;00|5|5:00|beş|beş tamam|saat
🕠;altının yarısı;30|5|5:30|altının yarısı|beş|otuz|saat
🕕;altı tamam;00|6|6:00|altı|altı tamam|saat
🕡;yeddinin yarısı;30|6|6:30|altı|otuz|saat|yeddinin yarısı
🕖;yeddi tamam;00|7|7:00|saat|yeddi|yeddi tamam
🕢;səkkizin yarısı;30|7|7:30|otuz|saat|səkkizin yarısı|yeddi
🕗;səkkiz tamam;00|8|8:00|saat|səkkiz|səkkiz tamam
🕣;doqquzun yarısı;30|8|8:30|doqquzun yarısı|otuz|saat|səkkiz
🕘;doqquz tamam;00|9|9:00|doqquz|doqquz tamam|saat
🕤;onun yarısı;30|9|9:30|doqquz|onun yarısı|otuz|saat
🕙;on tamam;00|10|10:00|on|on tamam|saat
🕥;on birin yarısı;10|10:30|30|on|on birin yarısı|otuz|saat
🕚;on bir tamam;00|11|11:00|on bir|on bir tamam|saat
🕦;on ikinin yarısı;11|11:30|30|on bir|on ikinin yarısı|otuz|saat
🌑;yeni ay;ay|hava|kosmos|tünd|yeni ay
🌒;dörddə bir aypara;ay|aypara|dörddə bir|dörddə bir aypara|hava|kosmos
🌓;ayın birinci dörrdə bir hissəsi;ay|ayın birinci dörrdə bir hissəsi|dörddə bir|hava|kosmos
🌔;dörddə bir böyüyən ay;ay|böyüyən|dolan ay|dörddə bir|dörddə bir böyüyən ay|hava|kosmos
🌕;tam ay;ay|bədirlənmiş ay|hava|kosmos|tam
🌖;sönən böyüyən ay;ay|azalan ay|böyüyən|hava|kosmos|sönən
🌗;ayın sonuncu dörddə bir hissəsi;ay|ayın sonuncu dörddə bir hissəsi|dörddə bir|hava|kosmos|son rüb
🌘;sönən aypara;ay|aypara|hava|kosmos|sönən
🌙;aypara;ay|aypara|hava|kosmos|səma
🌚;yeni ay üzü;ay|hava|kosmos|üz|yeni ay üzü
🌛;ayın birinci dörrdə bir hissəsinin üzü;ay|ayın birinci dörrdə bir hissəsinin üzü|ayın ilk fazası|dörddə bir|hava|kosmos|üz
🌜;ayın sonuncu dörddə bir hissəsinin üzü;ay|ayın sonuncu dörddə bir hissəsinin üzü|ayın sonuncu fazası|dörddə bir|hava|kosmos|üz
🌡️;termometr;hava|termometr
☀️;günəş;günəş|günəşli|hava|kosmos|parlaq|şüalar
🌝;üzü olan tam ay;ay|hava|kosmos|parlaq|tam|üz|üzü olan tam ay
🌞;üzü olan günəş;gün şüaları|günəş|hava|işıqlı|kosmos|parlaq|üz|üzü olan günəş
🪐;üzüklü planet;saturn|üzüklü planet
⭐;ağ orta ulduz;ağ orta ulduz|astronomiya|ulduz
🌟;parıldayan ulduz;işıq|parıldayan|parlaq|qığılcım|ulduz
🌠;düşən ulduz;düşən ulduz|kosmos|parlama|tökülmək|ulduz|ulduz sürüşməsi
🌌;süd yolu;hava|kosmos|süd yolu
☁️;bulud;bulud|hava
⛅;buludun arxasında günəş;bulud|buludun arxasında günəş|günəş|hava
⛈️;ildırım və yağışlı bulud;bulud|göy gurultusu|hava|ildırım|ildırım və yağışlı bulud|yağış
🌤️;balaca buludun arxasına günəş;balaca buludun arxasına günəş|bulud|buludun arxasından çıxan günəş|günəş|hava
🌥️;böyük buludun arxasında günəş;böyük buludun arxasında günəş|bulud|günəş|hava
🌦️;yağışlı buludun arxasında günəş;bulud|günəş|hava|yağış|yağışlı buludun arxasında günəş
🌧️;yağışlı bulud;bulud|hava|yağış|yağışlı bulud
🌨️;qarlı bulud;bulud|hava|qar|qarlı bulud|soyuq
🌩️;ildırımlı bulud;bulud|hava|ildırım|ildırımlı bulud
🌪️;qasırğa;bulud|hava|qasırğa
🌫️;duman;bulud|duman|hava
🌬️;külək üzü;bulud|əsmək|hava|külək|külək üzü|üz
🌀;siklon;başgicəllənmə|hava|qasırğa|siklon|tufan
🌈;göyqurşağı;göyqurşağı|hava|lgbt simvolu|yağış
🌂;bağlı çətir;bağlı çətir|çimərlik|geyim|hava|yağış|yağmur
☂️;çətir;çətir|geyim|hava|yağış
☔;yağış damcıları düşən çətir;çimərlik|damcı|geyim|hava|yağış|yağış damcıları düşən çətir
⛱️;yerdə çətir;çətir|çimərlik|günəş|hava|yağış|yerdə çətir
⚡;yüksək voltaj;elektrik|ildırım|təhlükə|toqquşma|voltaj|yüksək gərginlik|yüksək voltaj
❄️;qara dənəciyi;hava|qar|qara dənəciyi|soyuq
☃️;qar adam;hava|qar|qar adam|soyuq
⛄;qarsız qar adam;hava|qar|qar adam|qar adamı|qarsız qar adam|soyuq
☄️;kometa;kometa|kosmos
🔥;alov;alət|alov|atəş|isti|yanmaq
💧;damcı;damcı|hava|komik|soyuq|tər
🌊;su dalğası;dalğa|hava|okean|sörfinq|su|su dalğası

[activities]
🎃;Hellouin balqabağı;bayram|cek|fənər|hellouin|Hellouin balqabağı
🎄;milad ağacı;ağac|bayram|milad|milad ağacı|yeni il bayramı
🎆;fişənglər;bayram|əyləncə|fişənglər|şənlik
🎇;qığılclm;bayram|fişəng|qığılcım|qığılclm
🧨;feyerverk;dinamit|feyerverk|fişəng|partlama
✨;qığılcımlar;işıltı|parıltı|qığılcım|qığılcımlar|sehirli|ulduz
🎈;şar;bayram|şar
🎉;qonaqlıq stimullaşdırıcısı;bayram|qeyd etmək|qonaqlıq|qonaqlıq stimullaşdırıcısı|stimullaşdırıcı|tada
🎊;konfetti topu;bayram|konfetti|konfetti topu|top
🎋;tanabata ağacı;ağac|banner|bayram|tanabata ağacı|yapon
🎍;şam ağacı bəzəyi;bambuk|bayram|bitki|şam|şam ağacı bəzəyi|yapon
🎎;yapon gəlincikləri;bayram|festival|gəlincik|yapon|yapon gəlincikləri
🎏;karp-uçurtma;bayram|karp|karp-uçurtma|uçurtma
🎐;külək zəngi;bayram|külək|külək səsi|külək zəngi|zəng|zəng səsi
🎑;ay mərasimi;ay|ay mərasimi|bayram|mərasim
🧧;qırmızı zərf;bəxt|hədiyyə|honbao|pul|qırmızı zərf
🎀;lent;bayram|lent
🎁;bükülmüş hədiyyə;bayram|bükülmüş|hədiyyə|hədiyyə etmək|qutu
🎗️;xatırlatma lenti;bayram|lent|xatırlatma|xatırlatma lenti|yadetmə
🎟️;giriş biletləri;bilet|giriş biletləri|giriş haqqı
🎫;bilet;bilet|giriş haqqı
🎖️;hərbi medal;bayram|hərbi|medal|mükafat|təltif
🏆;kubok;kubok|mükafat
🏅;idman medalı;idman medalı|medal|qalib
🥇;qızıl medal;1-ci yer|qalib|qızıl medal|yarışma
🥈;gümüş medal;2-ci yer|gümüş medal|qalib|yarışma
🥉;bürünc medal;3-cü yer|bürünc medal|qalib|yarışma
⚽;futbol topu;futbol|futbol topu|top
⚾;beysbol;beysbol|beysbol topu|top
🥎;softbol;əlçək|idman|qoltuqaltı|softbol|top
🏀;basketbol;basketbol|basketbol topu|halqa|idman|top
🏐;voleybol;oyun|top|voleybol|voleybol topu
🏈;amerikan futbolu;amerika|amerikan futbolu|futbol|top
🏉;reqbi;futbol|idman|reqbi|reqbi topu|top
🎾;tennis;tennis|tennis topu|top
🥏;uçan disk;frizbi oyunu|sonuncu|uçan disk
🎳;boulinq;boulinq|oyun|top
🏏;kriket;dəyənək|kriket|kriket topu|oyun|top
🏑;sahə xokkeyi;çubuq|oyun|sahə|sahə xokkeyi|top|xokkey|xokkey çubuğu
🏒;buz xokkeyi çubuğu və şaybası;buz|buz xokkeyi çubuğu və şaybası|çubuq|oyun|şayba|xokkey
🥍;lakross;çubuq|idman|lakross|qol|top
🏓;pinq ponq;dəyənək|oyun|pinq ponq|raketka|stolüstü tennis|top
🏸;badminton;badminton|bödi|idman|oyun|raketka|tennis
🥊;boks əlcəyi;boks|boks əlcəyi|döyüş|əlcək
🥋;döyüş idmanı geyimi;cüdo|döyüş|döyüş idmanı geyimi|idman|idman forması|karate
🥅;darvaza;darvaza|futbol|idman|qapı|qol|top
⛳;dəlikdə bayraq;dəlik|dəlikdə bayraq|qolf
⛸️;buz konkisi;buz|buz konkisi|konki
🎣;balıq tilovu;balıq|balıq tilovu|tilov
🤿;dalğıc maskası;akvalanq|dalğıc|dalğıc maskası
🎽;atlet köynəyi;atlet köynəyi|kəmər|köynək|qaçış
🎿;xizək;qar|xizək
🛷;sanka;kirşə|sanka|xizək
🥌;qıvrım daş;körlinq|oyun|qaya|qıvrım daş
🎯;birbaşa atış;birbaşa atış|göz|hədəf|nişan|ox|oyun|vur
🪀;yo-yo;dalğalanma|oyuncaq|yo-yo|yo-yo oyuncağı
🪁;çərpələng;çərpələng|havada üzmə|uçuş
🔫;tapança;alət|revolver|silah|tapança
🎱;bilyard;8|bilyard|oyun|səkkiz|top
🔮;kristal kürə;alət|fantastika|kristal|kristal kürə|nağıl|top|var-dövlət
🪄;sehrli çubuq;cadugər|falçı|sehrli|sehrli çubuq
🎮;video oyun;kontroller|oyun|video oyun
🕹️;coystik;coystik|oyun|video oyun
🎰;avtomat maşın;avtomat|avtomat maşın|kazino|oyun|qumar
🎲;oyun zəri;oyun|oyun zəri|zər
🧩;pazl;başsındırma|ipucu|parça|pazl
🧸;plüş ayı;oyuncaq|oyuncaq ayı|plüş|plüş ayı|yumşaq
🪅;pinyata;bayram|konfet|Meksika|pinyata|şənlik
🪩;güzgü top;diskoteka|güzgü|güzgü top|kürə|parıltı|rəqs|ziyafət
🪆;matryoşkalar;gəlincik|matryoşkalar|Rusiya|yuva
♠️;qaratoxmaq dəsti;dəst|kart|oyun|pik|qaratoxmaq|qaratoxmaq dəsti
♥️;ürək dəsti;dəst|eşq kartı|kart|kupa|oyun|ürək|ürək dəsti|ürəklər
♦️;romb dəsti;dəst|karo|kart|oyun|romb|romb dəsti|romblar
♣️;klub dəsti;dəst|kart|klub|klub dəsti|klublar|oyun|üçyarpaq yonca|xaç
♟️;şahmat piyadası;əfəl|genişlənən|şahmat|şahmat piyadası
🃏;joker;joker|kart|oynamaq|oyun|uno
🀄;maconq qırmızı əjdaha;maconq|maconq qırmızı əjdaha|oyun|qırmızı
🎴;gül oyun kartları;gül|gül oyun kartları|kart|oynamaq|oyun|yapon|Yaponiya
🎭;teatr incəsənəti;icra etmək|incəsənət|maska|teatr|teatr incəsənəti
🖼️;şəkilli çərçivə;çəkmək|çərçivə|incəsənət|muzey|şəkil|şəkilli çərçivə
🎨;rəssam palitrası;çəkmək|incəsənət|muzey|palitra|rəngarəng|rəsm|rəssam palitrası
🧵;sap;iynə|kələfçə|sap|tikiş
🪡;tikiş maşınının iynəsi;dərzilik|ilgəklər|ip|iynə|naxış|tikiş|tikiş maşınının iynəsi|tikiş yolları
🧶;iplik;iplik|top|toxuma
🪢;düyün;düyün|ip|kəndir|qarışıq-dolaşıq|sapma

[objects]
👓;eynək;eynək|geyim|göz|gün eynəyi
🕶️;gün eynəyi;eynək|göz|gün eynəyi|tünd
🥽;qoruyucu eynək;göz müdafiyəsi|qaynaq|qaynaq eynəyi|su eynəyi|üzgüçülük eynəyi|üzmək
🥼;laboratoriya geyimi;alim|həkim|laboratoriya geyimi|təcrübə
🦺;güvənlik jaketi;fövqəladə hal|güvənlik|güvənlik jaketi|jaket|təcililik|təhlükəsizlik jileti
👔;qalstuk;geyim|köynək|qalstuk|rəsmi geyim
👕;qısaqol köynək;futbolka|geyim|köynək
👖;cins;cins|geyim|şalvar
🧣;şərf;boyun|şərf|soyuq
🧤;əlcəklər;əl|əlcək|əlcəklər
🧥;palto;palto|pencək
🧦;corablar;corablar|uzunboğaz corab
👗;don;alış-veriş|don|geyim|paltar
👘;kimono;geyim|kimono
🥻;sari;geyim|paltar|sari
🩱;bir hissəli üzgüçülük geyimi;bir hissəli üzgüçülük geyimi|çimərlik geyimi|hamam geyimi
🩲;trusik;alt paltar|alt paltarı|hamam geyimi|trusik|tuman|üzgüçülük geyimi
🩳;şort;alt paltar|alt paltarı|hamam geyimi|şalvar|şort|üzgüçülük geyimi
👙;bikini;bikini|çimərlik|geyim|üzmək
👚;qadın paltarı;geyim|köynək|qadın|qadın koftası|qadın paltarı
🪭;yığılan yelpik;çırpınmaq|fanatlar|isti|rəqs|soyutma|utancaq|yığılan yelpik
👛;pul kisəsi;əl çantası|geyim|pul kisəsi|qəpik
👜;əl çantası;alış-veriş|çanta|əl çantası|geyim|qadın
👝;torba;çanta|geyim|torba
🛍️;alış-veriş çantaları;alış-veriş çantaları|çanta|otel|şoppinq
🎒;məktəbli bel çantası;bel çantası|çanta|məktəb|məktəbli bel çantası
🩴;vyetnamka;ayaqqabı|çimərlik səndəlləri|rezin vyetnamka|səndəllər|vyetnamka|vyetnamkalar|zori
👞;kişi ayaqqabısı;ayaqqabı|geyim|kişi|kişi ayaqqabısı
👟;qaçış ayaqqabısı;atletik|ayaqqabı|geyim|idman ayaqqabısı|krossovka|qaçış ayaqqabısı
🥾;gəzinti botinkası;botinka|çəkmə|əşyaları yığmaq|gəzinti|gəzinti botinkası|kempinq|piyada gəzmək
🥿;yastı ayaqqabı;balet ayaqqabısı|botinka|düz altlı|əşyaları yığmaq|gəzinti|kempinq|rahat|yastı ayaqqabı|yastıdaban
👠;hündür daban ayaqqabı;ayaqqabı|daban|geyim|hündür daban ayaqqabı|hündürdaban ayaqqabı|qadın
👡;qadın səndəli;ayaqqabı|geyim|qadın|qadın səndəli|səndəl
🩰;balet ayaqqabıları;balet|balet ayaqqabıları|rəqs
👢;qadın çəkməsi;ayaqqabı|çəkmə|geyim|qadın|qadın çəkməsi
🪮;saç düzümü;afro|Afro|daraq|saç|saç düzümü|seçin
👑;tac;geyim|kral|kraliça|tac
👒;qadın şlyapası;geyim|papaq|qadın|qadın şlyapası
🎩;silindr şlyapa;baş|fokus|geyim|papaq|sehir|silindr papaq|silindr şlyapa
🎓;məzuniyyət papağı;bayram|geyim|kepka|məzun papağı|məzuniyyət|məzuniyyət papağı|papaq|təhsil
🧢;kepka;beysbol kepkası|kepka|papaq
🪖;hərbi dəbilqə;dəbilqə|döyüşçü|əsgər|hərbi|ordu
⛑️;ağ xaçlı dəbilqə;ağ xaçlı dəbilqə|dəbilqə|kömək|papaq|üz|xaç|xilasedici dəbilqə
📿;təsbeh;abid|boyunbağı|din|geyim|muncuq|təsbeh
💄;dodaq boyası;dodaq boyası|kosmetika|makiyaj
💍;üzük;brilyant|nişan|romantika|üzük
💎;qiymətli daş;brilyant|daş-qaş|qiymətli daş|romantika
🔇;səsucaldan sönülüdür;sakit|səs|səssiz|səsucaldan|səsucaldan sönülüdür|spiker
🔈;səsucaldan;səs|səsucaldan
🔉;səsucaldan aktivdir;aşağı|dalğa|səs|səsucaldan|səsucaldan aktivdir
🔊;səsucaldan yüksəkdir;3|səs|səsucaldan|səsucaldan yüksəkdir|üç|uca|yüksək
📢;səsucaldıcı;ictimai ünvan|səs|səsucaldıcı|uca
📣;meqafon;meqafon|salamlama|səsi uzağa yayan cihaz
📯;poçt şeypuru;poçt|poçt şeypuru|şeypur
🔔;zəng;zəng
🔕;üstündən xətt çəkilmiş zəng;qadağa|qadağan olunmuş|sakit|səssiz|üstündən xətt çəkilmiş zəng
🎼;musiqi partiturası;musiqi|musiqi partiturası|partitura
🎵;musiqi notu;musiqi|musiqi notu|not
🎶;musiqi notları;musiqi|musiqi notları|not|notlar
🎙️;studiya mikrafonu;mik|mikrofon|musiqi|studio|studiya mikrafonu
🎚️;səviyyə slayderi;musiqi|səviyyə|səviyyə slayderi|slayder
🎛️;idarə düymələri;düymə|idarə|idarə düymələri|musiqi
🎤;mikrofon;karaoke|mik|mikrofon|səs
🎧;qulaqlıq;qulaqlıq
📻;radio;radio|video
🎷;saksofon;alət|musiqi|saks|saksofon
🎺;şeypur;alət|musiqi|şeypur
🪊;trombon;alət|caz|kədərli|latun|musiqi|slayd
🪗;akkordeon;akkordeon|akkordion|instrument|konsertino|musiqi|qarmon
🎸;gitara;alət|gitara|musiqi|musiqi aləti
🎹;musiqi klaviaturası;alət|klaviatura|musiqi|musiqi aləti|musiqi klaviaturası|piano
🎻;skripka;alət|musiqi|musiqi aləti|skripka
🪕;banco;banco|bandjo|musiqi|simli alət
🥁;davul;davul|dəf|nağara
🪘;uzun baraban;instrument|konqa|ritm|təbil|uzun baraban|vurmaq
🪇;marakas;alət|cingilti|marakas|musiqi|rəqs|şənlik|silkələmək|zərb
🪈;fleyta;ağac nəfəsi|boru|fifa|fleyta|musiqi|musiqi aləti|nəfəs aləti|orkestr|yazıcı
🪉;arfa;arfa|instrument|kupidon|məhəbbət|musiqi|orkestr
📱;mobil telefon;əlaqə saxlamaq|mobil|telefon
📲;oxlu mobil telefon;mobil|ox|oxlu mobil telefon|qəbul etmək|telefon|ünsiyyət|zəng
