# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
🗿;モアイ;モアイ|モヤイ|像|顔
🪧;プラカード;デモ|プラカード|主張|抗議|異議|看板
🪪;身分証;ID|セキュリティ|身分証|身分証明書|運転免許証

[symbols]
🏧;ATM;ATM|現金自動預け払い機|銀行
🚮;ゴミ箱;くずかご|ゴミ捨て|ごみ箱|ゴミ箱
🚰;飲料水;水|水道|飲み水|飲料水
♿;車椅子;バリアフリー|バリヤフリー|車椅子
🚹;男子トイレ;WC|お手洗い|トイレ|化粧室|男子トイレ|男性
🚺;女子トイレ;WC|お手洗い|トイレ|化粧室|女子トイレ|女性
🚻;トイレ;WC|お手洗い|トイレ|化粧室
🚼;ベビーシート;ベビー|ベビーシート|赤ちゃん|赤ん坊
🚾;WC;WC|お手洗い|トイレ|化粧室
🛂;出入国審査;パスポートコントロール|入出国|出入国|出入国審査
🛃;税関;税関|通関
🛄;手荷物受取;スーツケース|バゲッジクレーム|手荷物|手荷物受取
🛅;手荷物預かり;スーツケース|ロッカー|手荷物|手荷物預かり
⚠️;警告;標識|注意|警告
🚸;児童横断;児童横断|子供|学校、幼稚園、保育所等あり|標識|通学路
⛔;車両進入禁止;標識|規制|車両進入禁止|道路
🚫;車両通行止め;標識|禁止|規制|車両通行止め|道路
🚳;自転車禁止;標識|禁止|自転車|自転車禁止|規制|道路
🚭;禁煙;タバコ|煙草|禁止|禁煙
🚯;ポイ捨て禁止;ごみ|ゴミ|ゴミ捨て禁止|ポイ捨て禁止|禁止
🚱;飲用不可;禁止|飲めない水|飲用不可
🚷;歩行者立入禁止;標識|歩行者立入禁止|禁止|規制|道路
📵;携帯電話禁止;スマートフォン禁止|スマホ禁止|携帯禁止|携帯電話禁止
🔞;18歳未満禁止;18歳未満禁止|18禁|未成年|禁止
☢️;放射能;危険|放射性|放射線|放射能
☣️;バイオハザード;バイオハザード|危険|有害物質
⬆️;上矢印;上|上矢印|北|矢印
↗️;右上矢印;北東|右上|右上矢印|矢印
➡️;右矢印;右|右矢印|東|矢印
↘️;右下矢印;南東|右下|右下矢印|矢印
⬇️;下矢印;下|下矢印|南|矢印
↙️;左下矢印;南西|左下|左下矢印|矢印
⬅️;左矢印;左|左矢印|矢印|西
↖️;左上矢印;北西|左上|左上矢印|矢印
↕️;上下矢印;上下|上下矢印|矢印
↔️;左右矢印;左右|左右矢印|矢印
↩️;右カーブ矢印;カーブ|右カーブ矢印|左|曲線|矢印
↪️;左カーブ矢印;カーブ|右|左カーブ矢印|曲線|矢印
⤴️;上カーブ矢印;カーブ|上|上カーブ矢印|曲線|矢印
⤵️;下カーブ矢印;カーブ|下|下カーブ矢印|曲線|矢印
🔃;右回り縦矢印;リロード|右回り|右回り縦矢印|時計回り|矢印
🔄;左回り矢印;リピート|反時計回り|左回り矢印|矢印|繰り返し
🔙;BACK矢印;BACK|BACK矢印|バック|戻る|矢印
🔚;END矢印;END|END矢印|エンド|矢印|終わり
🔛;ON矢印;ON|ON矢印|オン|矢印
🔜;SOON矢印;SOON|SOON矢印|すぐ|矢印
🔝;TOP矢印;TOP|TOP矢印|トップ|上|矢印
🛐;礼拝所;宗教|礼拝所|祈り
⚛️;原子のシンボル;元素|分子|原子|原子のシンボル|無神論
🕉️;オーム;オーム|ヒンドゥー教|宗教
✡️;ダビデの星;ダビデの星|ユダヤ教|宗教|星
☸️;法輪;仏教|宗教|法輪|転法輪
☯️;陰陽;インヤン|宗教|道教|陰陽
✝️;十字架;キリスト教|クロス|十字架|宗教
☦️;八端十字架;キリスト教|八端十字架|十字架|宗教
☪️;星と三日月;イスラム教|三日月|宗教|星|星と三日月
☮️;ピースマーク;ピースマーク|平和
🕎;メノーラー;メノーラー|メノラー|ユダヤ教|宗教|燭台
🔯;六芒星;ダビデ|六芒星|六角星|占い|星
🪯;カンダ;カンダ|シーク教|シク教|剣|宗教
♈;おひつじ座;おひつじ座|星座|牡羊座
♉;おうし座;おうし座|星座|牡牛座
♊;ふたご座;ふたご座|双子座|星座
♋;かに座;かに座|星座|蟹座
♌;しし座;しし座|星座|獅子座
♍;おとめ座;おとめ座|乙女座|星座
♎;てんびん座;てんびん座|天秤座|星座
♏;さそり座;さそり座|星座|蠍座
♐;いて座;いて座|射手座|星座
♑;やぎ座;やぎ座|山羊座|星座
♒;みずがめ座;みずがめ座|星座|水瓶座
♓;うお座;うお座|星座|魚座
⛎;へびつかい座;へびつかい座|星座|蛇遣座
🔀;シャッフルボタン;シャッフル|シャッフルボタン|ボタン|交差|矢印
🔁;リピートボタン;ボタン|リピートボタン|全曲|矢印|繰り返し
🔂;1曲リピートボタン;1曲リピートボタン|ボタン|リピート|矢印|繰り返し
▶️;再生ボタン;プレイ|ボタン|再生|再生ボタン|矢印
⏩;早送りボタン;ボタン|早送り|早送りボタン|矢印
⏭️;次の曲ボタン;ボタン|次のシーン|次のトラック|次の曲ボタン|矢印
⏯️;再生／一時停止ボタン;ボタン|一時停止|再生|再生／一時停止ボタン|矢印
◀️;逆再生ボタン;ボタン|巻き戻し|矢印|逆再生|逆再生ボタン
⏪;早戻しボタン;巻き戻し|戻る|早戻し|早戻しボタン|矢印
⏮️;前の曲ボタン;ボタン|前のシーン|前のトラック|前の曲ボタン|矢印
🔼;上ボタン;ボタン|上|上ボタン|矢印
⏫;高速上ボタン;ボタン|上|二重|矢印|高速上ボタン
🔽;下ボタン;ボタン|下|下ボタン|矢印
⏬;高速下ボタン;ボタン|下|二重|矢印|高速下ボタン
⏸️;一時停止ボタン;ポーズ|ボタン|一時停止|一時停止ボタン
⏹️;停止ボタン;ストップ|ボタン|停止|停止ボタン
⏺️;録音録画ボタン;ボタン|録画|録音|録音録画ボタン
⏏️;取り出しボタン;イジェクト|ボタン|取り出し|取り出しボタン
🎦;映画;カメラ|動画|映画|映画館
🔅;低輝度;ブライトネス|低輝度|明るさ|暗い|輝度
🔆;高輝度;ブライトネス|明るい|明るさ|輝度|高輝度
📶;アンテナマーク;アンテナマーク|スマートフォン|スマホ|圏内|携帯電話|電波
🛜;Wi-Fi;Wi-Fi|インターネット|スマホ|ネットワーク|パソコン|電波
📳;マナーモード;スマートフォン|スマホ|マナーモード|携帯|携帯電話
📴;携帯電話電源オフ;スマートフォン|スマホ|携帯電話電源オフ|電源オフ
♀️;女性のマーク;シンボル|女|女性|女性のマーク
♂️;男性のマーク;シンボル|男|男性|男性のマーク
⚧️;トランスジェンダーのマーク;LGBT|TG|シンボル|トランスジェンダーのマーク|性別
✖️;掛け算;キャンセル|バツ|ペケ|乗算|掛け算|記号
➕;プラス;+|プラス|加算|記号|足し算|足す
➖;マイナス;-|マイナス|引き算|引く|減算|記号
➗;割り算;/|割り算|割る|記号|除算
🟰;太字の等号;イコール|太字の等号|数学|等しい|等号
♾️;無限大;万物|永遠|無限|無限大
‼️;二重感嘆符;!|エクスクラメーションマーク|びっくりマーク|二重感嘆符|約物|記号
⁉️;感嘆符疑問符;!|?|はてなマーク|びっくりマーク|感嘆符疑問符|記号
❓;赤い疑問符;?|クエスチョンマーク|はてなマーク|疑問符|約物|記号|赤い疑問符
❔;白い疑問符;?|クエスチョンマーク|はてなマーク|白い疑問符|約物|記号
❕;白い感嘆符;!|エクスクラメーションマーク|びっくりマーク|白い感嘆符|約物|記号
❗;赤い感嘆符;!|エクスクラメーションマーク|びっくりマーク|感嘆符|約物|記号|赤い感嘆符
〰️;波線;波線|約物|記号
💱;外貨両替;お金|ドル|両替|円|外貨両替|通貨
💲;ドル記号;お金|ドル|ドル記号|通貨
⚕️;医療のシンボル;アスクレピオスの杖|医療|医療のシンボル|医者|治療
♻️;リサイクルマーク;リサイクル|リサイクルマーク|再利用|再生
⚜️;フルール・ド・リス;エンブレム|フランス王家|フルール・ド・リス|ユリ|紋章
🔱;トライデント;エンブレム|トライデント|三つ又|海
📛;名札;保育園|保育所|名札|幼稚園
🔰;初心者マーク;初心者|初心者マーク|若葉マーク
⭕;太い丸;円|太い丸|記号|輪
✅;白抜きのチェック;チェック|チェックマーク|白抜きのチェック|記号
☑️;チェックボックス;チェック|チェックボックス|チェックマーク|記号
✔️;太字のチェック;チェック|チェックマーク|太字のチェック|記号
❌;バツ;キャンセル|バツ|ペケ|乗算|掛け算|記号
❎;白抜きのバツ;キャンセル|バツ|ペケ|乗算|掛け算|白抜きのバツ|記号
➰;ループ;ループ|記号|輪っか|長音
➿;ダブルループ;ダブルループ|フリーダイヤル|ループ|記号|輪っか
〽️;いおりてん;いおりてん|庵点|歌記号|約物|記号
✳️;八角アスタリスク;アスタリスク|八角アスタリスク|約物|記号
✴️;八角星;八角星|星|約物|記号
❇️;スパークル;アスタリスク|スパークル|約物|記号
©️;著作権マーク;Cマーク|コピーライト|著作権|著作権マーク|記号
®️;登録商標マーク;Rマーク|登録商標|登録商標マーク|記号
™️;商標マーク;TMマーク|トレードマーク|商標|商標マーク|記号
#️⃣;囲み数字: #;囲み数字|囲み数字: #
*️⃣;囲み数字: *;囲み数字|囲み数字: *
0️⃣;囲み数字: 0;囲み数字|囲み数字: 0
1️⃣;囲み数字: 1;囲み数字|囲み数字: 1
2️⃣;囲み数字: 2;囲み数字|囲み数字: 2
3️⃣;囲み数字: 3;囲み数字|囲み数字: 3
4️⃣;囲み数字: 4;囲み数字|囲み数字: 4
5️⃣;囲み数字: 5;囲み数字|囲み数字: 5
6️⃣;囲み数字: 6;囲み数字|囲み数字: 6
7️⃣;囲み数字: 7;囲み数字|囲み数字: 7
8️⃣;囲み数字: 8;囲み数字|囲み数字: 8
9️⃣;囲み数字: 9;囲み数字|囲み数字: 9
🔟;囲み数字: 10;囲み数字|囲み数字: 10
🔠;英大文字の入力;ABCD|アルファベット|ローマ字|大文字|英大文字の入力|英字
🔡;英小文字の入力;abcd|アルファベット|ローマ字|小文字|英字|英小文字の入力
🔢;数字の入力;1234|入力|数字|数字の入力
🔣;記号の入力;〒♪&amp;%|入力|記号|記号の入力
🔤;英字の入力;abc|アルファベット|ローマ字|英字|英字の入力
🅰️;血液型A型;A型|血液型|血液型A型
🆎;血液型AB型;AB型|血液型|血液型AB型
🅱️;血液型B型;B型|血液型|血液型B型
🆑;CLマーク;CL|CLマーク|クリア
🆒;COOLマーク;COOL|COOLマーク|クール
🆓;FREEマーク;FREEマーク|タダ|フリー|無料
ℹ️;iマーク;i|iマーク|インフォメーション|情報
🆔;IDマーク;ID|IDマーク|アイディー
Ⓜ️;丸いMマーク;M|丸|丸いMマーク
🆕;NEWマーク;NEW|NEWマーク|新しい
🆖;NGマーク;NG|NGマーク|エヌジー|ボツ
🅾️;血液型O型;O型|血液型|血液型O型
🆗;OKマーク;OK|OKマーク|オーケー|オッケー
🅿️;Pマーク;P|Pマーク|パーキング|駐車場
🆘;SOSマーク;SOS|SOSマーク|エスオーエス|助けて
🆙;UPマーク;UP|UPマーク|アップ|更新
🆚;VSマーク;VSマーク|ヴァーサス|ヴィエス|バーサス|ブイエス
🈁;ココのマーク;ここ|ココ|ココのマーク
🈂️;サのマーク;サ|サービス料|サのマーク
🈷️;月マーク;月|月マーク|月極|月額
🈶;有マーク;有|有マーク|有料|有限
🈯;指マーク;指|指マーク|指定席
🉐;マル得;お得|マル得|得
🈹;割マーク;ディスカウント|割|割マーク|割引
🈚;無マーク;タダ|無|無マーク|無料
🈲;禁マーク;厳禁|禁|禁マーク|禁止
🉑;可マーク;可|可マーク|可能|許可
🈸;申マーク;申|申し込み|申マーク|申請
🈴;合マーク;合|合マーク|合格
🈳;空マーク;空|空き|空マーク|空室|空席
㊗️;祝マーク;おめでとう|お祝い|祝|祝マーク
㊙️;マル秘;マル秘|極秘|社外秘|秘|秘密
🈺;営マーク;営|営マーク|営業中|営業日
🈵;満マーク;満マーク|満員|満室|満席|満車
🔴;赤い丸;丸|丸いボタン|赤|赤い丸
🟠;オレンジの丸;オレンジ|オレンジの丸|丸|丸いボタン
🟡;黄色い丸;丸|丸いボタン|黄色|黄色い丸
🟢;緑の丸;丸|丸いボタン|緑|緑の丸
🔵;青い丸;丸|丸いボタン|青|青い丸
🟣;紫の丸;丸|丸いボタン|紫|紫の丸
🟤;茶色の丸;丸|丸いボタン|茶色|茶色の丸
⚫;黒い丸;丸|丸いボタン|黒|黒い丸
⚪;白い丸;丸|丸いボタン|白|白い丸
🟥;赤い四角;四角|正方形|赤|赤い四角
🟧;オレンジの四角;オレンジ|オレンジの四角|四角|正方形
🟨;黄色い四角;四角|正方形|黄色|黄色い四角
🟩;緑の四角;四角|正方形|緑|緑の四角
🟦;青い四角;四角|正方形|青|青い四角
🟪;紫の四角;四角|正方形|紫|紫の四角
🟫;茶色い四角;四角|正方形|茶色|茶色い四角
⬛;黒四角特大;四角|正方形|黒|黒四角特大
⬜;白四角特大;四角|正方形|白|白四角特大
◼️;黒四角大;四角|正方形|黒|黒四角大
◻️;白四角大;四角|正方形|白|白四角大
◾;黒四角中;四角|正方形|黒|黒四角中
◽;白四角中;四角|正方形|白|白四角中
▪️;黒四角小;四角|正方形|黒|黒四角小
▫️;白四角小;四角|正方形|白|白四角小
🔶;大きいオレンジのひし形;オレンジ|ダイア|ダイヤ|ひし形|四角|大きいオレンジのひし形
🔷;大きい青のひし形;ダイア|ダイヤ|ひし形|四角|大きい青のひし形|青
🔸;小さいオレンジのひし形;オレンジ|ダイア|ダイヤ|ひし形|四角|小さいオレンジのひし形
🔹;小さい青のひし形;ダイア|ダイヤ|ひし形|四角|小さい青のひし形|青
🔺;赤い上三角;三角|上|赤|赤い上三角
🔻;赤い下三角;三角|下|赤|赤い下三角
💠;ドット付きひし形;ダイア|ダイヤ|ドット付きひし形|ひし形
🔘;ラジオボタン;ボタン|ラジオボタン|二重丸
🔳;白枠四角;ボタン|四角ボタン|正方形|白枠四角
🔲;黒枠四角;ボタン|四角ボタン|正方形|黒枠四角

[flags]
🏁;チェッカーフラッグ;スポーツ|チェッカーフラッグ|フラグ|フラッグ|レース|旗
🚩;三角の旗;ゴルフ|スポーツ|フラグ|フラッグ|三角の旗|旗
🎌;祝日の旗;フラグ|フラッグ|旗|日の丸|祝日|祝日の旗
🏴;黒旗;フラグ|フラッグ|旗|黒|黒旗
🏳️;白旗;フラグ|フラッグ|旗|白|白旗
🏳️‍🌈;レインボーフラッグ;LGBT|フラグ|フラッグ|レインボーフラッグ|旗|虹色の旗
🏳️‍⚧️;トランスジェンダーフラッグ;LGBT|TG|トランスジェンダー|トランスジェンダーフラッグ|フラグ|フラッグ|旗
