[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
🥠;bəxt peçenyesi;bəxt peçenyesi|peyğəmbərlik
🥡;özünlə aparmaq qutusu;özünlə aparmaq qutusu|stridiya vedrəsi
🦀;qırmızı xərçəng;qırmızı xərçəng|xərçəng|zodiak
🦞;lobster;caynaq|dəniz mətbəxi|lobster|xərçəng əti
🦐;krevet;krevet|su canlısı|xərçəng
🦑;səkkiz ayaq;səkkiz ayaq|su canlısı
🦪;stridiya;mirvari|stridiya|suyagirmə
🍦;yumşaq dondurma;buz|desert|dondurma|krem|şirin|yumşaq dondurma|yumuşaq
🍧;rəndələnmiş dondurma;buz|desert|rəndələnmiş|rəndələnmiş dondurma|şirin
🍨;dondurma;buz|desert|dondurma|krem|şirin
🍩;ponçik;desert|ponçik|şirin
🍪;peçenye;desert|peçenye|şirin
🎂;ad günü tortu;ad günü|ad günü tortu|bayram|desert|şirin|tort|xəmir
🍰;bir dilim tort;bir dilim tort|desert|dilim|şirin|tort|xəmir
🧁;keks;çörəkxana|keks|şirniyyat
🥧;piroq;piroq|tort
🍫;şokolad plitkası;desert|plitka|şirin|şokolad|şokolad plitkası
🍬;konfet;desert|konfet|şirin
🍭;şüşəli karamel;desert|konfet|şirin|şüşəli karamel
🍮;bişirilmiş krem;bişirilmiş krem|desert|pudinq|şirin
🍯;bal qabı;bal|bal qabı|qab|şirin
🍼;uşaq şüşəsi;içmək|körpə|süd|şüşə|uşaq şüşəsi
🥛;bir stəkan süd;bir stəkan süd|içki|stəkan|süd
☕;isti içki;buxarlanan|çay|içki|içmək|isti|kofe
🫖;çaynik;çay|çaynik|içmək|kupə
🍵;qulpsuz çay fincanı;çay|fincan|içki|içmək|qulpsuz çay fincanı
🍶;sake;bar|fincan|içki|içmək|sake|şüşə
🍾;tıxacı çıxan şüşə;bar|dartmaq|içmək|şüşə|tıxac|tıxacı çıxan şüşə
🍷;şərab bakalı;bar|içki|içmək|şərab|şərab bakalı|şüşə
🍸;kokteyl bakalı;bar|içmək|kokteyl|kokteyl bakalı|şüşə
🍹;tropik içki;bar|içmək|tropik|tropik içki
🍺;pivə krujkası;bar|içmək|krujka|pivə|pivə krujkası
🍻;pivə krujkalarını toqquşdurmaq;bar|cingilti|içmək|krujka|pivə|pivə krujkalarını toqquşdurmaq
🥂;badələri qaldırmaq;badə|badələri qaldırmaq|sağlıq demək|toqquşdurmaq
🥃;viski stəkanı;içki|likör|spirtli|viski stəkanı
🫗;maye süzülməsi;boş|içki|maye süzülməsi|şüşə|tökmək
🥤;borucuqlu stəkan;borucuqlu stəkan|şirə|soda
🧋;köpüklü çay;çay|köpük|köpüklü çay|mirvari|süd
🧃;içki qutusu;içki qutusu|şirə qutusu
🧉;mate;içki|mate
🧊;buz kubu;aysberq|buz kubu|soyuq
🥢;yemək çubuqları;haşi|yemək çubuqları
🍽️;çəngəl və bıçaq ilə boşqab;bişirmək|bıçaq|boşqab|çəngəl|çəngəl və bıçaq ilə boşqab
🍴;çəngəl və bıçaq;bişirmək|bıçaq|çəngəl|çəngəl və bıçaq
🥄;qaşıq;qaşıq|süfrə|yemək
🔪;mətbəx bıçağı;alət|bişirmək|bıçaq|hoço|mətbəx bıçağı|silah
🫙;banka;banka|çeşni|ədva|konteyner|mağaza|sous
🏺;amfora;alət|amfora|bişirmək|dolça|içmək|silah|zodiak

[travel_places]
🌍;Avropa-Afrikanı göstərən qlobus;afrika|avropa|Avropa-Afrikanı göstərən qlobus|dünya|qlobus|yer kürəsi
🌎;amerika-qitələrini göstərən qlobus;amerika|amerika-qitələrini göstərən qlobus|dünya|qlobus|yer kürəsi
🌏;asiya-avstraliya qitələrini göstərən qlobus;asiya|asiya-avstraliya qitələrini göstərən qlobus|avstraliya|dünya|qlobus|yer kürəsi
🌐;meridianları olan qlobus;dünya|meridianlar|meridianları olan qlobus|qlobus|yer kürəsi
🗺️;dünya xəritəsi;dünya|dünya xəritəsi|xəritə
🗾;yaponiyanın xəritəsi;xəritə|yaponiya|yaponiyanın xəritəsi
🧭;kompas;kompas|maqnit|naviqasiya|orientasiya
🏔️;başı qarla örtülmüş dağ;başı qarla örtülmüş dağ|dağ|qar|soyuq
⛰️;dağ;dağ
🌋;vulkan;dağ|hava|püskürmə|vulkan
🗻;fuji dağı;dağ|fuji|fuji dağı
🏕️;kempinq;kempinq
🏖️;çətirli çimərlik;çətir|çətirli çimərlik|çimərlik
🏜️;səhra;səhra
🏝️;tənha ada;ada|səhra|tənha ada
🏞️;milli park;milli park|park
🏟️;stadion;stadion
🏛️;klassik bina;bina|klassik
🏗️;bina tikintisi;bina|bina tikintisi|tikinti
🧱;kərpic;divar|kərpic|sement
🪨;qaya;ağır|bərk|daş|qaya|qaya parçası
🪵;odun;ağac|kötük|odun|taxta-şalban
🛖;alaçıq;alaçıq|çadır|depo|ev
🏘️;ev binaları;bina|ev|ev binaları
🏚️;baxımsız ev binası;baxımsız ev binası|bina|ev|tərk edilmiş
🏠;ev binası;bina|ev|ev binası|mənzil
🏡;bağı olan ev;bağ|bağı olan ev|bina|ev|mənzil
🏢;ofis binası;bina|ofis binası
🏣;yapon poçt idarəsi;bina|poçt|yapon|yapon poçt idarəsi
🏤;poçt idarəsi;Avropa|bina|poçt|poçt idarəsi
🏥;xəstəxana;bina|həkim|tibb|xəstəxana
🏦;bank;bank|bina
🏨;otel;bina|otel
🏩;sevgi oteli;bina|otel|sevgi|sevgi oteli
🏪;7/24 açıq olan mağaza;7/24 açıq olan mağaza|bina|mağaza|rahatlıq
🏫;məktəb;bina|məktəb
🏬;univermaq;bina|mağaza|şöbə|univermaq
🏭;fabrik;bina|fabrik
🏯;yapon qəsri;bina|qəsr|yapon|yapon qəsri
🏰;qəsr;avropa|bina|qəsr
💒;toy;kilsə|romantika|toy
🗼;tokiyo qalası;qala|tokio|tokiyo qalası
🗽;azadlıq heykəli;azadlıq|azadlıq heykəli|heykəl
⛪;kilsə;bina|din|kilsə|xaç|xristian
🕌;məscid;din|islam|məscid|müsəlman
🛕;hindu məbədi;hindu|məbədi
🕍;sinaqoq;din|məbəd|sinaqoq|yəhudi
⛩️;sinto məbədi;din|məbəd|sinto|sinto məbədi
🕋;kəbə;din|islam|kəbə|müsəlman
⛲;fontan;fontan
⛺;çadır;çadır|kempinq
🌁;dumanlı;duman|dumanlı|hava
🌃;ulduzlu gecə;axşam|hava|ulduz|ulduzlu gecə
🏙️;şəhər mənzərəsi;bina|şəhər|şəhər mənzərəsi
🌄;dağlardan qalxan günəş;dağ|dağlardan qalxan günəş|günəş|günəşin doğması|hava|səhər
🌅;gün doğumu;gün doğumu|günəş|hava|səhər
🌆;hava qaralanda şəhər mənzərəsi;bina|günəş|günəşin batması|hava qaralanda şəhər mənzərəsi
🌇;gün batımı;bina|gün batımı|günəş|hava|toran
🌉;gecə körpü;axşam|gecə körpü|hava|körpü
♨️;qaynar bulaqlar;bulaqlar|buxarlanan|isti|qaynar bulaqlar
🎠;karusel at;at|karusel
🛝;oyun slaydı;əyləncə parkı|oynamaq|oyun slaydı
🎡;şeytan çarxı;çarx|lunapark|şeytan|şeytan çarxı
🎢;maneəli dəmir yolu attraksionu;attraksion|çarx|lunapark|maneəli dəmir yolu attraksionu
💈;şlaqbaum;bərbər|saç düzümü|şlaqbaum|sütun
🎪;sirk çadırı;çadır|sirk|sirk çadırı
🚂;lokomotiv;buxar|dəmir yolu|lokomotiv|mühərrik|nəqliyyat|qatar
🚃;dəmir yolu qatarı vaqonu;dəmir yolu|dəmir yolu qatarı vaqonu|elektrik|maşın
🚄;yüksək sürətli qatar;dəmir yolu|nəqliyyat|qatar|sərnişin ekspressi|sürət|yüksək sürətli qatar
🚅;gülləyə bənzər ucluqlu yüksək sürət qatarı;dəmir yolu|güllə|gülləyə bənzər ucluqlu yüksək sürət qatarı|nəqliyyat|qatar|sərnişin ekspressi|sürət
🚆;qatar;dəmir yolu|nəqliyyat|qatar
🚇;metro;metro|nəqliyyat
🚈;işıq qatarı;dəmir yolu|işıq qatarı|nəqliyyat
🚉;stansiya;dəmir yolu|nəqliyyat|qatar|stansiya
🚊;stritkar;nəqliyyat|stritkar|trolleybus
🚝;monorels;monorels|nəqliyyat
🚞;dağ yolu;dağ|dağ yolu|dəmir yolu|maşın|nəqliyyat
🚋;tramvay vaqonu;avtomobil|tramvay|tramvay vaqonu|trolleybus
🚌;avtobus;avtobus|nəqliyyat
🚍;yaxınlaşan avtobus;avtobus|nəqliyyat|yaxınlaşan avtobus|yaxınlaşma
🚎;trolleybus;avtobus|nəqliyyat|tramvay|trolleybus
🚐;mini avtobus;avtobus|mini avtobus|nəqliyyat
🚑;təcili yardım maşını;nəqliyyat|təcili yardım maşını
🚒;yanğınsöndürən;mühərrik|nəqliyyat|yanğın|yanğınsöndürən|yük maşını
🚓;polis maşını;maşın|nəqliyyat|patrul|polis|polis maşını
🚔;yaxınlaşan polis maşını;maşın|nəqliyyat|polis|yaxınlaşan polis maşını|yaxınlaşma
🚕;taksi;nəqliyyat|taksi
🚖;yaxınlaşan taksi;nəqliyyat|taksi|yaxınlaşan taksi|yaxınlaşma
🚗;avtomobil;avtomobil|maşın|nəqliyyat
🚘;yaxınlaşan avtomobil;avtomobil|maşın|nəqliyyat|yaxınlaşan avtomobil|yaxınlaşma
🚙;rekreasiya avtomobili;nəqliyyat|rekreasiya|rekreasiya avtomobili|rn
🛻;pikap yüngül avtomobil;pikap|pikap yüngül avtomobil|yük avtomobili
🚚;yük maşını;çatdırılma|nəqliyyat|yük maşını
🚛;konteynerli maşın;konteynerli maşın|nəqliyyat|yarım|yük maşını
🚜;traktor;nəqliyyat|traktor
🏎️;yarış maşını;maşın|yarış|yarış maşını
🏍️;motosiklet;motosiklet|yarış
🛵;motorlu skuter;motorlu|motosikl|skuter
🦽;manual təkərli kreslo;əlverişlilik|manual təkərli kreslo
🦼;motorlu təkərli kreslo;əlverişlilik|motorlu təkərli kreslo
🛺;avto-rikşa;avto-rikşa|tuk-tuk
🚲;velosiped;nəqliyyat|velosiped
🛴;samokat;samokat|skuter
🛹;skeytbord;bord|skeytbord
🛼;diyircəkli konki;diyircək|diyircəkli konki|konki
🚏;avtobus dayanacağı;avtobus|avtobus dayanacağı|dayanacaq|dayanmaq
🛣️;şosse;şosse|yol
🛤️;dəmir yolu;dəmir yolu|qatar
🛢️;neft silindiri;neft|neft silindiri|silindir
⛽;yanacaq borusu;boru|qaz|stansiya|yanacaq|yanacaq borusu
🛞;təkər;dairə|növbə|təkər
🚨;polis maşının işığı;fırlanan|işıq|maşın|mayak|nəqliyyat|polis|polis maşının işığı
🚥;üfüqi işıqfor;işıq|nəqliyyat|siqnal|üfüqi işıqfor
🚦;şaquli işıqfor;işıq|nəqliyyat|şaquli işıqfor|siqnal
🛑;dayanmaq işarəsi;dayanmaq|dayanmaq işarəsi|yol işarəsi
🚧;tikinti;maneə|tikinti
⚓;lövbər;alət|gəmi|lövbər
🛟;üzük buy;həyat qoruyucu|təhlükəsizlik|üzmək|üzük buy|xilasetmə
⛵;yelkənli qayıq;dəniz|kurort|nəqliyyat|qayıq|yaxta|yelkənli qayıq
🛶;qayıq;qayıq|sürmə
🚤;sürətli qayıq;nəqliyyat|qayıq|sürətli qayıq
🛳️;sərnişin gəmisi;gəmi|nəqliyyat|sərnişin|sərnişin gəmisi
⛴️;bərə gəmisi;bərə gəmisi|qayıq
🛥️;motorlu qayıq;motorlu qayıq|nəqliyyat|qayıq
🚢;gəmi;gəmi|nəqliyyat
✈️;təyyarə;nəqliyyat|təyyarə
🛩️;balaca təyyarə;balaca təyyarə|nəqliyyat|təyyarə
🛫;təyyarə qalxır;nəqliyyat|qeydiyyat|təyyarə|təyyarə qalxır|uçuş|uçuşlar
🛬;təyyarə enir;daxilolma|daxilolmalar|eniş|nəqliyyat|təyyarə|təyyarə enir
🪂;paraşüt;paraşüt|parayelkən|səma dayvı
💺;oturacaq;oturacaq|stul
🚁;helikopter;helikopter|nəqliyyat
🚟;asma dəmir yolu;asılma|asma dəmir yolu|dəmir yolu|nəqliyyat
🚠;dağ kanatı;dağ|dağ kanatı|kabel|nəqliyyat|qondola
🚡;hava tramvayı;hava|hava tramvayı|kabel|kanat yol|maşın
🛰️;peyk;kosmos|nəqliyyat|peyk
🚀;raket;kosmos|nəqliyyat|raket
🛸;uçan boşqab;uçan boşqab|UFO
🛎️;xidmət zəngi;otel|xidmət zəngi|xidmətçi|zəng
🧳;yük;əşyaları toplamaq|səyahət|yük
⌛;qum saatı;qum|qum saatı|taymer
⏳;qum tökülən qum saatı;qum|qum saatı|qum tökülən qum saatı|taymer
⌚;qol saatı;qol saatı|saat
⏰;zəngli saat;saat|siqnal|zəngli saat
⏱️;saniyəölçən;saat|saniyəölçən
⏲️;taymer;saat|taymer
🕰️;buxarı saat;buxarı saat|saat
🕛;12 tamam;00|12|12 tamam|12:00|on iki|saat
🕧;birin yarısı;12|12:30|30|birin yarısı|on iki|otuz|saat
🕐;bir tamam;00|1|1:00|bir|bir tamam|saat
🕜;ikinin yarısı;1|1:30|30|bir|ikinin yarısı|otuz|saat
🕑;iki tamam;00|2|2:00|iki|iki tamam|saat
🕝;üçün yarısı;2|2:30|30|iki|otuz|saat|üçün yarısı
🕒;üç tamam;00|3|3:00|saat|üç|üç tamam
🕞;dördün yarısı;3|3:30|30|dördün yarısı|otuz|saat|üç
🕓;dörd tamam;00|4|4:00|dörd|dörd tamam|saat
🕟;beşin yarısı;30|4|4:30|beşin yarısı|dörd|otuz|saat
🕔;beş tamam;00|5|5:00|beş|beş tamam|saat
🕠;altının yarısı;30|5|5:30|altının yarısı|beş|otuz|saat
🕕;altı tamam;00|6|6:00|altı|altı tamam|saat
🕡;yeddinin yarısı;30|6|6:30|altı|otuz|saat|yeddinin yarısı
🕖;yeddi tamam;00|7|7:00|saat|yeddi|yeddi tamam
🕢;səkkizin yarısı;30|7|7:30|otuz|saat|səkkizin yarısı|yeddi
🕗;səkkiz tamam;00|8|8:00|saat|səkkiz|səkkiz tamam
🕣;doqquzun yarısı;30|8|8:30|doqquzun yarısı|otuz|saat|səkkiz
🕘;doqquz tamam;00|9|9:00|doqquz|doqquz tamam|saat
🕤;onun yarısı;30|9|9:30|doqquz|onun yarısı|otuz|saat
🕙;on tamam;00|10|10:00|on|on tamam|saat
🕥;on birin yarısı;10|10:30|30|on|on birin yarısı|otuz|saat
🕚;on bir tamam;00|11|11:00|on bir|on bir tamam|saat
🕦;on ikinin yarısı;11|11:30|30|on bir|on ikinin yarısı|otuz|saat
🌑;yeni ay;ay|hava|kosmos|tünd|yeni ay
🌒;dörddə bir aypara;ay|aypara|dörddə bir|dörddə bir aypara|hava|kosmos
🌓;ayın birinci dörrdə bir hissəsi;ay|ayın birinci dörrdə bir hissəsi|dörddə bir|hava|kosmos
🌔;dörddə bir böyüyən ay;ay|böyüyən|dörddə bir|dörddə bir böyüyən ay|hava|kosmos
🌕;tam ay;ay|hava|kosmos|tam
🌖;sönən böyüyən ay;ay|böyüyən|hava|kosmos|sönən
🌗;ayın sonuncu dörddə bir hissəsi;ay|ayın sonuncu dörddə bir hissəsi|dörddə bir|hava|kosmos
🌘;sönən aypara;ay|aypara|hava|kosmos|sönən
🌙;aypara;ay|aypara|hava|kosmos
🌚;yeni ay üzü;ay|hava|kosmos|üz|yeni ay üzü
🌛;ayın birinci dörrdə bir hissəsinin üzü;ay|ayın birinci dörrdə bir hissəsinin üzü|dörddə bir|hava|kosmos|üz
🌜;ayın sonuncu dörddə bir hissəsinin üzü;ay|ayın sonuncu dörddə bir hissəsinin üzü|dörddə bir|hava|kosmos|üz
🌡️;termometr;hava|termometr
☀️;günəş;günəş|günəşli|hava|kosmos|parlaq|şüalar
🌝;üzü olan tam ay;ay|hava|kosmos|parlaq|tam|üz|üzü olan tam ay
🌞;üzü olan günəş;günəş|hava|kosmos|parlaq|üz|üzü olan günəş
🪐;üzüklü planet;saturn|üzüklü planet
⭐;ağ orta ulduz;ağ orta ulduz|ulduz
🌟;parıldayan ulduz;işıq|parıldayan|parlaq|qığılcım|ulduz
🌠;düşən ulduz;düşən ulduz|kosmos|parlama|tökülmək|ulduz
🌌;süd yolu;hava|kosmos|süd yolu
☁️;bulud;bulud|hava
⛅;buludun arxasında günəş;bulud|buludun arxasında günəş|günəş|hava
⛈️;ildırım və yağışlı bulud;bulud|hava|ildırım|ildırım və yağışlı bulud|yağış
🌤️;balaca buludun arxasına günəş;balaca buludun arxasına günəş|bulud|günəş|hava
🌥️;böyük buludun arxasında günəş;böyük buludun arxasında günəş|bulud|günəş|hava
🌦️;yağışlı buludun arxasında günəş;bulud|günəş|hava|yağış|yağışlı buludun arxasında günəş
🌧️;yağışlı bulud;bulud|hava|yağış|yağışlı bulud
🌨️;qarlı bulud;bulud|hava|qar|qarlı bulud|soyuq
🌩️;ildırımlı bulud;bulud|hava|ildırım|ildırımlı bulud
🌪️;qasırğa;bulud|hava|qasırğa
🌫️;duman;bulud|duman|hava
🌬️;külək üzü;bulud|əsmək|hava|külək|külək üzü|üz
🌀;siklon;başgicəllənmə|hava|qasırğa|siklon|tufan
🌈;göyqurşağı;göyqurşağı|hava|yağış
🌂;bağlı çətir;bağlı çətir|çimərlik|geyim|hava|yağış
☂️;çətir;çətir|geyim|hava|yağış
☔;yağış damcıları düşən çətir;çimərlik|damcı|geyim|hava|yağış|yağış damcıları düşən çətir
⛱️;yerdə çətir;çimərlik|günəş|hava|yağış|yerdə çətir
⚡;yüksək voltaj;elektrik|ildırım|təhlükə|toqquşma|voltaj|yüksək voltaj
❄️;qara dənəciyi;hava|qar|qara dənəciyi|soyuq
☃️;qar adam;hava|qar|qar adam|soyuq
⛄;qarsız qar adam;hava|qar|qar adam|qarsız qar adam|soyuq
☄️;kometa;kometa|kosmos
🔥;alov;alət|alov
💧;damcı;damcı|hava|komik|soyuq|tər
🌊;su dalğası;dalğa|hava|okean|su|su dalğası

[activities]
🎃;Hellouin balqabağı;bayram|cek|fənər|hellouin|Hellouin balqabağı
🎄;milad ağacı;ağac|bayram|milad|milad ağacı
🎆;fişənglər;bayram|fişənglər
🎇;qığılclm;bayram|fişəng|qığılcım|qığılclm
🧨;feyerverk;dinamit|feyerverk|partlama
✨;qığılcımlar;qığılcım|qığılcımlar|ulduz
🎈;şar;bayram|şar
🎉;qonaqlıq stimullaşdırıcısı;bayram|qonaqlıq|qonaqlıq stimullaşdırıcısı|stimullaşdırıcı|tada
🎊;konfetti topu;bayram|konfetti|konfetti topu|top
🎋;tanabata ağacı;ağac|banner|bayram|tanabata ağacı|yapon
🎍;şam ağacı bəzəyi;bambuk|bayram|bitki|şam|şam ağacı bəzəyi|yapon
🎎;yapon gəlincikləri;bayram|festival|gəlincik|yapon|yapon gəlincikləri
🎏;karp-uçurtma;bayram|karp|karp-uçurtma|uçurtma
🎐;külək zəngi;bayram|külək|külək zəngi|zəng|zəng səsi
🎑;ay mərasimi;ay|ay mərasimi|bayram|mərasim
🧧;qırmızı zərf;bəxt|hədiyyə|honbao|pul|qırmızı zərf
🎀;lent;bayram|lent
🎁;bükülmüş hədiyyə;bayram|bükülmüş|hədiyyə|hədiyyə etmək|qutu
🎗️;xatırlatma lenti;bayram|lent|xatırlatma|xatırlatma lenti
🎟️;giriş biletləri;bilet|giriş biletləri|giriş haqqı
🎫;bilet;bilet|giriş haqqı
🎖️;hərbi medal;bayram|hərbi|medal
🏆;kubok;kubok|mükafat
🏅;idman medalı;idman medalı|medal
🥇;qızıl medal;1-ci yer|qalib|qızıl medal|yarışma
🥈;gümüş medal;2-ci yer|gümüş medal|qalib|yarışma
🥉;bürünc medal;3-cü yer|bürünc medal|qalib|yarışma
⚽;futbol topu;futbol|futbol topu|top
⚾;beysbol;beysbol|top
🥎;softbol;əlçək|qoltuqaltı|softbol|top
🏀;basketbol;basketbol|halqa|top
🏐;voleybol;oyun|top|voleybol
🏈;amerikan futbolu;amerika|amerikan futbolu|futbol|top
🏉;reqbi;futbol|reqbi|top
🎾;tennis;tennis|top
🥏;uçan disk;sonuncu|uçan disk
🎳;boulinq;boulinq|oyun|top
🏏;kriket;dəyənək|kriket|oyun|top
🏑;sahə xokkeyi;çubuq|oyun|sahə|sahə xokkeyi|top|xokkey
🏒;buz xokkeyi çubuğu və şaybası;buz|buz xokkeyi çubuğu və şaybası|çubuq|oyun|şayba|xokkey
🥍;lakross;çubuq|lakross|qol|top
🏓;pinq ponq;dəyənək|oyun|pinq ponq|raketka|stolüstü tennis|top
🏸;badminton;badminton|bödi|oyun|tennis
🥊;boks əlcəyi;boks|boks əlcəyi|döyüş|əlcək
🥋;döyüş idmanı geyimi;cüdo|döyüş|döyüş idmanı geyimi|idman|karate
🥅;darvaza;darvaza|futbol|idman|qapı|top
⛳;dəlikdə bayraq;dəlik|dəlikdə bayraq|qolf
⛸️;buz konkisi;buz|buz konkisi|konki
🎣;balıq tilovu;balıq|balıq tilovu|tilov
🤿;dalğıc maskası;akvalanq|dalğıc|dalğıc maskası
🎽;atlet köynəyi;atlet köynəyi|kəmər|köynək|qaçış
🎿;xizək;qar|xizək
🛷;sanka;kirşə|sanka|xizək
🥌;qıvrım daş;oyun|qaya|qıvrım daş
🎯;birbaşa atış;birbaşa atış|göz|hədəf|nişan|ox|oyun|vur
🪀;yo-yo;dalğalanma|oyuncaq|yo-yo
🪁;çərpələng;çərpələng|havada üzmə|uçuş
🔫;tapança;alət|revolver|silah|tapança
🎱;bilyard;8|bilyard|oyun|səkkiz|top
🔮;kristal kürə;alət|fantastika|kristal|kristal kürə|nağıl|top|var-dövlət
🪄;sehrli çubuq;cadugər|falçı|sehrli|sehrli çubuq
🎮;video oyun;kontroller|oyun|video oyun
🕹️;coystik;coystik|oyun|video oyun
🎰;avtomat maşın;avtomat|avtomat maşın|oyun
🎲;oyun zəri;oyun|oyun zəri|zər
🧩;pazl;başsındırma|ipucu|parça|pazl
🧸;plüş ayı;oyuncaq|plüş|plüş ayı|yumşaq
🪅;pinyata;bayram|pinyata|şənlik
🪩;güzgü top;diskoteka|güzgü top|parıltı|rəqs|ziyafət
🪆;matryoşkalar;gəlincik|matryoşkalar|Rusiya|yuva
♠️;qaratoxmaq dəsti;dəst|kart|oyun|qaratoxmaq|qaratoxmaq dəsti
♥️;ürək dəsti;dəst|kart|oyun|ürək|ürək dəsti|ürəklər
♦️;romb dəsti;dəst|kart|oyun|romb|romb dəsti|romblar
♣️;klub dəsti;dəst|kart|klub|klub dəsti|klublar|oyun
♟️;şahmat piyadası;əfəl|genişlənən|şahmat|şahmat piyadası
🃏;joker;joker|kart|oynamaq|oyun
🀄;maconq qırmızı əjdaha;maconq|maconq qırmızı əjdaha|oyun|qırmızı
🎴;gül oyun kartları;gül|gül oyun kartları|kart|oynamaq|oyun|yapon
🎭;teatr incəsənəti;icra etmək|incəsənət|maska|teatr|teatr incəsənəti
🖼️;şəkilli çərçivə;çəkmək|çərçivə|incəsənət|muzey|şəkil|şəkilli çərçivə
🎨;rəssam palitrası;çəkmək|incəsənət|muzey|palitra|rəssam palitrası
🧵;sap;iynə|kələfçə|sap|tikiş
🪡;tikiş maşınının iynəsi;dərzilik|ilgəklər|iynə|naxış|tikiş|tikiş maşınının iynəsi|tikiş yolları
🧶;iplik;iplik|top|toxuma
🪢;düyün;düyün|ip|kəndir|qarışıq-dolaşıq|sapma

[objects]
👓;eynək;eynək|geyim|göz|gün eynəyi
🕶️;gün eynəyi;eynək|göz|gün eynəyi|tünd
🥽;su eynəyi;göz müdafiyəsi|qaynaq|su eynəyi|üzmək
🥼;laboratoriya geyimi;həkim|laboratoriya geyimi|qaynaq|təcrübə
🦺;güvənlik jaketi;güvənlik|güvənlik jaketi|jaket|təcililik
👔;qalstuk;geyim|qalstuk
👕;köynək;futbolka|geyim|köynək
👖;cins;cins|geyim|şalvar
🧣;şərf;boyun|şərf
🧤;əlcəklər;əl|əlcəklər
🧥;palto;palto|pencək
🧦;corablar;corablar|stoker
👗;don;don|geyim
👘;kimono;geyim|kimono
🥻;sari;geyim|paltar|sari
🩱;bir hissəli üzgüçülük geyimi;bir hissəli üzgüçülük geyimi|hamam geyimi
🩲;trusik;alt paltar|hamam geyimi|trusik|üzgüçülük geyimi
🩳;şort;alt paltar|hamam geyimi|şalvar|şort
👙;bikini;bikini|geyim|üzmək
👚;qadın paltarı;geyim|qadın|qadın paltarı
🪭;yığılan yelpik;çırpınmaq|fanatlar|isti|rəqs|soyutma|utancaq|yığılan yelpik
👛;pul kisəsi;geyim|pul kisəsi|qəpik
👜;əl çantası;çanta|əl çantası|geyim
👝;torba;çanta|geyim|torba
🛍️;alış-veriş çantaları;alış-veriş çantaları|çanta|otel|şoppinq
🎒;məktəbli bel çantası;bel çantası|çanta|məktəb|məktəbli bel çantası
🩴;vyetnamka;çimərlik səndəlləri|rezin vyetnamka|səndəllər|vyetnamka|vyetnamkalar|zori
👞;kişi ayaqqabısı;ayaqqabı|geyim|kişi|kişi ayaqqabısı
👟;qaçış ayaqqabısı;atletik|ayaqqabı|geyim|krossovka|qaçış ayaqqabısı
