# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
🍜;fideos chineses;comida chinesa|comida xaponesa|fideos chineses|fumegante|ramen
🍝;espaguetes;espaguetes|pasta|spaghetti
🍠;pataca doce;doce|pataca
🍢;oden;comida xaponesa|espeto|marisco|oden
🍣;suxi;sushi|suxi
🍤;gamba frita;gamba|gamba á gabardina|gamba frita
🍥;pastel de peixe;espiral|pastel|pastel de peixe|peixe|remuíño
🥮;pastel de lúa;doce chinés|festival|lúa|outono|pastel de lúa
🍡;dango;dango|doce|espetada|sobremesa|xaponesa
🥟;dumpling;dumpling|empanadilla|pierogi
🥠;galleta da fortuna;galleta|galleta da fortuna|profecía|sorte
🥡;comida para levar;chinesa|comida|comida para levar
🦀;caranguexo;Cáncer|cangrexo|caranguexo|zodíaco
🦞;lagosta;lagosta|lumbrigante|mariscada|marisco
🦐;gamba;animal|camarón|gamba|lagostino|marisco
🦑;lura;animal|choco|lura|molusco
🦪;ostra;marisco|molusco|ostra|perla
🍦;xeado de máquina;cremoso|doce|sobremesa|xeado|xeado de máquina
🍧;sobremesa de xeo picado;picado|sobremesa|sobremesa de xeo picado|xeo
🍨;copa de xeado;copa|copa de xeado|xeado
🍩;rosquilla;doce|donut|rosquilla
🍪;galleta;doce|galleta
🎂;torta de aniversario;aniversario|candeas|celebración|festa|torta de aniversario
🍰;porción de torta;doce|porción de torta|sobremesa|torta
🧁;cupcake;cupcake|doce|madalena|pastelaría
🥧;pastel;pastel|torta
🍫;chocolate;chocolate|doce|libra
🍬;caramelo;caramelo|doce
🍭;piruleta;caramelo|doce|piruleta
🍮;flan;doce|flan|pudin|sobremesa
🍯;tarro de mel;bote|doce|mel|tarro de mel
🍼;biberón;bebé|beber|biberón|leite
🥛;vaso de leite;bebida|leite|vaso|vaso de leite
☕;café;bar|bebida|café|quente
🫖;teteira;bebida|infusión|té|teteira
🍵;té;bar|bebida|quente|té
🍶;sake;bebida|botella|cunca|sake|xaponesa
🍾;botella de champaña;botella|botella de champaña|cava|celebración|champaña
🍷;copa de viño;alcohol|bar|bebida|copa de viño|viño
🍸;cóctel;bar|bebida|cóctel|copa|vermú
🍹;bebida tropical;bar|bebida|bebida tropical|copa
🍺;cervexa;bar|cervexa|xerra
🍻;brinde de cervexas;brinde de cervexas|celebración|cervexa|xerras
🥂;brinde;bebida|brinde|celebrar|copas
🥃;vaso con xeo;bebida|vaso|vaso con xeo|whisky|xeo
🫗;derramamento de líquido;baleira|bebida|derramamento de líquido|vaso
🥤;vaso con palla;palla|refresco|vaso|vaso con palla|zume
🧋;té de burbullas;burbullas|leite|perlas|té de burbullas
🧃;brik;brik|cartón|tetra brik|zume
🧉;mate;Arxentina|bebida|infusión|mate
🧊;cubo de xeo;cubo de xeo|frío|pedra de xeo|xeo
🥢;paíños chineses;chinesa|comida|paíños|paíños chineses
🍽️;prato e cubertos;coitelo|cubertos|garfo|prato|prato e cubertos
🍴;garfo e coitelo;coitelo|cubertos|garfo|garfo e coitelo
🥄;culler;cuberto|culler
🔪;coitelo de cociña;arma|cociña|coitelo|coitelo de cociña
🫙;tarro;baleiro|condimento|contedor|salsa|tarro|tenda
🏺;ánfora;Acuario|ánfora|antigüidade|zodíaco

[travel_places]
🌍;globo terráqueo Europa-África;África|Europa|globo terráqueo Europa-África|mundo|Terra
🌎;globo terráqueo América;América|globo terráqueo América|mundo|Terra
🌏;globo terráqueo Asia-Australia;Asia|Australia|globo terráqueo Asia-Australia|mundo|Terra
🌐;globo terráqueo con meridianos;globo|globo terráqueo con meridianos|meridianos|mundo|Terra
🗺️;mapa do mundo;mapa|mapa do mundo|mapamundi|mundo
🗾;mapa do Xapón;mapa do Xapón|Xapón
🧭;compás;compás|magnético|navegación|orientación
🏔️;montañas nevadas;frío|inverno|montaña|montañas nevadas|neve
⛰️;montañas;montaña|montañas
🌋;volcán;erupción|volcán
🗻;monte Fuji;montaña|monte|monte Fuji|Xapón
🏕️;cámping;cámping|campismo
🏖️;praia e parasol;parasol|praia|praia e parasol|vacacións|verán
🏜️;deserto;deserto
🏝️;illa deserta;deserta|illa
🏞️;parque nacional;parque|parque nacional
🏟️;estadio;competición|deporte|estadio|partido
🏛️;monumento;banco|clásico|edificio|Grecia|monumento
🏗️;construción;construción|edificio|guindastre
🧱;ladrillo;cemento|ladrillo|muro
🪨;pedra;pedra|penedo|roca|rocha
🪵;madeira;leña|madeira|toro|tronco
🛖;palloza;cabana|choza|iurta|palloza
🏘️;casas;casas|chalés|cidade|urbanización|vivendas
🏚️;casa abandonada;abandonada|casa|deshabitada|en ruínas
🏠;casa;casa|chalé|vivenda
🏡;casa con xardín;casa|casa con xardín|vivenda|xardín
🏢;edificio;edificio
🏣;oficina de correos xaponesa;correo|correo postal|edificio|oficina|oficina de correos xaponesa
🏤;oficina de correos;correo postal|Correos|edificio|oficina|oficina de correos
🏥;hospital;edificio|hospital|medicina|médico|urxencias
🏦;banco;banco|diñeiro|edificio
🏨;hotel;aloxamento|edificio|hotel
🏩;motel;aloxamento|cita|edificio|hotel|motel
🏪;tenda 24 horas;24 horas|edificio|establecemento|tenda|tenda 24 horas
🏫;escola;colexio|edificio|escola
🏬;centro comercial;centro comercial|comercial|compras|edificio|grandes almacéns
🏭;fábrica;edificio|fábrica|industria
🏯;castelo xaponés;castelo|castelo xaponés|edificio|Xapón
🏰;castelo;castelo|construción|edificio
💒;voda pola Igrexa;capela|casar|igrexa|voda|voda pola Igrexa
🗼;Torre de Tokyo;Tokio|Toquio|torre|Torre de Tokyo
🗽;Estatua da Liberdade;Estados Unidos|Estatua da Liberdade|EUA|liberdade
⛪;igrexa;capela|cristianismo|edificio|igrexa|relixión
🕌;mesquita;edificio|islamismo|mesquita|musulmán|relixión
🛕;templo hindú;hindú|hinduísmo|relixión|templo
🕍;sinagoga;edificio|relixión|sinagoga|xudaísmo|xudeu
⛩️;santuario xintoísta;relixión|santuario xintoísta|Xapón|xintoísmo
🕋;Kaaba;A Meca|islamismo|Kaaba|musulmán|relixión
⛲;fonte;fonte
⛺;tenda de campaña;acampar|campamento|cámping|tenda de campaña
🌁;paisaxe nebulosa;borraxeira|meteoroloxía|neboeira|nebuloso|paisaxe nebulosa
🌃;noite estrelada;cidade|estrelas|meteoroloxía|noite|noite estrelada
🏙️;paisaxe urbana;cidade|edificios|paisaxe urbana
🌄;amencer sobre as montañas;amencer|amencer sobre as montañas|meteoroloxía|montañas|sol
🌅;amencer;amencer|meteoroloxía|sol
🌆;luscofusco;cidade|luscofusco|meteoroloxía|noitiña
🌇;solpor;cidade|meteoroloxía|ocaso|posta de sol|solpor
🌉;ponte de noite;estrelas|meteoroloxía|noite|ponte|ponte de noite
♨️;augas termais;auga termal|augas termais|quente|vapor
🎠;cabaliño de carrusel;cabaliño de carrusel|cabaliños|cabalo|carrusel
🛝;esvaradoiro;esvaradoiro|parque|xogar
🎡;nora;nora|noria|parque de atraccións
🎢;montaña rusa;montaña rusa|parque de atraccións
💈;poste de barbeiro;barbaría|barbeiro|barbería|poste de barbeiro|salón de peiteado
🎪;carpa do circo;carpa|carpa do circo|circo
🚂;locomotora de vapor;locomotora|locomotora de vapor|tren|vapor
🚃;vagón;tranvía|tren|tren eléctrico|vagón
🚄;tren de alta velocidade;alta velocidade|AVE|tren|tren de alta velocidade
🚅;tren bala;alta velocidade|tren|tren bala
🚆;tren;ferrocarril|tren
🚇;metro;metro
🚈;tren lixeiro;tranvía|tren lixeiro
🚉;estación;estación|tranvía|tren
🚊;tranvía;tranvía
🚝;monorraíl;monorraíl
🚞;ferrocarril de montaña;ferrocarril|ferrocarril de montaña
🚋;vagón de tranvía;tranvía|vagón|vagón de tranvía
🚌;autobús;autobús|autocar|bus
🚍;autobús de fronte;autobús|autobús de fronte|autocar|bus
🚎;trolebús;trole|trolebús
🚐;minibús;autobús|minibús
🚑;ambulancia;ambulancia
🚒;coche de bombeiros;bombeiros|camión|coche de bombeiros
🚓;coche de policía;coche|coche de policía|policía
🚔;coche de policía de fronte;coche|coche de policía de fronte|policía
🚕;taxi;taxi
🚖;taxi de fronte;taxi|taxi de fronte
🚗;coche;automóbil|coche|vehículo
🚘;coche de fronte;automóbil|coche|coche de fronte|vehículo
🚙;autocaravana;autocaravana|vacacións|vehículo recreativo
🛻;camioneta;camioneta|furgoneta|vehículo
🚚;camión de reparto;camión|camión de reparto
🚛;camión articulado;camión|camión articulado|tráiler
🚜;tractor;agricultura|tractor
🏎️;coche de carreiras;carreiras|coche|coche de carreiras
🏍️;moto;carreiras|moto|motocicleta
🛵;motocicleta;moto|motocicleta|motociclismo
🦽;cadeira de rodas;cadeira de rodas|discapacidade|manual
🦼;cadeira de rodas motorizada;cadeira de rodas motorizada|discapacidade|eléctrica|motorizada
🛺;triciclo motorizado;motorizado|mototaxi|rickshaw|triciclo motorizado|tuk-tuk
🚲;bicicleta;bici|bicicleta
🛴;patinete;patín|patinete|xoguete
🛹;monopatín;monopatín|monopatinaxe
🛼;patín;deporte|patín|patinaxe
🚏;parada de bus;autobús|bus|parada|parada de autobús|parada de bus
🛣️;autoestrada;autoestrada|autovía|estrada
🛤️;vía do tren;tren|vía|vía do tren
🛢️;barril de petróleo;barril|barril de petróleo|bidón|petróleo
⛽;gasolineira;carburante|combustible|gasóleo|gasolineira
🛞;roda;círculo|pneumático|roda|xirar
🚨;sirena de policía;coche de policía|luces|policía|sirena|sirena de policía
🚥;semáforo horizontal;horizontal|semáforo|tráfico
🚦;semáforo;semáforo|tráfico|vertical
🛑;sinal de stop;octógono|parar|sinal|sinal de stop|stop|tráfico
🚧;en construción;en construción|obras|sinal de obras
⚓;áncora;áncora|barco
🛟;salvavidas;flotar|rescate|salvador|salvavidas|seguranza
⛵;veleiro;barco|mar|veleiro
🛶;canoa;barca|canoa|piragua|piragüismo|remar
🚤;lancha motora;barco|lancha|lancha motora
🛳️;barco de pasaxeiros;barco|barco de pasaxeiros|cruceiro
⛴️;ferri;barco|ferri|transbordador
🛥️;barco a motor;barco|barco a motor|motor
🚢;barco;barco
✈️;avión;avión
🛩️;avioneta;avión|avioneta
🛫;avión despegando;avión|avión despegando|despegue|saída
🛬;avión aterrando;aterraxe|avión|avión aterrando|chegada
🪂;paracaídas;paracaídas|parapente
💺;asento;asento
🚁;helicóptero;helicóptero
🚟;tren colgante;ferrocarril|suspendido|suspensión|tren|tren colgante
🚠;teleférico;cabina|montaña|teleférico|tren
🚡;funicular;aéreo|colgante|funicular|tranvía
🛰️;satélite;espazo|satélite
🚀;foguete;espazo|foguete
🛸;ovni;extraterrestres|marcianos|ovni|prato voador
🛎️;campaíña de recepción;campaíña|campaíña de recepción|hotel|recepción|timbre
🧳;maleta;equipaxe|maleta|viaxar
⌛;reloxo de area;reloxo|reloxo de area|tempo
⏳;reloxo de area en funcionamento;reloxo|reloxo de area|reloxo de area en funcionamento
⌚;reloxo;reloxo
⏰;espertador;alarma|espertador|espertar|reloxo
⏱️;cronómetro;cronómetro|reloxo|tempo
⏲️;temporizador;reloxo|tempo|temporizador
🕰️;reloxo de repisa;reloxo|reloxo de repisa
🕛;doce en punto;00:00|12|12:00|doce en punto|en punto
🕧;doce e media;00:30|12|12:30|doce e media|e media
🕐;unha en punto;1|1:00|13:00|en punto|unha en punto
🕜;unha e media;1|1:30|13:30|e media|unha e media
🕑;dúas en punto;14:00|2|2:00|dúas en punto|en punto
🕝;dúas e media;14:30|2|2:30|dúas e media|e media
🕒;tres en punto;15:00|3|3:00|en punto|tres en punto
🕞;tres e media;15:30|3|3:30|e media|tres e media
🕓;catro en punto;16:00|4|4:00|catro en punto|en punto
🕟;catro e media;16:30|4|4:30|catro e media|e media
🕔;cinco en punto;17:00|5|5:00|cinco en punto|en punto
🕠;cinco e media;17:30|5|5:30|cinco e media|e media
🕕;seis en punto;18:00|6|6:00|en punto|seis en punto
🕡;seis e media;18:30|6|6:30|e media|seis e media
🕖;sete en punto;19:00|7|7:00|en punto|sete en punto
🕢;sete e media;19:30|7|7:30|e media|sete e media
🕗;oito en punto;20:00|8|8:00|en punto|oito en punto
🕣;oito e media;20:30|8|8:30|e media|oito e media
🕘;nove en punto;21:00|9|9:00|en punto|nove en punto
🕤;nove e media;21:30|9|9:30|e media|nove e media
🕙;dez en punto;10|10:00|22:00|dez en punto|en punto
🕥;dez e media;10|10:30|22:30|dez e media|e media
🕚;once en punto;11|11:00|23:00|en punto|once en punto
🕦;once e media;11|11:30|23:30|e media|once e media
🌑;lúa nova;lúa|nova|novilunio
🌒;lúa nova visible;lúa|nova|visible
🌓;lúa en cuarto crecente;crecente|cuarto|lúa|lúa en cuarto crecente
🌔;lúa xibosa crecente;crecente|lúa|xibosa
🌕;lúa chea;chea|lúa|plenilunio
🌖;lúa xibosa minguante;lúa|minguante|xibosa
🌗;lúa en cuarto minguante;cuarto|lúa|lúa en cuarto minguante|minguante
🌘;lúa minguante;lúa|minguante
🌙;lúa crecente;crecente|lúa
🌚;lúa nova con cara;cara|lúa|lúa nova con cara|nova
🌛;lúa en cuarto crecente con cara;cara|crecente|cuarto|lúa|lúa en cuarto crecente con cara
🌜;lúa en cuarto minguante con cara;cara|cuarto|lúa|lúa en cuarto minguante con cara|minguante
🌡️;termómetro;temperatura|termómetro
☀️;sol;calor|raios|sol|solleiro|tempo
🌝;lúa chea con cara;cara|chea|lúa|lúa chea con cara
🌞;sol con cara;cara|sol|sol con cara
🪐;planeta con aneis;planeta con aneis|Saturno|sistema solar
⭐;estrela;estrela
🌟;estrela brillante;brillante|escintilante|estrela
🌠;estrela fugaz;choiva de estrelas|chuvia de estrelas|estrela|fugaz
🌌;Vía Láctea;espazo|estrelas|noite|Vía Láctea
☁️;nube;meteoroloxía|nube
⛅;ceo parcialmente cuberto;anubrado|ceo parcialmente cuberto|meteoroloxía|nubrado|sol
⛈️;tormenta;choiva|lóstrego|meteoroloxía|nube|tormenta
🌤️;ceo parcialmente despexado;ceo parcialmente despexado|meteoroloxía|nube|sol
🌥️;ceo cuberto;ceo cuberto|meteoroloxía|nube|sol
🌦️;ceo cuberto con choiva;ceo cuberto con choiva|choiva|meteoroloxía|nube|sol
🌧️;choiva;choiva|chuvia|meteoroloxía|nube
🌨️;neve;frío|inverno|meteoroloxía|neve
🌩️;lóstregos;lóstrego|lóstregos|meteoroloxía|nube
🌪️;tornado;furacán|meteoroloxía|tornado
🌫️;néboa;meteoroloxía|néboa|nebuloso
🌬️;vento;cara|meteoroloxía|soprar|vento
🌀;ciclón;ciclón|furacán|tifón|tornado
🌈;arco da vella;arco da vella|arco iris
🌂;paraugas pechado;choiva|paraugas|paraugas pechado|pingas
☂️;paraugas;choiva|paraugas
☔;paraugas con choiva;choiva|paraugas|paraugas con choiva
⛱️;parasol na praia;area|parasol|parasol na praia|praia|sol
⚡;alta tensión;alta tensión|alta voltaxe|electricidade|perigo
❄️;copo de neve;copo|copo de neve|frío|inverno|neve
☃️;nevando e boneco de neve;boneco|frío|inverno|nevando e boneco de neve|neve
⛄;boneco de neve;boneco|boneco de neve|frío|inverno
☄️;cometa;cometa|espazo
🔥;lume;fogo|incendio|lapas|lume
💧;pinga;auga|cómic|pinga|suar|suor fría
🌊;onda;mar|océano|onda|onda do mar|onda do océano

[activities]
🎃;cabaza de Samaín;cabaza|cabaza de Samaín|celebración|Halloween|Samaín
🎄;árbore de Nadal;árbore|árbore de Nadal|celebración|Nadal
🎆;fogos artificiais;celebración|festas|fogos artificiais
🎇;bengala;bengala|celebración|festa
🧨;petardo;dinamita|explosivo|fogos artificiais|foguete|petardo
✨;chispas;brillar|chispas|escintilar|estrelas
🎈;globo;aniversario|festa|globo
🎉;lanzador de confeti;confeti|festa|lanzador de confeti
🎊;bola de confeti;bola de confeti|confeti|festa
🎋;árbore dos desexos de Tanabata;árbore|árbore dos desexos de Tanabata|celebración|tiras de papel|xaponés
🎍;decoración con bambú;Aninovo|bambú|celebración|decoración con bambú
🎎;bonecas xaponesas;bonecas|bonecas xaponesas|celebración|festival xaponés
🎏;bandeirolas con forma de carpa;bandeirolas|bandeirolas con forma de carpa|carpas|festa
🎐;campaíña de vento;campaíña|campaíña de vento|vento
🎑;cerimonia da lúa;cerimonia|cerimonia da lúa|lúa|xaponesa
🧧;sobre vermello;agasallo|boa sorte|diñeiro|hongbao|lai see|sobre vermello
🎀;lazo;celebración|cinta|lazo|regalo
🎁;regalo;aniversario|festa|lazo|regalo
🎗️;lazo conmemorativo;conmemoración|lazo|lazo conmemorativo
🎟️;entradas;entrada|entradas|espectáculo
🎫;tícket;billete|entrada|tícket
🎖️;medalla militar;condecoración|medalla|militar
🏆;trofeo;premio|trofeo
🏅;medalla deportiva;deporte|medalla|medalla deportiva|podio
🥇;medalla de ouro;gañador|gañadora|medalla|medalla de ouro|ouro|primeira|primeiro
🥈;medalla de prata;medalla|medalla de prata|prata|segunda|segundo
🥉;medalla de bronce;bronce|medalla|medalla de bronce|terceira|terceiro
⚽;balón de fútbol;balón|balón de fútbol|fútbol|pelota
⚾;pelota de béisbol;béisbol|pelota|pelota de béisbol
🥎;sófbol;bate|guante|pelota|sófbol|softball|sóftball
🏀;balón de baloncesto;balón|balón de baloncesto|baloncesto|canastra|pelota
🏐;balón de voleibol;balón|balón de voleibol|pelota|voleibol
🏈;balón de fútbol americano;balón|balón de fútbol americano|fútbol americano|pelota
