# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
🐵;猴头;猴|猴头
🐒;猴子;猴|猴子
🦍;大猩猩;大猩猩
🦧;红毛猩猩;猩猩|猴|猿|红毛猩猩
🐶;狗脸;宠物|狗|狗脸|脸
🐕;狗;宠物|狗
🦮;导盲犬;导盲犬|指引|无障碍|盲
🐕‍🦺;服务犬;工作犬|无障碍|服务犬|犬|狗|辅助
🐩;贵宾犬;卷毛狗|狗|贵宾犬
🐺;狼;头|狼|脸
🦊;狐狸;头|狐狸|脸
🦝;浣熊;好奇|浣熊|淘气
🐱;猫脸;宠物|猫|猫脸|脸
🐈;猫;宠物|猫
🐈‍⬛;黑猫;不吉利|猫|黑猫|黑色
🦁;狮子;狮子|狮子座|脸|黄道十二宫
🐯;老虎头;老虎|老虎头|脸
🐅;老虎;老虎|虎
🐆;豹子;猎豹|豹|豹子
🐴;马头;马|马头
🫎;驼鹿;动物|哺乳动物|驼鹿|鹿角|麋鹿
🫏;驴;倔强|动物|哺乳动物|犟|驴|驴子|骡
🐎;马;比赛|赛马|马|骑马
🦄;独角兽;头|独角兽|脸
🦓;斑马;斑马|条纹
🦌;鹿;鹿
🦬;大野牛;大野牛|欧洲野牛|水牛|畜群
🐮;奶牛头;奶牛|奶牛头|脸
🐂;公牛;公牛|牛|金牛座|黄道十二宫
🐃;水牛;水牛
🐄;奶牛;奶牛|牛
🐷;猪头;猪|猪头|脸
🐖;猪;猪
🐗;野猪;猪|野猪
🐽;猪鼻子;猪|猪鼻子|脸|鼻子
🐏;公羊;公羊|白羊座|羊|雄性|黄道十二宫
🐑;母羊;母羊|羊|雌性
🐐;山羊;山羊|摩羯座|黄道十二宫
🐪;骆驼;单峰|骆驼
🐫;双峰骆驼;双峰|双峰骆驼|骆驼
🦙;美洲鸵;原驼|小羊驼|羊毛|羊驼|美洲鸵
🦒;长颈鹿;斑点|长颈鹿
🐘;大象;大象|象
🦣;猛犸;大型|有绒毛的|灭绝|猛犸|长牙
🦏;犀牛;犀牛
🦛;河马;河马
🐭;老鼠头;老鼠头|鼠
🐁;老鼠;老鼠|耗子|鼠
🐀;耗子;耗子|鼠
🐹;仓鼠;仓鼠|啮齿|头|脸
🐰;兔子头;兔|兔子头
🐇;兔子;兔|兔子
🐿️;松鼠;松鼠|花栗鼠
🦫;海狸;母畜|海狸
🦔;刺猬;刺猬
🦇;蝙蝠;吸血鬼|蝙蝠
🐻;熊;头|熊|脸
🐻‍❄️;北极熊;北极|北极熊|熊|白色
🐨;考拉;有袋类动物|考拉
🐼;熊猫;头|熊猫|胖达|脸
🦥;树懒;慢|懒|树懒|爬树|迟缓
🦦;水獭;动物|捕鱼|水獭|獭|鼬
🦨;臭鼬;熏|臭|臭鼬|鼬
🦘;袋鼠;小袋鼠|有袋类动物|袋鼠|跳
🦡;獾;獾|纠缠|蜜獾
🐾;爪印;爪印|爪子|足迹
🦃;火鸡;火鸡
🐔;鸡;鸡
🐓;公鸡;公鸡|鸡
🐣;小鸡破壳;小鸡|小鸡破壳|破壳
🐤;小鸡;小鸡|鸡
🐥;正面朝向的小鸡;小鸡|正面朝向的小鸡
🐦;鸟;鸟
🐧;企鹅;企鹅
🕊️;鸽;和平象征|飞翔|鸟|鸽|鸽子
🦅;鹰;老鹰|鸟|鹰
🦆;鸭子;鸟|鸭|鸭子
🦢;天鹅;丑小鸭|天鹅|小天鹅|鸟
🦉;猫头鹰;猫头鹰|睿智|鸟
🦤;渡渡鸟;毛里求斯|渡渡鸟|灭绝
🪶;羽毛;羽毛|轻|飞|鸟
🦩;火烈鸟;火烈鸟|热带|艳丽
🦚;孔雀;孔雀|招摇|雌孔雀|骄傲|鸟
🦜;鹦鹉;剽窃|模仿|说话|鸟|鹦鹉
🪽;翅膀;天使|神话|翅膀|飞翔|飞行|鸟
🐦‍⬛;黑色的鸟;乌鸦|秃鼻乌鸦|老鸦|鸟|黑色|黑色的鸟
🪿;鹅;傻|家禽|鸟|鸣叫|鹅
🐦‍🔥;凤凰;凤凰|幻兽|幻想|火鸟|灵魂转世|重生
🐸;青蛙;头|脸|青蛙
🐊;鳄鱼;鳄鱼
🐢;龟;乌龟|海龟|龟
🦎;蜥蜴;爬行动物|蜥蜴
🐍;蛇;持票人|狡猾的人|蛇|蛇夫座|黄道十二宫
🐲;龙头;龙|龙头
🐉;龙;龙
🦕;蜥蜴类;梁龙|腕龙|蜥蜴类|雷龙
🦖;霸王龙;暴龙君主|霸王龙
🐳;喷水的鲸;喷水|喷水的鲸|鲸
🐋;鲸鱼;鲸鱼
🐬;海豚;海豚|鸭脚板
🦭;海豹;海狮|海豹
🐟;鱼;双鱼座|鱼|黄道十二宫
🐠;热带鱼;热带|热带鱼|鱼
🐡;河豚;河豚|鱼
🦈;鲨鱼;鱼|鲨|鲨鱼
🐙;章鱼;八爪|章鱼|鱼
🐚;海螺;海螺|螺
🪸;珊瑚;海洋|珊瑚|礁
🪼;水母;发光|哎哟|无脊椎动物|有刺动物|水母|海洋|海蜇
🐌;蜗牛;蜗牛
🦋;蝴蝶;昆虫|漂亮|美丽|蝴蝶
🐛;毛毛虫;毛毛虫|毛虫
🐜;蚂蚁;蚂蚁
🐝;蜜蜂;勤劳|蜜蜂
🪲;甲虫;昆虫|甲虫
🐞;瓢虫;昆虫|母|瓢虫
🦗;蟋蟀;蛐蛐|蟋蟀
🪳;蟑螂;害虫|昆虫|蟑螂
🕷️;蜘蛛;蜘蛛
🕸️;蜘蛛网;蛛网|蜘蛛网
🦂;蝎子;天蝎宫|天蝎座|蝎子|黄道十二宫
🦟;蚊子;发热|昆虫|疟疾|疾病|病毒|蚊子
🪰;苍蝇;害虫|疾病|腐烂|苍蝇|蛆
🪱;蠕虫;寄生虫|环节动物|蚯蚓|蠕虫
🦠;细菌;变形虫|病毒|细菌
💐;花束;花束|鲜花
🌸;樱花;樱花|花
💮;白花;白花|花
🪷;莲花;佛教|印度教|纯洁|花|莲花
🏵️;圆形花饰;圆形花饰|花
🌹;玫瑰;玫瑰|花
🥀;枯萎的花;枯萎的花|花
🌺;芙蓉;木槿|芙蓉|花
🌻;向日葵;向日葵|太阳花|花
🌼;开花;开花|花
🌷;郁金香;花|郁金香
🪻;风信子;羽扇豆|花|蓝帽花|薰衣草|金鱼草|风信子
🌱;幼苗;发芽|幼苗|芽|苗
🪴;盆栽植物;培育|房子|枯燥|植物|生长|盆栽植物
🌲;松树;常青树|松树|树
🌳;落叶树;树|落叶|落叶树|落叶植物
🌴;棕榈树;棕榈树
🌵;仙人掌;仙人掌|沙漠
🌾;稻子;稻|稻子|米|粮食
🌿;药草;草药|药草|香草
☘️;三叶草;三叶草|苜蓿|酢浆草
🍀;四叶草;四叶草|幸运
🍁;枫叶;加拿大|枫叶|秋
🍂;落叶;叶|秋|落叶
🍃;风吹叶落;叶子|树叶|随风飘舞|风吹叶落
🪹;空巢;空巢|筑巢
🪺;有蛋的巢;有蛋的巢|筑巢
🍄;蘑菇;蘑菇

[food_drink]
🍇;葡萄;水果|葡萄
🍈;甜瓜;水果|甜瓜|蜜瓜|香瓜
🍉;西瓜;水果|西瓜
🍊;橘子;柑桔|桔子|橘子|水果
🍋;柠檬;柠檬|水果
🍋‍🟩;青柠;柑橘属|橘属|热带|酸橙|青柠
🍌;香蕉;水果|香蕉
🍍;菠萝;水果|菠萝
🥭;芒果;水果|热带|芒果
🍎;红苹果;水果|红|红苹果|苹果
🍏;青苹果;水果|苹果|青|青苹果
🍐;梨;梨|水果
🍑;桃;桃|水果
🍒;樱桃;樱桃|水果
🍓;草莓;水果|草莓
🫐;蓝莓;蓝莓|越桔
🥝;猕猴桃;奇异果|水果|猕猴桃|食物
🍅;西红柿;番茄|蔬菜|西红柿
🫒;橄榄;橄榄|食物
🥥;椰子;棕榈|椰子
🥑;鳄梨;水果|牛油果|食物|鳄梨
🍆;茄子;茄子|蔬菜
🥔;土豆;土豆|蔬菜|食物|马铃薯
🥕;胡萝卜;胡萝卜|蔬菜|食物
🌽;玉米;玉米|苞米
🌶️;红辣椒;红辣椒|辣椒
🫑;灯笼椒;灯笼椒|蔬菜|辣椒
🥒;黄瓜;泡菜|蔬菜|食物|黄瓜
🥬;绿叶蔬菜;圆白菜|小白菜|甘蓝|绿叶蔬菜|莴苣
🥦;西兰花;甘蓝|西兰花
🧄;蒜;佐料|大蒜|蒜|蒜头|调味
🧅;洋葱;佐料|洋葱|调味
🥜;花生;坚果|花生|蔬菜|食物
🫘;豆;肾|豆|豆类|食物
🌰;栗子;栗子
🫚;姜;啤酒|姜|根|根茎|香料
🫛;豌豆荚;毛豆|荚|蔬菜|豆|豆荚|豌豆|豌豆荚
🍄‍🟫;褐色蘑菇;棕色|植物|自然|菌类|褐色|褐色蘑菇|褐菇|食物
🍞;面包;面包
🥐;羊角面包;新月形面包|法式|羊角面包|面包|食物
🥖;法式长棍面包;法式|法式长棍面包|面包|食物
🫓;扁面包;圆盘状烤饼|扁面包|玉米饼|皮塔饼|薄脆饼
🥨;椒盐卷饼;扭曲食品|椒盐卷饼
🥯;面包圈;奶酪酱|烘烤食品|面包圈
🥞;烙饼;烙饼|煎饼|食物
🧇;华夫饼;华夫饼|格子饼|点心|烤|窝夫饼
🧀;芝士;奶酪|芝士|起司
🍖;排骨;排骨|肉|骨
🍗;家禽的腿;家禽|家禽的腿|鸡肉|鸡腿
🥩;肉块;排骨|牛排|猪排|羊排|肉块
🥓;培根;培根|熏肉|肉|食物
🍔;汉堡;汉堡|汉堡包
🍟;薯条;油炸|薯条
🍕;披萨;披萨
🌭;热狗;热狗
🥪;三明治;三明治|面包
🌮;墨西哥卷饼;卷饼|墨西哥|墨西哥卷饼
🌯;墨西哥玉米煎饼;卷饼|玉米煎饼|墨西哥|墨西哥玉米煎饼
🫔;墨西哥粽子;粽子|墨西哥|墨西哥粽子
🥙;夹心饼;夹心|夹心饼|沙拉三明治|肉夹馍|食物
🧆;炸豆丸子;中东蔬菜球|油炸鹰嘴豆饼|炸豆丸子|肉丸|鹰嘴豆
🥚;蛋;蛋|食物
🍳;煎蛋;平底锅|煎|煎蛋|蛋
🥘;装有食物的浅底锅;浅底|煎锅|装有食物的浅底锅|食物
🍲;一锅食物;一锅食物|食物
🫕;奶酪火锅;奶酪|奶酪火锅|巧克力|瑞士|融化|锅
🥣;碗勺;早餐|碗勺|粥|谷物
🥗;绿色沙拉;沙拉|绿色沙拉|食物
🍿;爆米花;爆米花
🧈;黄油;乳制品|牛奶|黄油
🧂;盐;佐料瓶|盐|调味品
🥫;罐头食品;罐头|罐头食品
🍱;盒饭;便当|盒饭
🍘;米饼;米果|米饼
🍙;饭团;日本|饭团
🍚;米饭;米|米饭|饭
🍛;咖喱饭;咖喱|咖喱饭|饭
🍜;面条;拉面|热气腾腾|碗|面条
🍝;意粉;意大利面|意粉|意面
🍠;烤红薯;地瓜|烤地瓜|烤红薯|红薯
🍢;关东煮;串|关东煮|海鲜
🍣;寿司;寿司
🍤;天妇罗;天妇罗|炸虾
🍥;鱼板;鱼板
🥮;月饼;月饼|秋天|节日
🍡;团子;串|团子|日本|甜点
🥟;饺子;水饺|煎饺|饺子
🥠;幸运饼干;幸运饼干|预言
🥡;外卖盒;外卖包装|外卖桶|外卖盒|牡蛎桶
🦀;蟹;巨蟹座|螃蟹|蟹|黄道十二宫
🦞;龙虾;浓汤|海鲜|钳|龙虾
🦐;虾;甲壳|虾|食物
🦑;乌贼;乌贼|软体动物|食物|鱿鱼|墨鱼
🦪;牡蛎;海鲜|牡蛎|珍珠|生蚝
🍦;圆筒冰激凌;圆筒冰淇淋|圆筒冰激凌
🍧;刨冰;冰|冰沙|刨冰|甜点
🍨;冰淇淋;冰|冰淇淋|冰激凌|甜点
🍩;甜甜圈;甜点|甜甜圈
🍪;饼干;曲奇|饼干
🎂;生日蛋糕;庆祝|生日|生日蛋糕|蛋糕
🍰;水果蛋糕;水果蛋糕|甜点|蛋糕
🧁;纸杯蛋糕;烘焙食品|甜点|纸杯蛋糕
🥧;派;油酥点心|派|糕点
🍫;巧克力;巧克力|甜品|甜点
🍬;糖;糖|糖果
🍭;棒棒糖;棒棒糖|糖
🍮;奶黄;奶黄|蛋奶冻|蛋奶沙司
🍯;蜂蜜;蜂蜜|蜜罐
🍼;奶瓶;奶|奶瓶|婴儿
🥛;一杯奶;一杯奶|奶|杯
☕;热饮;咖啡|热饮|茶|饮料
🫖;茶壶;壶|茶|茶壶
🍵;热茶;杯|没有把手的茶杯|热茶|茶|饮料
🍶;清酒;清酒|瓶|酒杯|饮料
🍾;开香槟;庆祝|开香槟|木塞|瓶子|香槟
🍷;葡萄酒;葡萄酒|酒|酒杯
🍸;鸡尾酒;杯|酒|鸡尾酒
🍹;热带水果饮料;热带水果饮料|饮料
🍺;啤酒;啤酒|杯|酒
🍻;干杯;啤酒|干杯|碰杯|酒
🥂;碰杯;喝|庆祝|杯|碰杯
🥃;平底杯;威士忌|平底杯|杯|酒
🫗;倾倒液体;倾倒液体|流出|玻璃杯|空|饮料
🥤;带吸管杯;带吸管杯|果汁|苏打
🧋;珍珠奶茶;泡泡|牛奶|珍珠|珍珠奶茶|茶
🧃;饮料盒;吸管|果汁盒|盒装|饮料盒
🧉;马黛茶;茶|饮料|马黛茶
🧊;冰块;冰块|冰山|冷却|冷饮
🥢;筷子;筷子|箸
🍽️;餐具;刀|叉|盘|餐具
🍴;刀叉;刀|刀叉|叉|餐具
🥄;匙;匙|匙子|汤匙|调羹|餐具
🔪;菜刀;刀|武器|烹饪|菜刀
🫙;罐;容器|空|罐|调味品|贮藏|酱
🏺;双耳瓶;双耳瓶|壶|罐

[travel_places]
🌍;地球上的欧洲非洲;世界|地球|地球上的欧洲非洲|欧洲|非洲
🌎;地球上的美洲;世界|地球|地球上的美洲|美洲
🌏;地球上的亚洲澳洲;世界|亚洲|地球|地球上的亚洲澳洲|澳洲
🌐;带经纬线的地球;世界|地球|子午线|带经纬线的地球|经纬
🗺️;世界地图;世界|世界地图|地图
🗾;日本地图;地图|日本|日本地图
🧭;指南针;定向|导航|指南针|磁性
🏔️;雪山;冷|山|雪|雪山
⛰️;山;山
🌋;火山;喷发|山|火山|爆发
🗻;富士山;富士山|山
🏕️;露营;帐篷|露营
🏖️;沙滩伞;伞|沙滩|沙滩伞
🏜️;沙漠;沙漠|荒漠
🏝️;无人荒岛;无人荒岛|荒岛
🏞️;国家公园;公园|国家公园|自然|风景
🏟️;体育馆;体育馆
🏛️;古典建筑;古典|古典建筑|古建筑
🏗️;施工;施工
🧱;砖;墙|砂浆|砖|黏土
🪨;岩石;固体|岩石|巨石|石头
🪵;木头;原木|木头|木材
🛖;小屋;圆屋|小屋|蒙古包
🏘️;房屋建筑;住宅|房|房屋建筑
🏚️;废墟;废墟|荒宅|荒废|鬼屋
🏠;房子;家|房子
🏡;别墅;别墅|家|房子|花园
🏢;办公楼;写字楼|办公楼
🏣;日本邮局;日本|日本邮局|邮局
🏤;邮局;欧洲|邮局
🏥;医院;医生|医院|看病
🏦;银行;银行
🏨;酒店;旅馆|酒店
🏩;情人酒店;情人旅馆|情人酒店|情侣酒店
🏪;便利店;便利店|商店
🏫;学校;学校|教学楼
🏬;商场;商场|百货商店
🏭;工厂;工厂|建筑
🏯;日本城堡;城堡|日本|日本城堡
🏰;欧洲城堡;城堡|欧洲|欧洲城堡
💒;婚礼;婚礼|教堂|浪漫|结婚
🗼;东京塔;东京|东京塔|塔
🗽;自由女神像;自由|自由女神像|雕塑
⛪;教堂;基督|宗教|教堂
🕌;清真寺;伊斯兰|宗教|清真寺|穆斯林
🛕;印度寺庙;佛寺|佛教|印度寺庙|寺庙|寺院|庙宇
🕍;犹太教堂;会堂|宗教|犹太|犹太教堂
⛩️;神社;宗教|日本|神社|神道教
🕋;克尔白;伊斯兰|克尔白|天房|宗教|穆斯林
⛲;喷泉;喷泉
⛺;帐篷;帐篷|露营
🌁;有雾;有雾|雾|霾
🌃;夜晚;夜晚|星空|晚上
🏙️;城市风光;城市风光|都市|都市景观|高楼大厦
🌄;山顶日出;太阳|山|山顶日出|日出|清晨
🌅;日出;太阳|日出|清晨
🌆;城市黄昏;城市黄昏|夜晚|日落|都市|黄昏
🌇;日落;夕阳|日落
🌉;夜幕下的桥;夜幕下的桥|晚上|桥
♨️;温泉;水|泉|温泉|热气腾腾
🎠;旋转木马;旋转木马|木马|游乐园
🛝;游乐场滑梯;游乐园|游乐场滑梯|玩耍
🎡;摩天轮;摩天轮|游乐园
🎢;过山车;游乐园|过山车
💈;理发店;旋转|柱|理发|理发店
🎪;马戏团帐篷;帐篷|马戏团|马戏团帐篷
🚂;蒸汽火车;火车|蒸汽|蒸汽火车
🚃;轨道车;电车|轨道车
🚄;高速列车;动车|新干线|火车|高速列车|高铁
🚅;子弹头高速列车;动车|子弹头高速列车|新干线|火车|高速|高铁
🚆;火车;火车|铁路
🚇;地铁;地铁
🚈;轻轨;火车|轻轨
🚉;车站;火车|车站|铁路
🚊;路面电车;电车|路面电车
🚝;单轨;单轨|火车
🚞;山区铁路;山区|山区铁路|火车|铁路
🚋;有轨电车;有轨电车
🚌;公交车;公交车|公共汽车|大巴
🚍;迎面驶来的公交车;公共汽车|大巴|迎面驶来|迎面驶来的公交车
🚎;无轨电车;无轨电车|电车
🚐;小巴;公共汽车|小巴
🚑;救护车;急救|救护车
🚒;消防车;救火车|消防车
🚓;警车;警察|警车|巡逻
🚔;迎面驶来的警车;警察|警车|迎面驶来的警车
🚕;出租车;出租车|的士
🚖;迎面驶来的出租车;出租车|的士|迎面驶来的出租车
🚗;汽车;汽车|轿车
🚘;迎面驶来的汽车;轿车|迎面驶来的汽车
🚙;运动型多用途车;SUV|休闲车|运动型多用途车
🛻;敞蓬小型载货卡车;卡车|敞蓬小型载货卡车|载货
🚚;货车;卡车|货车
🚛;铰接式货车;卡车|拖车|铰接式货车
🚜;拖拉机;拖拉机
🏎️;赛车;赛车|跑车
🏍️;摩托车;摩托|摩托车
🛵;小型摩托车;小型摩托车
🦽;手动轮椅;手动轮椅|无障碍|轮椅
🦼;电动轮椅;无障碍|电动轮椅|轮椅
🛺;三轮摩托车;三脚鸡|三蹦子|三轮摩托车|嘟嘟车|自动人力车
🚲;自行车;单车|脚踏车|自行车
🛴;滑板车;滑板车
🛹;滑板;板|滑板
🛼;四轮滑冰鞋;四轮滑冰鞋|滑冰|轮式
🚏;公交车站;公交站|公交车站|公共汽车站
🛣️;高速公路;公路|高速公路
🛤️;铁轨;火车|铁路|铁轨
🛢️;石油桶;桶|石油桶
⛽;油泵;加油站|柴油|油泵|燃油
🛞;车轮;圆圈|车轮|转动|轮胎
🚨;警车灯;灯|警报|警灯|警示|警车灯
🚥;横向的红绿灯;交通灯|信号灯|横向的红绿灯|红绿灯
🚦;纵向的红绿灯;交通灯|信号灯|红绿灯|纵向的红绿灯
🛑;停止标志;停止标志|八边形|标志
🚧;路障;施工|路障
⚓;锚;停泊|船|锚
🛟;救生圈;安全|救援|救生圈|救生用具|漂浮
⛵;帆船;帆船|船
🛶;独木舟;独木舟
🚤;快艇;快艇|船
🛳️;客轮;客船|客轮
⛴️;渡轮;渡船|渡轮|轮船
🛥️;摩托艇;摩托艇|船
🚢;船;船
✈️;飞机;飞机
🛩️;小型飞机;小型飞机|飞机
🛫;航班起飞;值机|登机|航班起飞|起飞
🛬;航班降落;到达|航班降落|降落
🪂;降落伞;帆伞|悬挂滑翔|滑翔|滑翔伞|跳伞|降落伞
💺;座位;座位|椅子
🚁;直升机;直升机|直升飞机
🚟;空轨;悬挂|空中轨道列车|空轨
🚠;缆车;空中|索道|缆车
🚡;索道;空中|索道|缆车
🛰️;卫星;卫星|太空
🚀;火箭;太空|火箭
🛸;飞碟;UFO|不明飞行物|飞碟
🛎️;服务铃;服务铃|酒店|铃
🧳;行李箱;包装|旅行|行李箱
⌛;沙漏;沙漏|计时器
⏳;沙正往下流的沙漏;沙正往下流的沙漏|计时器
⌚;手表;手表|表
⏰;闹钟;钟|闹钟
⏱️;秒表;码表|秒表|计时器
⏲️;定时器;定时器|计时器
🕰️;座钟;台钟|壁炉钟|座钟
🕛;十二点;12:00|十二点
🕧;十二点半;12:30|十二点半
🕐;一点;1:00|一点
🕜;一点半;1:30|一点半
🕑;两点;2:00|两点
🕝;两点半;2:30|两点半
🕒;三点;3:00|三点
🕞;三点半;3:30|三点半
🕓;四点;4:00|四点
🕟;四点半;4:30|四点半
🕔;五点;5:00|五点
🕠;五点半;5:30|五点半
🕕;六点;6:00|六点
🕡;六点半;6:30|六点半
🕖;七点;7:00|七点
🕢;七点半;7:30|七点半
🕗;八点;8:00|八点
🕣;八点半;8:30|八点半
🕘;九点;9:00|九点
🕤;九点半;9:30|九点半
🕙;十点;10:00|十点
🕥;十点半;10:30|十点半
🕚;十一点;11:00|十一点
🕦;十一点半;11:30|十一点半
🌑;朔月;新月|月亮|朔月
🌒;娥眉月;三日月|娥眉月|弯月|月亮|眉月
🌓;上弦月;上弦月|月亮
🌔;盈凸月;月亮|盈凸月
🌕;满月;月亮|望月|满月
🌖;亏凸月;亏凸月|月亮
🌗;下弦月;下弦月|月亮
🌘;残月;亏眉月|弯月|月亮|残月
🌙;弯月;娥眉月|弯月|月亮
🌚;微笑的朔月;微笑的朔月|月亮|朔月
🌛;微笑的上弦月;微笑的上弦月|月亮|蛾眉月
🌜;微笑的下弦月;微笑的下弦月|月亮|残月
🌡️;温度计;天气|气温|温度计
☀️;太阳;太阳|晴|晴天
🌝;微笑的月亮;微笑的月亮|月亮|望月|满月
🌞;微笑的太阳;太阳|微笑的太阳
🪐;有环行星;土星|有环行星
⭐;星星;五角星|星星
🌟;闪亮的星星;发光|星星|闪亮的星星
🌠;流星;流星
🌌;银河;星空|银河
☁️;云;云|阴
⛅;阴;乌云蔽日|多云|阴
⛈️;雷阵雨;阵雨|雨|雷阵雨
🌤️;晴偶有云;云|太阳|少云|晴偶有云
🌥️;多云;云|多云|太阳
🌦️;晴转雨;云|太阳|晴转雨|雨
🌧️;下雨;下雨|云|雨
🌨️;下雪;下雪|云|雪
🌩️;打雷;云|打雷|闪电|雷
🌪️;龙卷风;云|旋风|龙卷风
