[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
◼️;중간 검은색 사각형;무늬|사각형|중간 검은색 사각형
◻️;중간 흰색 사각형;무늬|사각형|중간 흰색 사각형
◾;중각 작은 검은색 사각형;무늬|사각형|중각 작은 검은색 사각형
◽;중간 작은 흰색 사각형;무늬|사각형|중간 작은 흰색 사각형
▪️;작은 검은색 사각형;무늬|사각형|작은 검은색 사각형
▫️;작은 흰색 사각형;무늬|사각형|작은 흰색 사각형
🔶;큰 주황색 마름모;마름모|오렌지색|주황색|큰 주황색 마름모
🔷;큰 파란색 마름모;마름모|큰 파란색 마름모|파란색|파랑
🔸;작은 주황색 마름모;마름모|오렌지색|작은 주황색 마름모|주황색
🔹;작은 파란색 마름모;마름모|작은 파란색 마름모|파란색|파랑
🔺;빨간색 위쪽 삼각형;빨간색|빨간색 위쪽 삼각형|빨강|삼각형|위쪽 빨간색 삼각형
🔻;빨간색 아래쪽 삼각형;빨간색|빨간색 아래쪽 삼각형|빨강|삼각형|아래쪽 빨간색 삼각형
💠;점이 찍힌 다이아몬드 모양;다이아몬드 모양|마름모꼴|점이 찍힌 다이아몬드 모양
🔘;라디오 버튼;라디오|버튼
🔳;테두리가 하얀 사각 버튼;버튼|사각형|테두리가 하얀 사각 버튼
🔲;테두리가 검은 사각 버튼;버튼|사각형|테두리가 검은 사각 버튼

[flags]
🏁;격자 무늬 깃발;격자 무늬|격자 무늬 깃발|결승선 깃발|레이싱|스포츠
🚩;세모 깃발;깃발|세모 깃발|위치 표시|위치 표시 깃발
🎌;엇갈린 일본 국기;국가 행사|국기|엇갈린 일본 국기
🏴;펄럭이는 검은색 깃발;깃발|펄럭이는 검은색 깃발|플래그
🏳️;펄럭이는 흰색 깃발;깃발|펄럭이는 흰색 깃발|플래그|항복
🏳️‍🌈;무지개 깃발;깃발|무지개
🏳️‍⚧️;트랜스젠더 깃발;깃발|분홍색|트랜스젠더|하늘색|하얀색
🏴‍☠️;해적 깃발;보물섬|약탈자|해골 깃발|해적|해적 깃발
🇦🇨;깃발: 어센션섬;깃발|깃발: 어센션섬
🇦🇩;깃발: 안도라;깃발|깃발: 안도라
🇦🇪;깃발: 아랍에미리트;깃발|깃발: 아랍에미리트
🇦🇫;깃발: 아프가니스탄;깃발|깃발: 아프가니스탄
🇦🇬;깃발: 앤티가 바부다;깃발|깃발: 앤티가 바부다
🇦🇮;깃발: 앵귈라;깃발|깃발: 앵귈라
🇦🇱;깃발: 알바니아;깃발|깃발: 알바니아
🇦🇲;깃발: 아르메니아;깃발|깃발: 아르메니아
🇦🇴;깃발: 앙골라;깃발|깃발: 앙골라
🇦🇶;깃발: 남극 대륙;깃발|깃발: 남극 대륙
🇦🇷;깃발: 아르헨티나;깃발|깃발: 아르헨티나
🇦🇸;깃발: 아메리칸 사모아;깃발|깃발: 아메리칸 사모아
🇦🇹;깃발: 오스트리아;깃발|깃발: 오스트리아
🇦🇺;깃발: 오스트레일리아;깃발|깃발: 오스트레일리아
🇦🇼;깃발: 아루바;깃발|깃발: 아루바
🇦🇽;깃발: 올란드 제도;깃발|깃발: 올란드 제도
🇦🇿;깃발: 아제르바이잔;깃발|깃발: 아제르바이잔
🇧🇦;깃발: 보스니아 헤르체고비나;깃발|깃발: 보스니아 헤르체고비나
🇧🇧;깃발: 바베이도스;깃발|깃발: 바베이도스
🇧🇩;깃발: 방글라데시;깃발|깃발: 방글라데시
🇧🇪;깃발: 벨기에;깃발|깃발: 벨기에
🇧🇫;깃발: 부르키나파소;깃발|깃발: 부르키나파소
🇧🇬;깃발: 불가리아;깃발|깃발: 불가리아
🇧🇭;깃발: 바레인;깃발|깃발: 바레인
🇧🇮;깃발: 부룬디;깃발|깃발: 부룬디
🇧🇯;깃발: 베냉;깃발|깃발: 베냉
🇧🇱;깃발: 생바르텔레미;깃발|깃발: 생바르텔레미
🇧🇲;깃발: 버뮤다;깃발|깃발: 버뮤다
🇧🇳;깃발: 브루나이;깃발|깃발: 브루나이
🇧🇴;깃발: 볼리비아;깃발|깃발: 볼리비아
🇧🇶;깃발: 네덜란드령 카리브;깃발|깃발: 네덜란드령 카리브
🇧🇷;깃발: 브라질;깃발|깃발: 브라질
🇧🇸;깃발: 바하마;깃발|깃발: 바하마
🇧🇹;깃발: 부탄;깃발|깃발: 부탄
🇧🇻;깃발: 부베섬;깃발|깃발: 부베섬
🇧🇼;깃발: 보츠와나;깃발|깃발: 보츠와나
🇧🇾;깃발: 벨라루스;깃발|깃발: 벨라루스
🇧🇿;깃발: 벨리즈;깃발|깃발: 벨리즈
🇨🇦;깃발: 캐나다;깃발|깃발: 캐나다
🇨🇨;깃발: 코코스 제도;깃발|깃발: 코코스 제도
🇨🇩;깃발: 콩고-킨샤사;깃발|깃발: 콩고-킨샤사
🇨🇫;깃발: 중앙 아프리카 공화국;깃발|깃발: 중앙 아프리카 공화국
🇨🇬;깃발: 콩고-브라자빌;깃발|깃발: 콩고-브라자빌
🇨🇭;깃발: 스위스;깃발|깃발: 스위스
🇨🇮;깃발: 코트디부아르;깃발|깃발: 코트디부아르
🇨🇰;깃발: 쿡 제도;깃발|깃발: 쿡 제도
🇨🇱;깃발: 칠레;깃발|깃발: 칠레
🇨🇲;깃발: 카메룬;깃발|깃발: 카메룬
🇨🇳;깃발: 중국;깃발|깃발: 중국
🇨🇴;깃발: 콜롬비아;깃발|깃발: 콜롬비아
🇨🇵;깃발: 클리퍼턴섬;깃발|깃발: 클리퍼턴섬
🇨🇷;깃발: 코스타리카;깃발|깃발: 코스타리카
🇨🇺;깃발: 쿠바;깃발|깃발: 쿠바
🇨🇻;깃발: 카보베르데;깃발|깃발: 카보베르데
🇨🇼;깃발: 퀴라소;깃발|깃발: 퀴라소
🇨🇽;깃발: 크리스마스섬;깃발|깃발: 크리스마스섬
🇨🇾;깃발: 키프로스;깃발|깃발: 키프로스
🇨🇿;깃발: 체코;깃발|깃발: 체코
🇩🇪;깃발: 독일;깃발|깃발: 독일
🇩🇬;깃발: 디에고 가르시아;깃발|깃발: 디에고 가르시아
🇩🇯;깃발: 지부티;깃발|깃발: 지부티
🇩🇰;깃발: 덴마크;깃발|깃발: 덴마크
🇩🇲;깃발: 도미니카;깃발|깃발: 도미니카
🇩🇴;깃발: 도미니카 공화국;깃발|깃발: 도미니카 공화국
🇩🇿;깃발: 알제리;깃발|깃발: 알제리
🇪🇦;깃발: 세우타 및 멜리야;깃발|깃발: 세우타 및 멜리야
🇪🇨;깃발: 에콰도르;깃발|깃발: 에콰도르
🇪🇪;깃발: 에스토니아;깃발|깃발: 에스토니아
🇪🇬;깃발: 이집트;깃발|깃발: 이집트
🇪🇭;깃발: 서사하라;깃발|깃발: 서사하라
🇪🇷;깃발: 에리트리아;깃발|깃발: 에리트리아
🇪🇸;깃발: 스페인;깃발|깃발: 스페인
🇪🇹;깃발: 에티오피아;깃발|깃발: 에티오피아
🇪🇺;깃발: 유럽 연합;깃발|깃발: 유럽 연합
🇫🇮;깃발: 핀란드;깃발|깃발: 핀란드
🇫🇯;깃발: 피지;깃발|깃발: 피지
🇫🇰;깃발: 포클랜드 제도;깃발|깃발: 포클랜드 제도
🇫🇲;깃발: 미크로네시아;깃발|깃발: 미크로네시아
🇫🇴;깃발: 페로 제도;깃발|깃발: 페로 제도
🇫🇷;깃발: 프랑스;깃발|깃발: 프랑스
🇬🇦;깃발: 가봉;깃발|깃발: 가봉
🇬🇧;깃발: 영국;깃발|깃발: 영국
🇬🇩;깃발: 그레나다;깃발|깃발: 그레나다
🇬🇪;깃발: 조지아;깃발|깃발: 조지아
🇬🇫;깃발: 프랑스령 기아나;깃발|깃발: 프랑스령 기아나
🇬🇬;깃발: 건지;깃발|깃발: 건지
🇬🇭;깃발: 가나;깃발|깃발: 가나
🇬🇮;깃발: 지브롤터;깃발|깃발: 지브롤터
🇬🇱;깃발: 그린란드;깃발|깃발: 그린란드
🇬🇲;깃발: 감비아;깃발|깃발: 감비아
🇬🇳;깃발: 기니;깃발|깃발: 기니
🇬🇵;깃발: 과들루프;깃발|깃발: 과들루프
🇬🇶;깃발: 적도 기니;깃발|깃발: 적도 기니
🇬🇷;깃발: 그리스;깃발|깃발: 그리스
🇬🇸;깃발: 사우스조지아 사우스샌드위치 제도;깃발|깃발: 사우스조지아 사우스샌드위치 제도
🇬🇹;깃발: 과테말라;깃발|깃발: 과테말라
🇬🇺;깃발: 괌;깃발|깃발: 괌
🇬🇼;깃발: 기니비사우;깃발|깃발: 기니비사우
🇬🇾;깃발: 가이아나;깃발|깃발: 가이아나
🇭🇰;깃발: 홍콩(중국 특별행정구);깃발|깃발: 홍콩(중국 특별행정구)
🇭🇲;깃발: 허드 맥도널드 제도;깃발|깃발: 허드 맥도널드 제도
🇭🇳;깃발: 온두라스;깃발|깃발: 온두라스
🇭🇷;깃발: 크로아티아;깃발|깃발: 크로아티아
🇭🇹;깃발: 아이티;깃발|깃발: 아이티
🇭🇺;깃발: 헝가리;깃발|깃발: 헝가리
🇮🇨;깃발: 카나리아 제도;깃발|깃발: 카나리아 제도
🇮🇩;깃발: 인도네시아;깃발|깃발: 인도네시아
🇮🇪;깃발: 아일랜드;깃발|깃발: 아일랜드
🇮🇱;깃발: 이스라엘;깃발|깃발: 이스라엘
🇮🇲;깃발: 맨섬;깃발|깃발: 맨섬
🇮🇳;깃발: 인도;깃발|깃발: 인도
🇮🇴;깃발: 영국령 인도양 지역;깃발|깃발: 영국령 인도양 지역
🇮🇶;깃발: 이라크;깃발|깃발: 이라크
🇮🇷;깃발: 이란;깃발|깃발: 이란
🇮🇸;깃발: 아이슬란드;깃발|깃발: 아이슬란드
🇮🇹;깃발: 이탈리아;깃발|깃발: 이탈리아
🇯🇪;깃발: 저지;깃발|깃발: 저지
🇯🇲;깃발: 자메이카;깃발|깃발: 자메이카
🇯🇴;깃발: 요르단;깃발|깃발: 요르단
🇯🇵;깃발: 일본;깃발|깃발: 일본
🇰🇪;깃발: 케냐;깃발|깃발: 케냐
🇰🇬;깃발: 키르기스스탄;깃발|깃발: 키르기스스탄
🇰🇭;깃발: 캄보디아;깃발|깃발: 캄보디아
🇰🇮;깃발: 키리바시;깃발|깃발: 키리바시
🇰🇲;깃발: 코모로;깃발|깃발: 코모로
🇰🇳;깃발: 세인트키츠 네비스;깃발|깃발: 세인트키츠 네비스
🇰🇵;깃발: 북한;깃발|깃발: 북한
🇰🇷;깃발: 대한민국;깃발|깃발: 대한민국
🇰🇼;깃발: 쿠웨이트;깃발|깃발: 쿠웨이트
🇰🇾;깃발: 케이맨 제도;깃발|깃발: 케이맨 제도
🇰🇿;깃발: 카자흐스탄;깃발|깃발: 카자흐스탄
🇱🇦;깃발: 라오스;깃발|깃발: 라오스
🇱🇧;깃발: 레바논;깃발|깃발: 레바논
🇱🇨;깃발: 세인트루시아;깃발|깃발: 세인트루시아
🇱🇮;깃발: 리히텐슈타인;깃발|깃발: 리히텐슈타인
🇱🇰;깃발: 스리랑카;깃발|깃발: 스리랑카
🇱🇷;깃발: 라이베리아;깃발|깃발: 라이베리아
🇱🇸;깃발: 레소토;깃발|깃발: 레소토
🇱🇹;깃발: 리투아니아;깃발|깃발: 리투아니아
🇱🇺;깃발: 룩셈부르크;깃발|깃발: 룩셈부르크
🇱🇻;깃발: 라트비아;깃발|깃발: 라트비아
🇱🇾;깃발: 리비아;깃발|깃발: 리비아
🇲🇦;깃발: 모로코;깃발|깃발: 모로코
🇲🇨;깃발: 모나코;깃발|깃발: 모나코
🇲🇩;깃발: 몰도바;깃발|깃발: 몰도바
🇲🇪;깃발: 몬테네그로;깃발|깃발: 몬테네그로
🇲🇫;깃발: 생마르탱;깃발|깃발: 생마르탱
🇲🇬;깃발: 마다가스카르;깃발|깃발: 마다가스카르
🇲🇭;깃발: 마셜 제도;깃발|깃발: 마셜 제도
🇲🇰;깃발: 북마케도니아;깃발|깃발: 북마케도니아
🇲🇱;깃발: 말리;깃발|깃발: 말리
🇲🇲;깃발: 미얀마;깃발|깃발: 미얀마
🇲🇳;깃발: 몽골;깃발|깃발: 몽골
🇲🇴;깃발: 마카오(중국 특별행정구);깃발|깃발: 마카오(중국 특별행정구)
🇲🇵;깃발: 북마리아나제도;깃발|깃발: 북마리아나제도
🇲🇶;깃발: 마르티니크;깃발|깃발: 마르티니크
🇲🇷;깃발: 모리타니;깃발|깃발: 모리타니
🇲🇸;깃발: 몬트세라트;깃발|깃발: 몬트세라트
🇲🇹;깃발: 몰타;깃발|깃발: 몰타
🇲🇺;깃발: 모리셔스;깃발|깃발: 모리셔스
🇲🇻;깃발: 몰디브;깃발|깃발: 몰디브
🇲🇼;깃발: 말라위;깃발|깃발: 말라위
🇲🇽;깃발: 멕시코;깃발|깃발: 멕시코
🇲🇾;깃발: 말레이시아;깃발|깃발: 말레이시아
🇲🇿;깃발: 모잠비크;깃발|깃발: 모잠비크
🇳🇦;깃발: 나미비아;깃발|깃발: 나미비아
🇳🇨;깃발: 뉴칼레도니아;깃발|깃발: 뉴칼레도니아
🇳🇪;깃발: 니제르;깃발|깃발: 니제르
🇳🇫;깃발: 노퍽섬;깃발|깃발: 노퍽섬
🇳🇬;깃발: 나이지리아;깃발|깃발: 나이지리아
🇳🇮;깃발: 니카라과;깃발|깃발: 니카라과
🇳🇱;깃발: 네덜란드;깃발|깃발: 네덜란드
🇳🇴;깃발: 노르웨이;깃발|깃발: 노르웨이
🇳🇵;깃발: 네팔;깃발|깃발: 네팔
🇳🇷;깃발: 나우루;깃발|깃발: 나우루
🇳🇺;깃발: 니우에;깃발|깃발: 니우에
🇳🇿;깃발: 뉴질랜드;깃발|깃발: 뉴질랜드
🇴🇲;깃발: 오만;깃발|깃발: 오만
🇵🇦;깃발: 파나마;깃발|깃발: 파나마
🇵🇪;깃발: 페루;깃발|깃발: 페루
🇵🇫;깃발: 프랑스령 폴리네시아;깃발|깃발: 프랑스령 폴리네시아
🇵🇬;깃발: 파푸아뉴기니;깃발|깃발: 파푸아뉴기니
🇵🇭;깃발: 필리핀;깃발|깃발: 필리핀
🇵🇰;깃발: 파키스탄;깃발|깃발: 파키스탄
🇵🇱;깃발: 폴란드;깃발|깃발: 폴란드
🇵🇲;깃발: 생피에르 미클롱;깃발|깃발: 생피에르 미클롱
🇵🇳;깃발: 핏케언 제도;깃발|깃발: 핏케언 제도
🇵🇷;깃발: 푸에르토리코;깃발|깃발: 푸에르토리코
🇵🇸;깃발: 팔레스타인 지구;깃발|깃발: 팔레스타인 지구
🇵🇹;깃발: 포르투갈;깃발|깃발: 포르투갈
🇵🇼;깃발: 팔라우;깃발|깃발: 팔라우
🇵🇾;깃발: 파라과이;깃발|깃발: 파라과이
🇶🇦;깃발: 카타르;깃발|깃발: 카타르
🇷🇪;깃발: 레위니옹;깃발|깃발: 레위니옹
🇷🇴;깃발: 루마니아;깃발|깃발: 루마니아
🇷🇸;깃발: 세르비아;깃발|깃발: 세르비아
🇷🇺;깃발: 러시아;깃발|깃발: 러시아
🇷🇼;깃발: 르완다;깃발|깃발: 르완다
🇸🇦;깃발: 사우디아라비아;깃발|깃발: 사우디아라비아
🇸🇧;깃발: 솔로몬 제도;깃발|깃발: 솔로몬 제도
🇸🇨;깃발: 세이셸;깃발|깃발: 세이셸
🇸🇩;깃발: 수단;깃발|깃발: 수단
🇸🇪;깃발: 스웨덴;깃발|깃발: 스웨덴
🇸🇬;깃발: 싱가포르;깃발|깃발: 싱가포르
🇸🇭;깃발: 세인트헬레나;깃발|깃발: 세인트헬레나
🇸🇮;깃발: 슬로베니아;깃발|깃발: 슬로베니아
🇸🇯;깃발: 스발바르제도-얀마웬섬;깃발|깃발: 스발바르제도-얀마웬섬
🇸🇰;깃발: 슬로바키아;깃발|깃발: 슬로바키아
🇸🇱;깃발: 시에라리온;깃발|깃발: 시에라리온
🇸🇲;깃발: 산마리노;깃발|깃발: 산마리노
🇸🇳;깃발: 세네갈;깃발|깃발: 세네갈
🇸🇴;깃발: 소말리아;깃발|깃발: 소말리아
🇸🇷;깃발: 수리남;깃발|깃발: 수리남
🇸🇸;깃발: 남수단;깃발|깃발: 남수단
🇸🇹;깃발: 상투메 프린시페;깃발|깃발: 상투메 프린시페
🇸🇻;깃발: 엘살바도르;깃발|깃발: 엘살바도르
🇸🇽;깃발: 신트마르턴;깃발|깃발: 신트마르턴
🇸🇾;깃발: 시리아;깃발|깃발: 시리아
🇸🇿;깃발: 에스와티니;깃발|깃발: 에스와티니
🇹🇦;깃발: 트리스탄다쿠나;깃발|깃발: 트리스탄다쿠나
🇹🇨;깃발: 터크스 케이커스 제도;깃발|깃발: 터크스 케이커스 제도
🇹🇩;깃발: 차드;깃발|깃발: 차드
🇹🇫;깃발: 프랑스령 남방 지역;깃발|깃발: 프랑스령 남방 지역
🇹🇬;깃발: 토고;깃발|깃발: 토고
🇹🇭;깃발: 태국;깃발|깃발: 태국
🇹🇯;깃발: 타지키스탄;깃발|깃발: 타지키스탄
🇹🇰;깃발: 토켈라우;깃발|깃발: 토켈라우
🇹🇱;깃발: 동티모르;깃발|깃발: 동티모르
🇹🇲;깃발: 투르크메니스탄;깃발|깃발: 투르크메니스탄
🇹🇳;깃발: 튀니지;깃발|깃발: 튀니지
🇹🇴;깃발: 통가;깃발|깃발: 통가
🇹🇷;깃발: 튀르키예;깃발|깃발: 튀르키예
🇹🇹;깃발: 트리니다드 토바고;깃발|깃발: 트리니다드 토바고
🇹🇻;깃발: 투발루;깃발|깃발: 투발루
🇹🇼;깃발: 대만;깃발|깃발: 대만
🇹🇿;깃발: 탄자니아;깃발|깃발: 탄자니아
🇺🇦;깃발: 우크라이나;깃발|깃발: 우크라이나
🇺🇬;깃발: 우간다;깃발|깃발: 우간다
🇺🇲;깃발: 미국령 해외 제도;깃발|깃발: 미국령 해외 제도
🇺🇳;깃발: 국제연합;깃발|깃발: 국제연합
🇺🇸;깃발: 미국;깃발|깃발: 미국
🇺🇾;깃발: 우루과이;깃발|깃발: 우루과이
🇺🇿;깃발: 우즈베키스탄;깃발|깃발: 우즈베키스탄
🇻🇦;깃발: 바티칸 시국;깃발|깃발: 바티칸 시국
🇻🇨;깃발: 세인트빈센트그레나딘;깃발|깃발: 세인트빈센트그레나딘
