# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	🧑🏽‍❤️‍🧑🏿;זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור כהה;אדם|אהבה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור כהה|לב|רומנטי|רומנטיקה
	🧑🏾‍❤️‍🧑🏻;זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בהיר;אדם|אהבה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בהיר|לב|רומנטי|רומנטיקה
	🧑🏾‍❤️‍🧑🏼;זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	🧑🏾‍❤️‍🧑🏽;זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בינוני;אדם|אהבה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בינוני|לב|רומנטי|רומנטיקה
	🧑🏾‍❤️‍🧑🏿;זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור כהה;אדם|אהבה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור כהה|לב|רומנטי|רומנטיקה
	🧑🏿‍❤️‍🧑🏻;זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בהיר;אדם|אהבה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בהיר|לב|רומנטי|רומנטיקה
	🧑🏿‍❤️‍🧑🏼;זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	🧑🏿‍❤️‍🧑🏽;זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בינוני;אדם|אהבה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בינוני|לב|רומנטי|רומנטיקה
	🧑🏿‍❤️‍🧑🏾;זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור כהה בינוני;אדם|אהבה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
👩‍❤️‍👨;זוג עם לב: אישה, איש;אהבה|איש|אישה|זוג|זוג עם לב|זוג עם לב: אישה, איש|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור בינוני|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור כהה;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור כהה|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור בהיר|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור בינוני|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור בהיר|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בינוני|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור כהה|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בינוני|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור כהה|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בהיר|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בינוני|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור כהה, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור כהה;אהבה|איש|אישה|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אישה, איש, גוון עור כהה|לב|רומנטי|רומנטיקה
👨‍❤️‍👨;זוג עם לב: איש, איש;אהבה|איש|זוג|זוג עם לב|זוג עם לב: איש, איש|לב|רומנטי|רומנטיקה
	👨🏻‍❤️‍👨🏻;זוג עם לב: איש, איש, גוון עור בהיר;אהבה|איש|גוון עור בהיר|זוג|זוג עם לב|זוג עם לב: איש, איש, גוון עור בהיר|לב|רומנטי|רומנטיקה
	👨🏻‍❤️‍👨🏼;זוג עם לב: איש, איש, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|זוג עם לב: איש, איש, גוון עור בהיר, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	👨🏻‍❤️‍👨🏽;זוג עם לב: איש, איש, גוון עור בהיר, גוון עור בינוני;אהבה|איש|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: איש, איש, גוון עור בהיר, גוון עור בינוני|לב|רומנטי|רומנטיקה
	👨🏻‍❤️‍👨🏾;זוג עם לב: איש, איש, גוון עור בהיר, גוון עור כהה בינוני;אהבה|איש|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: איש, איש, גוון עור בהיר, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
